view,site,seed,action,policy,cutoff,selected,complete_selected,incomplete_selected,easy_selected,zero_CV_harmed,predicted_harm,observed_positive_harm,observed_easy_benefit,observed_net_easy_harm,predicted_selected_denominator,observed_selected_denominator,observed_population_denominator,predicted_positive_selected_ratio,observed_positive_selected_ratio,observed_net_selected_ratio,observed_positive_population_ratio,observed_net_population_ratio,benefit_cancels_positive_harm_percent,predicted_to_observed_harm,predicted_to_observed_denominator
coupa_seed29,coupa,29,eqmotion,net_stop,6.246571682255203,14467,12165,2302,1639,5,3895.461317455473,3733.9999582602186,2006.4173182944528,1727.5826399657658,7665.33150658565,7394.559423847402,22379.510980131203,50.819215243446386,50.496584640568244,23.36288804975079,16.68490415887688,7.719483421686623,53.733726318232264,1.0432408572576641,1.0366177438327169
coupa_seed29,coupa,29,eqmotion,strict_stop,6.246571682255203,2136,2061,75,333,0,330.78627932573136,147.25697617992125,1016.0835247350351,-868.8265485551138,2051.301717461818,1765.5326269513052,22379.510980131203,16.125676516033458,8.340654481939671,-49.21044988306958,0.65799907920534,-3.882240989655531,690.0070550773538,2.246319922538479,1.1618599883956688
coupa_seed29,coupa,29,eqmotion,pointwise,6.246571682255203,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22379.510980131203,,,,0.0,0.0,,,
coupa_seed29,coupa,29,eqmotion,aggregate_selected,6.246571682255203,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22379.510980131203,,,,0.0,0.0,,,
coupa_seed29,coupa,29,eqmotion,aggregate_population,6.246571682255203,1402,1293,109,276,0,162.57320413976416,87.27313271095707,788.7378123844915,-701.4646796735344,1260.387596207152,1405.2840413389017,22379.510980131203,12.898667412230255,6.210355354765611,-49.9162204251039,0.3899688996262662,-3.1344057530850566,903.7578781510452,1.8628093101481302,0.8968917024107825
coupa_seed29,coupa,29,eqmotion,aggregate_joint,6.246571682255203,1402,1293,109,276,0,162.57320413976416,87.27313271095707,788.7378123844915,-701.4646796735344,1260.387596207152,1405.2840413389017,22379.510980131203,12.898667412230255,6.210355354765611,-49.9162204251039,0.3899688996262662,-3.1344057530850566,903.7578781510452,1.8628093101481302,0.8968917024107825
coupa_seed43,coupa,43,damped_velocity_005,net_stop,6.246571682255203,7085,6188,897,793,0,2967.7348310368225,2858.762410694384,671.0323576655264,2187.7300530288576,4277.6361239741545,3776.7941813205007,22379.510980131203,69.37791679858073,75.69283030654479,57.92558312679749,12.77401643508845,9.775593644432849,23.472827093124362,1.0381187397507334,1.1326103352760784
coupa_seed43,coupa,43,damped_velocity_005,strict_stop,6.246571682255203,4121,3791,330,595,0,500.14841832858076,336.4028698065885,624.7857142929154,-288.38284448632686,3357.9084141805915,2945.536807757726,22379.510980131203,14.8946414445502,11.420766120477488,-9.790502149788335,1.5031734612309045,-1.2886020822454816,185.72544124018017,1.48675431519397,1.1399987959195734
coupa_seed43,coupa,43,damped_velocity_005,pointwise,6.246571682255203,1099,1073,26,457,0,19.180448406063178,1.1818767123121292,491.87351492196666,-490.6916382096545,1835.0624532520533,2327.086805343417,22379.510980131203,1.0452204704026313,0.05078782233642183,-21.0860908618852,0.005281065852428203,-2.192593210125531,41618.00548212043,16.228806445081805,0.7885663951333548
coupa_seed43,coupa,43,damped_velocity_005,aggregate_selected,6.246571682255203,1556,1522,34,479,0,30.689666494211338,3.7858318501377375,512.1995995714029,-508.4137677212652,2188.99123515049,2429.3126190019893,22379.510980131203,1.4020004283891738,0.15583963218752117,-20.92829731935167,0.01691650837902063,-2.2717822930654785,13529.380591818095,8.106452613074925,0.9010743277865044
coupa_seed43,coupa,43,damped_velocity_005,aggregate_population,6.246571682255203,3194,3046,148,600,0,127.3493829469371,37.006399641042535,640.9700575574984,-603.9636579164559,3230.94660073884,2897.8579438670754,22379.510980131203,3.941550223015612,1.2770260087925145,-20.841727566206732,0.1653583926561097,-2.698734831394046,1732.0519255448467,3.4412799997354577,1.1149430590884215
