group,subset,component,mean_pp,low_pp,high_pp
damping097_fold0_seed29_all,easy,total,0.0,0.0,0.0
damping097_fold0_seed29_all,easy,ranking_at_control_count,0.0,0.0,0.0
damping097_fold0_seed29_all,easy,ranking_at_supported_count,0.0,0.0,0.0
damping097_fold0_seed29_all,easy,coverage_with_supported_ranking,0.0,0.0,0.0
damping097_fold0_seed29_all,easy,coverage_with_control_ranking,0.0,0.0,0.0
damping097_fold0_seed29_all,hard,full_total,0.0,0.0,0.0
damping097_fold0_seed29_all,hard,support_difference,0.0,0.0,0.0
damping097_fold0_seed29_all,hard,total,0.0,0.0,0.0
damping097_fold0_seed29_all,hard,ranking_at_control_count,0.0,0.0,0.0
damping097_fold0_seed29_all,hard,ranking_at_supported_count,0.0,0.0,0.0
damping097_fold0_seed29_all,hard,coverage_with_supported_ranking,0.0,0.0,0.0
damping097_fold0_seed29_all,hard,coverage_with_control_ranking,0.0,0.0,0.0
damping097_fold0_seed29_easy,all,full_total,-0.8630865342283509,-1.1872667254482248,-0.6144127005376112
damping097_fold0_seed29_easy,all,support_difference,0.0,0.0,0.0
damping097_fold0_seed29_easy,all,total,-0.8630865342283509,-1.1872667254482248,-0.6144127005376112
damping097_fold0_seed29_easy,all,ranking_at_control_count,-0.402309430966715,-0.5544058093384292,-0.2766340595958118
damping097_fold0_seed29_easy,all,ranking_at_supported_count,-0.2606574894235921,-0.37840352990548054,-0.14041776887002366
damping097_fold0_seed29_easy,all,coverage_with_supported_ranking,-0.460777103261636,-0.807375043613215,-0.19944171897337054
damping097_fold0_seed29_easy,all,coverage_with_control_ranking,-0.6024290448047589,-0.9083542793599434,-0.38178377136212965
damping097_fold0_seed29_easy,easy,full_total,0.3655683471846469,0.02349624497568767,0.9423841351941874
damping097_fold0_seed29_easy,easy,support_difference,0.0,0.0,0.0
damping097_fold0_seed29_easy,easy,total,0.3655683471846469,0.02349624497568767,0.9423841351941874
damping097_fold0_seed29_easy,easy,ranking_at_control_count,-0.18999721273547088,-0.5898359563719997,0.04955219415507514
damping097_fold0_seed29_easy,easy,ranking_at_supported_count,0.059156691412239906,-0.047325420561046425,0.20226712750817055
damping097_fold0_seed29_easy,easy,coverage_with_supported_ranking,0.5555655599201178,0.046140879215293425,1.5028835417909296
damping097_fold0_seed29_easy,easy,coverage_with_control_ranking,0.306411655772407,0.03835230589535946,0.7562986717088211
damping097_fold0_seed29_easy,hard,full_total,-1.124105095661755,-1.5644223405558169,-0.7247285338009475
damping097_fold0_seed29_easy,hard,support_difference,0.0,0.0,0.0
damping097_fold0_seed29_easy,hard,total,-1.124105095661755,-1.5644223405558169,-0.7247285338009475
damping097_fold0_seed29_easy,hard,ranking_at_control_count,-0.5160488754372763,-0.7254806317141107,-0.35319333571943423
damping097_fold0_seed29_easy,hard,ranking_at_supported_count,-0.3521576628338431,-0.49223188076935387,-0.2110565646533279
damping097_fold0_seed29_easy,hard,coverage_with_supported_ranking,-0.6080562202244787,-1.0019539184101902,-0.2997362958077027
damping097_fold0_seed29_easy,hard,coverage_with_control_ranking,-0.7719474328279119,-1.2873887467643619,-0.3690120422972485
neural_fold0_seed43_all,all,full_total,0.0,0.0,0.0
neural_fold0_seed43_all,all,support_difference,0.0,0.0,0.0
neural_fold0_seed43_all,all,total,0.0,0.0,0.0
neural_fold0_seed43_all,all,ranking_at_control_count,0.0,0.0,0.0
neural_fold0_seed43_all,all,ranking_at_supported_count,0.0,0.0,0.0
neural_fold0_seed43_all,all,coverage_with_supported_ranking,0.0,0.0,0.0
neural_fold0_seed43_all,all,coverage_with_control_ranking,0.0,0.0,0.0
neural_fold0_seed43_all,easy,full_total,0.0,0.0,0.0
neural_fold0_seed43_all,easy,support_difference,0.0,0.0,0.0
neural_fold0_seed43_all,easy,total,0.0,0.0,0.0
neural_fold0_seed43_all,easy,ranking_at_control_count,0.0,0.0,0.0
neural_fold0_seed43_all,easy,ranking_at_supported_count,0.0,0.0,0.0
neural_fold0_seed43_all,easy,coverage_with_supported_ranking,0.0,0.0,0.0
neural_fold0_seed43_all,easy,coverage_with_control_ranking,0.0,0.0,0.0
neural_fold0_seed43_all,hard,full_total,0.0,0.0,0.0
neural_fold0_seed43_all,hard,support_difference,0.0,0.0,0.0
neural_fold0_seed43_all,hard,total,0.0,0.0,0.0
neural_fold0_seed43_all,hard,ranking_at_control_count,0.0,0.0,0.0
neural_fold0_seed43_all,hard,ranking_at_supported_count,0.0,0.0,0.0
neural_fold0_seed43_all,hard,coverage_with_supported_ranking,0.0,0.0,0.0
neural_fold0_seed43_all,hard,coverage_with_control_ranking,0.0,0.0,0.0
neural_fold0_seed43_easy,all,full_total,-0.0029230163625544037,-0.040232930199886816,0.032287445405890694
neural_fold0_seed43_easy,all,support_difference,0.0,0.0,0.0
neural_fold0_seed43_easy,all,total,-0.0029230163625544037,-0.040232930199886816,0.032287445405890694
neural_fold0_seed43_easy,all,ranking_at_control_count,0.002685006349145205,-0.022490531875117716,0.021667188355119903
neural_fold0_seed43_easy,all,ranking_at_supported_count,0.0017539004496216959,-0.023083996821627522,0.020061403520822012
neural_fold0_seed43_easy,all,coverage_with_supported_ranking,-0.005608022711699607,-0.03990604221067198,0.021920160822643173
neural_fold0_seed43_easy,all,coverage_with_control_ranking,-0.004676916812176099,-0.03574512947231999,0.02063597735199835
neural_fold0_seed43_easy,easy,full_total,0.0014779778787166846,-0.17589648044587897,0.12915600597888718
neural_fold0_seed43_easy,easy,support_difference,0.0,0.0,0.0
neural_fold0_seed43_easy,easy,total,0.0014779778787166846,-0.17589648044587897,0.12915600597888718
neural_fold0_seed43_easy,easy,ranking_at_control_count,0.0893437536351579,0.01975451189189872,0.15814341848390898
neural_fold0_seed43_easy,easy,ranking_at_supported_count,0.08317536998830491,-0.003325601682014953,0.17209119761664343
neural_fold0_seed43_easy,easy,coverage_with_supported_ranking,-0.08786577575644122,-0.27722815450566657,0.06482314923568541
neural_fold0_seed43_easy,easy,coverage_with_control_ranking,-0.08169739210958821,-0.2834693204503962,0.09802110572606267
neural_fold0_seed43_easy,hard,full_total,0.00039746291956085575,-0.02810929717667669,0.02397480777250632
neural_fold0_seed43_easy,hard,support_difference,0.0,0.0,0.0
neural_fold0_seed43_easy,hard,total,0.00039746291956085575,-0.02810929717667669,0.02397480777250632
neural_fold0_seed43_easy,hard,ranking_at_control_count,0.00224788399187537,-0.026380858556743526,0.026736602859238616
neural_fold0_seed43_easy,hard,ranking_at_supported_count,-0.0019334830775358308,-0.02895334297167366,0.01797699646663098
neural_fold0_seed43_easy,hard,coverage_with_supported_ranking,-0.0018504210723145138,-0.009245306633987208,0.004305831164699801
neural_fold0_seed43_easy,hard,coverage_with_control_ranking,0.0023309459970966883,-0.004094224178727203,0.011104762739372952
damping097_fold0_seed43_all,all,full_total,0.0,0.0,0.0
damping097_fold0_seed43_all,all,support_difference,0.0,0.0,0.0
damping097_fold0_seed43_all,all,total,0.0,0.0,0.0
damping097_fold0_seed43_all,all,ranking_at_control_count,0.0,0.0,0.0
damping097_fold0_seed43_all,all,ranking_at_supported_count,0.0,0.0,0.0
damping097_fold0_seed43_all,all,coverage_with_supported_ranking,0.0,0.0,0.0
damping097_fold0_seed43_all,all,coverage_with_control_ranking,0.0,0.0,0.0
damping097_fold0_seed43_all,easy,full_total,0.0,0.0,0.0
damping097_fold0_seed43_all,easy,support_difference,0.0,0.0,0.0
damping097_fold0_seed43_all,easy,total,0.0,0.0,0.0
damping097_fold0_seed43_all,easy,ranking_at_control_count,0.0,0.0,0.0
damping097_fold0_seed43_all,easy,ranking_at_supported_count,0.0,0.0,0.0
damping097_fold0_seed43_all,easy,coverage_with_supported_ranking,0.0,0.0,0.0
damping097_fold0_seed43_all,easy,coverage_with_control_ranking,0.0,0.0,0.0
damping097_fold0_seed43_all,hard,full_total,0.0,0.0,0.0
damping097_fold0_seed43_all,hard,support_difference,0.0,0.0,0.0
damping097_fold0_seed43_all,hard,total,0.0,0.0,0.0
damping097_fold0_seed43_all,hard,ranking_at_control_count,0.0,0.0,0.0
damping097_fold0_seed43_all,hard,ranking_at_supported_count,0.0,0.0,0.0
damping097_fold0_seed43_all,hard,coverage_with_supported_ranking,0.0,0.0,0.0
damping097_fold0_seed43_all,hard,coverage_with_control_ranking,0.0,0.0,0.0
damping097_fold0_seed43_easy,all,full_total,-0.6132642562252113,-0.7949736515272733,-0.3320192721864938
damping097_fold0_seed43_easy,all,support_difference,0.0,0.0,0.0
damping097_fold0_seed43_easy,all,total,-0.6132642562252113,-0.7949736515272733,-0.3320192721864938
damping097_fold0_seed43_easy,all,ranking_at_control_count,-0.22364433946412568,-0.42364408104657086,0.04745053430559885
damping097_fold0_seed43_easy,all,ranking_at_supported_count,-0.3207993554145792,-0.428942696460326,-0.1780465194589815
damping097_fold0_seed43_easy,all,coverage_with_supported_ranking,-0.38961991676108565,-0.4582344938346125,-0.32364728905288703
damping097_fold0_seed43_easy,all,coverage_with_control_ranking,-0.2924649008106321,-0.39346102636342667,-0.13911148535448342
damping097_fold0_seed43_easy,easy,full_total,0.21439437124382676,-0.013390718801374064,0.6046064999118476
damping097_fold0_seed43_easy,easy,support_difference,0.0,0.0,0.0
damping097_fold0_seed43_easy,easy,total,0.21439437124382676,-0.013390718801374064,0.6046064999118476
damping097_fold0_seed43_easy,easy,ranking_at_control_count,0.19969151703093804,-0.020723170068480495,0.6039734701127446
damping097_fold0_seed43_easy,easy,ranking_at_supported_count,0.13482461067741397,-0.015603477991367654,0.38036530939434837
damping097_fold0_seed43_easy,easy,coverage_with_supported_ranking,0.014702854212888677,-0.017303220000024554,0.04215394225015735
damping097_fold0_seed43_easy,easy,coverage_with_control_ranking,0.07956976056641278,-0.00560034700054724,0.22639617884526028
damping097_fold0_seed43_easy,hard,full_total,-0.8363015287458142,-0.9030473433847951,-0.7425100672257786
damping097_fold0_seed43_easy,hard,support_difference,0.0,0.0,0.0
damping097_fold0_seed43_easy,hard,total,-0.8363015287458142,-0.9030473433847951,-0.7425100672257786
damping097_fold0_seed43_easy,hard,ranking_at_control_count,-0.3924120733497586,-0.5504999358773779,-0.20171729428485224
damping097_fold0_seed43_easy,hard,ranking_at_supported_count,-0.506500259862692,-0.5503598117554669,-0.46387493008677044
damping097_fold0_seed43_easy,hard,coverage_with_supported_ranking,-0.44388945539605557,-0.5551130587644448,-0.3393560404998839
damping097_fold0_seed43_easy,hard,coverage_with_control_ranking,-0.3298012688831222,-0.4211022687683141,-0.21584542303466517
neural_fold1_seed17_all,all,full_total,0.0,0.0,0.0
neural_fold1_seed17_all,all,support_difference,0.0,0.0,0.0
neural_fold1_seed17_all,all,total,0.0,0.0,0.0
neural_fold1_seed17_all,all,ranking_at_control_count,0.0,0.0,0.0
neural_fold1_seed17_all,all,ranking_at_supported_count,0.0,0.0,0.0
neural_fold1_seed17_all,all,coverage_with_supported_ranking,0.0,0.0,0.0
neural_fold1_seed17_all,all,coverage_with_control_ranking,0.0,0.0,0.0
neural_fold1_seed17_all,easy,full_total,0.0,0.0,0.0
neural_fold1_seed17_all,easy,support_difference,0.0,0.0,0.0
neural_fold1_seed17_all,easy,total,0.0,0.0,0.0
neural_fold1_seed17_all,easy,ranking_at_control_count,0.0,0.0,0.0
neural_fold1_seed17_all,easy,ranking_at_supported_count,0.0,0.0,0.0
neural_fold1_seed17_all,easy,coverage_with_supported_ranking,0.0,0.0,0.0
neural_fold1_seed17_all,easy,coverage_with_control_ranking,0.0,0.0,0.0
neural_fold1_seed17_all,hard,full_total,0.0,0.0,0.0
neural_fold1_seed17_all,hard,support_difference,0.0,0.0,0.0
neural_fold1_seed17_all,hard,total,0.0,0.0,0.0
neural_fold1_seed17_all,hard,ranking_at_control_count,0.0,0.0,0.0
neural_fold1_seed17_all,hard,ranking_at_supported_count,0.0,0.0,0.0
neural_fold1_seed17_all,hard,coverage_with_supported_ranking,0.0,0.0,0.0
neural_fold1_seed17_all,hard,coverage_with_control_ranking,0.0,0.0,0.0
neural_fold1_seed17_easy,all,full_total,-0.06157255795813428,-0.1392362371722583,0.023802714363163228
neural_fold1_seed17_easy,all,support_difference,0.0,0.0,0.0
neural_fold1_seed17_easy,all,total,-0.06157255795813428,-0.1392362371722583,0.023802714363163228
neural_fold1_seed17_easy,all,ranking_at_control_count,0.012438873464791559,-0.05183533448135501,0.06836828571491467
neural_fold1_seed17_easy,all,ranking_at_supported_count,0.011060261467045363,-0.04118861795875583,0.05760291934919956
neural_fold1_seed17_easy,all,coverage_with_supported_ranking,-0.07401143142292584,-0.11960918584641793,-0.022256194452642205
neural_fold1_seed17_easy,all,coverage_with_control_ranking,-0.07263281942517964,-0.12940136726285062,0.0026552598341830855
neural_fold1_seed17_easy,easy,full_total,-0.5864379067288825,-0.9999433983772757,-0.08507444049381264
neural_fold1_seed17_easy,easy,support_difference,0.0,0.0,0.0
neural_fold1_seed17_easy,easy,total,-0.5864379067288825,-0.9999433983772757,-0.08507444049381264
neural_fold1_seed17_easy,easy,ranking_at_control_count,0.3061900285295117,0.11604687709305236,0.4741840759174645
neural_fold1_seed17_easy,easy,ranking_at_supported_count,0.21275574922804952,0.005378261262621232,0.41516669770977627
neural_fold1_seed17_easy,easy,coverage_with_supported_ranking,-0.8926279352583943,-1.3573858291622076,-0.36479859502226025
neural_fold1_seed17_easy,easy,coverage_with_control_ranking,-0.7991936559569321,-1.2915137295676116,-0.1918259945220204
neural_fold1_seed17_easy,hard,full_total,0.00895883120059559,-0.012282866202748603,0.03336217097838268
neural_fold1_seed17_easy,hard,support_difference,0.0,0.0,0.0
neural_fold1_seed17_easy,hard,total,0.00895883120059559,-0.012282866202748603,0.03336217097838268
neural_fold1_seed17_easy,hard,ranking_at_control_count,0.030418239105327104,-0.0017227539397107832,0.07344690735592208
neural_fold1_seed17_easy,hard,ranking_at_supported_count,0.02802966520756551,-0.025669418232134016,0.08193117391894279
neural_fold1_seed17_easy,hard,coverage_with_supported_ranking,-0.02145940790473151,-0.04519995296358105,-0.0023449426149048137
neural_fold1_seed17_easy,hard,coverage_with_control_ranking,-0.019070834006969916,-0.056453188911510854,0.02674501573508193
damping097_fold1_seed17_all,all,full_total,0.0,0.0,0.0
damping097_fold1_seed17_all,all,support_difference,0.0,0.0,0.0
damping097_fold1_seed17_all,all,total,0.0,0.0,0.0
damping097_fold1_seed17_all,all,ranking_at_control_count,0.0,0.0,0.0
damping097_fold1_seed17_all,all,ranking_at_supported_count,0.0,0.0,0.0
damping097_fold1_seed17_all,all,coverage_with_supported_ranking,0.0,0.0,0.0
damping097_fold1_seed17_all,all,coverage_with_control_ranking,0.0,0.0,0.0
damping097_fold1_seed17_all,easy,full_total,0.0,0.0,0.0
damping097_fold1_seed17_all,easy,support_difference,0.0,0.0,0.0
damping097_fold1_seed17_all,easy,total,0.0,0.0,0.0
damping097_fold1_seed17_all,easy,ranking_at_control_count,0.0,0.0,0.0
damping097_fold1_seed17_all,easy,ranking_at_supported_count,0.0,0.0,0.0
damping097_fold1_seed17_all,easy,coverage_with_supported_ranking,0.0,0.0,0.0
damping097_fold1_seed17_all,easy,coverage_with_control_ranking,0.0,0.0,0.0
damping097_fold1_seed17_all,hard,full_total,0.0,0.0,0.0
