variant,seed,step,mode,rows,ade,fde,cv_ade,gain_percent,native_pixel_ade,native_pixel_cv_ade,harm_over_cv,easy_rows,moving_rows,hard_rows,easy_absolute_harm,easy_pixel_harm,easy_percentage_degradation,easy_percentage_reason,moving_gain_percent,hard_gain_percent,actual_changed_rate,tail_ade95,tail_ade99,rows_helped,rows_harmed,binary_oracle_ade,binary_oracle_gain_percent,regret_to_binary_future_oracle,oracle_is_deployable,gain_over_dense_pp,requested_rate,mean_soft_gate,expected_action_gain_percent,zero_action_rows,all_baseline,clip_fraction,no_greater_easy_harm_than_dense,training_signal_not_research_gate
cost_supervised,17,4000,proposal,15430,1139.4930623178363,2368.9811962339777,1127.6525371766852,-1.050015386015657,1.1394931164408526,1.1276525907373067,11.8405251411511,8566,6864,1549,18.345058394918464,0.018345059266261985,,zero_error_CV_denominator,-0.14687359021479107,0.0064047030039593444,0.9966947504860661,4084.577590214799,17568.782518209802,1914,13465,1126.4061565772515,0.11052878066094562,13.086905740584815,False,0.09005016953479224,1.0,0.4964629113674164,-0.5212214079806321,51,False,,True,False
cost_supervised,17,4000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,1.1400655555504586,0.0008425145819831498,0.4964629113674164,-0.5212214079806321,15430,True,,True,False
cost_supervised,17,6000,proposal,15430,1133.6624011970255,2365.7439235459296,1127.6525371766852,-0.5329535315361733,1.1336624550431005,1.1276525907373067,6.009864020340374,8566,6864,1549,13.22821953991931,0.013228220168226024,,zero_error_CV_denominator,0.11828222325650506,0.0912611866893398,0.9966947504860661,4077.7950952366696,17567.56223844324,2875,12504,1124.7703732955977,0.25558971279430187,8.892027901428222,False,0.04337963970887863,1.0,0.4979689419269562,-0.2645548787716834,51,False,,True,False
cost_supervised,17,6000,hard_action,15430,1127.0335906797704,2359.2746142410438,1127.6525371766852,0.054888050752255335,1.1270336442109938,1.1276525907373067,-0.6189464969145659,8566,6864,1549,0.1515324480722019,0.00015153245526960697,,zero_error_CV_denominator,0.062348113529253624,0.03218948090888407,0.008165910563836682,4081.8834419295335,17570.3460960043,74,52,1126.9178461158697,0.06515225537955249,0.11574456390098317,False,0.6312212219973038,0.008165910563836682,0.4979689419269562,-0.2645548787716834,15304,False,,True,True
cost_supervised,17,10000,proposal,15430,1125.6463450595288,2351.962393207504,1127.6525371766852,0.17790871310229273,1.1256463985248615,1.1276525907373067,-2.006192117156429,8566,6864,1549,10.21409928531154,0.010214099770455225,,zero_error_CV_denominator,0.6807569337206276,0.30674904509505607,0.9966947504860661,4065.3473191608546,17561.275080701293,4369,11010,1118.8702501243085,0.7788114479274744,6.77609493522014,False,-0.006183236109527612,1.0,0.5004863142967224,0.09294936223781525,51,False,1.0,True,False
cost_supervised,17,10000,hard_action,15430,1125.3083006195343,2351.548500743149,1127.6525371766852,0.2078864259925428,1.1253083540688107,1.1276525907373067,-2.3442365571508295,8566,6864,1549,7.47699611084008,0.007476996465978339,,zero_error_CV_denominator,0.5759848833193582,0.27431828041458717,0.7348023331173039,4071.0946022314893,17561.275080701293,3324,8014,1120.276533888546,0.6541024868002787,5.031766730988396,False,0.023794476780726194,0.7381075826312379,0.5004863142967224,0.09294936223781525,4092,False,1.0,True,True
expected_cost,29,2000,proposal,15430,1142.279032601156,2376.016641786066,1127.6525371766852,-1.2970746699237035,1.1422790868564987,1.1276525907373067,14.626495424470619,8566,6864,1549,21.949230957555674,0.021949232000088206,,zero_error_CV_denominator,-0.2164965961604981,-0.011978070726925694,0.9966947504860661,4080.5531034874116,17572.688148822992,2197,13182,1126.6590288031196,0.08810412257423961,15.620003798036565,False,0.0,1.0,0.5,-0.6485373349618628,51,False,,True,False
expected_cost,29,2000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,1.2970746699236992,0.0,0.5,-0.6485373349618628,15430,True,,True,False
expected_cost,29,4000,proposal,15430,1140.9088491745115,2364.4362585804406,1127.6525371766852,-1.1755670794672435,1.1409089033647741,1.1276525907373067,13.256311997826245,8566,6864,1549,20.66178033180149,0.020661781313183393,,zero_error_CV_denominator,-0.158371222599607,0.0038768716784876034,0.9966947504860661,4083.8056757607246,17564.519904180914,2019,13360,1125.9975005914214,0.1467683112217788,14.911348583090149,False,0.26636033847866336,1.0,0.3572017550468445,-0.41984052682240147,51,False,,True,False
expected_cost,29,4000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,1.4419274179459138,0.0,0.3572017550468445,-0.41984052682240147,15430,True,,True,False
