group,action,metric,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
fold0_seed17_easy,original_neural,ADE_vs_floor,easy_complete,eu-locality-110,1995,2.2297137624461225,2.160203661366091,-3.2177568403932044,4.441778275096794,4.724179960399885,4.152018276222719
fold0_seed17_easy,original_neural,ADE_vs_floor,easy_complete,eu-locality-119,975,2.214807445280527,2.1340456374847285,-3.784446141976039,4.366630289858031,4.654777777075093,4.15467799549425
fold0_seed17_easy,original_neural,ADE_vs_floor,easy_complete,eu-locality-124,675,2.482791128966202,2.4216999059866797,-2.5226586840301213,4.511384787724209,4.719128841151942,4.26628769645539
fold0_seed17_easy,original_neural,ADE_vs_floor,hard_complete,eu-locality-007,586,41.5626899495229,41.482280306384915,-0.1938409425520593,79.06437673311149,114.98022524101401,79.06437673311149
fold0_seed17_easy,original_neural,ADE_vs_floor,hard_complete,eu-locality-008,20812,51.31390684181903,51.16293098216913,-0.2950883711148711,117.6043198573715,207.08739575167442,117.6043198573715
fold0_seed17_easy,original_neural,ADE_vs_floor,hard_complete,eu-locality-020,16,39.62096882427669,39.62096882427669,0.0,61.18542210206961,66.34354115884221,61.18542210206961
fold0_seed17_easy,original_neural,ADE_vs_floor,hard_complete,eu-locality-048,1753,59.22294283469354,59.11700349593454,-0.17920282235937002,129.1718480135319,205.28403821897774,129.1718480135319
fold0_seed17_easy,original_neural,ADE_vs_floor,hard_complete,eu-locality-067,1507,56.43599809272596,56.408344001080515,-0.04902482449211654,129.2152208893187,198.81979664218977,127.99513663139946
fold0_seed17_easy,original_neural,ADE_vs_floor,hard_complete,eu-locality-110,1674,81.85259894209172,81.5888684036191,-0.3232432850618139,241.02277808303344,415.4670103022841,241.02277808303344
fold0_seed17_easy,original_neural,ADE_vs_floor,hard_complete,eu-locality-119,1051,70.39220075869049,70.41436770360959,0.031480712874387695,177.76947700830874,270.4164104475832,177.76947700830874
fold0_seed17_easy,original_neural,ADE_vs_floor,hard_complete,eu-locality-124,726,97.26637805519114,97.19212909987998,-0.07639400021257625,286.937175372501,412.0377634801899,286.937175372501
fold0_seed17_easy,original_neural,FDE_vs_floor,all,eu-locality-007,3935,30.218224583180753,30.123946530920737,-0.31296713451287594,103.4037463575082,180.30773703058676,102.96456780800754
fold0_seed17_easy,original_neural,FDE_vs_floor,all,eu-locality-008,121088,36.39000884812761,35.893854561911,-1.382281987466194,137.20918754896365,282.30913749090433,137.0225183719183
fold0_seed17_easy,original_neural,FDE_vs_floor,all,eu-locality-020,622,14.432320433086552,14.662738031078371,1.5714500082006366,54.18434016797015,99.18086841907973,54.18434016797015
fold0_seed17_easy,original_neural,FDE_vs_floor,all,eu-locality-048,5582,59.25349127299819,58.83853060819334,-0.7052532762384489,216.2196458274127,355.1127410078038,216.2196458274127
fold0_seed17_easy,original_neural,FDE_vs_floor,all,eu-locality-067,4600,64.45211031493592,64.29400756456238,-0.24590588821948867,207.16877909819794,394.0447029702928,207.16877909819794
fold0_seed17_easy,original_neural,FDE_vs_floor,all,eu-locality-110,7204,58.66307767953443,57.8976563672657,-1.3220246902800215,251.63945099324982,587.6090239057078,251.77304034955634
fold0_seed17_easy,original_neural,FDE_vs_floor,all,eu-locality-119,4147,65.67403481632667,65.45138581897585,-0.34017461137738625,270.5290560144782,484.5542592170748,270.5290560144782
fold0_seed17_easy,original_neural,FDE_vs_floor,all,eu-locality-124,2645,84.23682573395115,83.8513061080275,-0.45976579712065924,381.9827743206876,749.8979417287693,380.9415092093398
fold0_seed17_easy,original_neural,FDE_vs_floor,easy,eu-locality-007,1517,3.144125098147279,3.153518747730114,0.2978783490536152,8.608246726238507,13.239648920760633,8.34951563887028
fold0_seed17_easy,original_neural,FDE_vs_floor,easy,eu-locality-008,42774,3.723568360686737,3.645079359981474,-2.153286470713822,8.342101509701616,11.559640180820123,7.724633705661391
fold0_seed17_easy,original_neural,FDE_vs_floor,easy,eu-locality-020,338,2.8797921075987953,3.080901793844442,6.527624043306357,8.306670832601672,12.849896548596446,8.407064536459256
fold0_seed17_easy,original_neural,FDE_vs_floor,easy,eu-locality-048,1589,3.812451852892186,3.6536367424122576,-4.346767937719864,8.65909478506628,12.808546338870688,8.062263312894991
fold0_seed17_easy,original_neural,FDE_vs_floor,easy,eu-locality-067,916,3.6174799302284835,3.5551707305853655,-1.752635931294888,8.302541098903014,13.001001786308166,8.151999768020216
fold0_seed17_easy,original_neural,FDE_vs_floor,easy,eu-locality-110,2280,3.77502056504239,3.5692484167622833,-5.765139442627132,8.25419539270694,11.976882468623835,7.435634637700456
fold0_seed17_easy,original_neural,FDE_vs_floor,easy,eu-locality-119,1238,3.950436728552926,3.7489039429361,-5.375778859220048,8.067934149209773,14.259595094330969,7.522269911907743
fold0_seed17_easy,original_neural,FDE_vs_floor,easy,eu-locality-124,822,4.233507476287064,4.060011664150201,-4.273283588538113,8.583321266613956,13.620458299082,8.064556054304948
fold0_seed17_easy,original_neural,FDE_vs_floor,hard,eu-locality-007,851,85.51047747621494,85.35734925161863,-0.17939664942607791,177.73202440210258,234.21528629454718,177.26037744811788
fold0_seed17_easy,original_neural,FDE_vs_floor,hard,eu-locality-008,28353,110.01732109967378,109.6064533334174,-0.374857276885443,265.54932674996974,461.2380303478782,265.4503816714334
fold0_seed17_easy,original_neural,FDE_vs_floor,hard,eu-locality-020,32,74.64160765267499,74.77134034453053,0.17350590648469444,113.1195078799228,123.69904688788091,113.1195078799228
fold0_seed17_easy,original_neural,FDE_vs_floor,hard,eu-locality-048,2110,130.99096255641004,130.67151843464345,-0.24446346502537963,297.4283951280287,443.76096699010475,297.4283951280287
fold0_seed17_easy,original_neural,FDE_vs_floor,hard,eu-locality-067,1996,123.8417233816931,123.807692983404,-0.027486497380802,290.7391546289285,438.7558064122256,290.71713283720374
fold0_seed17_easy,original_neural,FDE_vs_floor,hard,eu-locality-110,2204,161.7755891352223,161.15509617693377,-0.3850284434116169,478.25505574124105,853.1699911597932,478.25505574124105
fold0_seed17_easy,original_neural,FDE_vs_floor,hard,eu-locality-119,1464,157.85536954636015,157.8961059005776,0.025799467304843393,401.0600306612981,596.5094987828618,401.0600306612981
fold0_seed17_easy,original_neural,FDE_vs_floor,hard,eu-locality-124,973,206.03459694798295,205.7738797516647,-0.12670082161685414,629.743674917237,964.6368373578291,629.743674917237
fold0_seed17_easy,original_neural,FDE_vs_floor,complete,eu-locality-007,2882,28.172944217760403,28.06111690924076,-0.39851339090075655,100.75336087398644,167.66319615295555,100.68249683796738
fold0_seed17_easy,original_neural,FDE_vs_floor,complete,eu-locality-008,97352,33.21751056455436,32.71992862146193,-1.5207305274072214,125.34463266898655,253.1439335446307,125.25232083861415
