variant,mode,recording,rows,ade,fde,cv_ade,gain_percent,native_pixel_ade,native_pixel_cv_ade,harm_over_cv,easy_rows,moving_rows,hard_rows,easy_absolute_harm,easy_pixel_harm,easy_percentage_degradation,easy_percentage_reason,moving_gain_percent,hard_gain_percent,actual_changed_rate,tail_ade95,tail_ade99,rows_helped,rows_harmed,binary_oracle_ade,binary_oracle_gain_percent,regret_to_binary_future_oracle,oracle_is_deployable
cost_supervised,hard_action,bookstore/video1,1662,782.0299555306988,1504.4080368656307,776.3253572015786,-0.7348205589578383,0.7820299926751285,0.7763253940750544,5.704598329120124,891,771,147,9.788297671278054,0.009788298136197242,,zero_error_CV_denominator,-0.05887754950462121,-0.012790649963312362,0.5535499398315282,3564.654112988162,7793.078549880509,322,1094,775.2694387849887,0.13601493327440872,6.7605167457101265,False
cost_supervised,hard_action,bookstore/video2,729,604.3841856149764,1286.7221663230225,591.3380134598498,-2.206212328342483,0.6043842143216849,0.5913380415468983,13.046172155126767,388,341,33,18.069278062637142,0.0180692789208818,,zero_error_CV_denominator,-0.579880354168183,0.08642272793268901,0.5802469135802469,2189.0512848846497,6256.114339484275,119,509,590.1006845279414,0.20924224449376805,14.28350108703502,False
cost_supervised,hard_action,bookstore/video3,856,489.9247128695132,985.1117682370489,477.7487767400338,-2.5486064480505943,0.48992473613968834,0.47774879943188303,12.175936129479451,618,238,48,14.420444133819021,0.014420444818753363,,zero_error_CV_denominator,-0.36942314304369006,-0.1021119945244342,0.6483644859813084,2342.3177789605743,4999.861088548572,86,721,476.43961715881744,0.2740267782891048,13.48509571069574,False
cost_supervised,hard_action,bookstore/video4,212,612.146777866711,1912.6934009651557,536.9894501440408,-13.996052939682535,0.6121468069421228,0.5369894756496711,75.1573277226701,194,18,11,81.5909439208922,0.08159094779625409,,zero_error_CV_denominator,-0.09197886030365421,-0.2325147469836697,0.6981132075471698,2197.379195341737,15097.776296576416,5,194,535.1807784699796,0.3368169846867719,76.96599939673133,False
cost_supervised,hard_action,bookstore/video5,352,433.4902542682701,771.8905540622477,412.81815739601626,-5.007555143080378,0.43349027485795233,0.41281817700382656,20.67209687225386,248,104,14,27.654066814692733,0.027654068128190424,,zero_error_CV_denominator,-0.28791122119313783,-1.0134133391634048,0.6581439393939394,2122.4906704238874,3537.0737598185992,38,281,410.56527800092624,0.5457316628950659,22.92497626734395,False
cost_supervised,hard_action,bookstore/video6,532,370.5323518513513,723.2393026024764,358.492541093981,-3.358455024093221,0.3705323694506936,0.35849255812146297,12.039810757370283,430,102,22,13.4937003416865,0.013493700982602877,,zero_error_CV_denominator,-0.3161149316138756,-0.1333282244652345,0.7124060150375939,1932.7062805784499,6696.548856805742,44,460,358.03826634589666,0.12671804738199066,12.494085505454704,False
dense_control,proposal,bookstore/video0,2601,1078.773390754417,2212.140706504551,1074.2519411608769,-0.42089284834376794,1.0787734419934039,1.0742519921851061,4.5214495935404315,1000,1601,221,9.817744416869663,0.0098177448831875,,zero_error_CV_denominator,-0.06952240816673338,-0.007408436593725476,1.0,3992.0519753612766,12539.816799185166,667,1934,1072.9733948720575,0.11901735894819243,5.799995882359754,False
dense_control,proposal,bookstore/video1,1662,785.939836783197,1516.776641475968,776.3253572015786,-1.2384600724979267,0.7859398741133362,0.7763253940750544,9.614479581618383,891,771,147,16.10398442109924,0.016103985185997455,,zero_error_CV_denominator,-0.12637949839293672,-0.0310269647376904,1.0,3565.8587188078895,7779.027048484009,356,1306,774.507712909131,0.23413434529560018,11.432123874065965,False
dense_control,proposal,bookstore/video2,729,608.2146727343832,1299.3508395809474,591.3380134598498,-2.8539784168093663,0.60821470162303,0.5913380415468983,16.876659274533417,388,341,33,25.334036861813903,0.025334038065116086,,zero_error_CV_denominator,-0.5737791725200836,0.08589476487351755,1.0,2186.0871410546224,6265.370418928397,146,583,589.573647386813,0.29836845135552403,18.641025347570068,False
dense_control,proposal,bookstore/video3,856,495.452943789526,1004.2056636080282,477.7487767400338,-3.7057482742914205,0.49545296732227806,0.47774879943188303,17.704167049492234,618,238,48,21.761345335886176,0.02176134636949462,,zero_error_CV_denominator,-0.41722539591220187,-0.20001388613970494,1.0,2341.8347938056168,4994.324972031288,84,772,475.77653762736225,0.4128192909523043,19.676406162163754,False
dense_control,proposal,bookstore/video4,212,635.0054337315086,1984.0456551208615,536.9894501440408,-18.252869504452306,0.6350054638926483,0.5369894756496711,98.01598358746766,194,18,11,105.39775549960066,0.10539776050572541,,zero_error_CV_denominator,-0.29182959189080204,-0.5041481315954499,1.0,2208.7368408458924,15091.162703826698,5,207,534.5392029756198,0.45629335320530595,100.46623075588863,False
dense_control,proposal,bookstore/video5,352,441.34146579469484,799.1148780356651,412.81815739601626,-6.909412264857373,0.4413414867572895,0.41281817700382656,28.523308398678523,248,104,14,39.00227988240085,0.039002281734909744,,zero_error_CV_denominator,-0.25299986735358715,-0.9335324238761489,1.0,2120.268077594229,3535.0741796226926,51,301,410.1265695409956,0.6520032626468608,31.214896253699177,False
dense_control,proposal,bookstore/video6,532,372.9703958072389,732.1719372640744,358.492541093981,-4.038537222860228,0.37297041352238214,0.35849255812146297,14.477854713257907,430,102,22,16.224844277231867,0.01622484504787062,,zero_error_CV_denominator,-0.3804232149210218,-0.12285971602712387,1.0,1931.0842522932553,6695.676559397377,45,487,357.9884054096375,0.14062654771145322,14.981990397601493,False
