family,seed,head,recording,subset,rows,target_benefit_mean,target_harm_mean,predicted_benefit_mean,predicted_harm_mean,benefit_mse,harm_mse,actual_net_gain_mean,predicted_net_gain_mean,positive_harm_fraction
transformer,17,ridge,ucy_zara02,eligible_moderate,662,0.013868818432549886,0.2730859469042407,0.14874813695553565,0.009743040872124386,0.04394105493991846,0.1872304584436193,-0.2592171284716908,0.13900509608341127,0.8383685800604229
transformer,17,ridge,ucy_zara03,all,180,0.01585227714644538,0.11963496815426172,0.037973671002934375,0.1494358226656914,0.006290321130732578,0.08681748001024378,-0.10378269100781634,-0.111462151662757,0.7888888888888889
transformer,17,ridge,ucy_zara03,ridge_harm_clipped_to_zero,50,0.01572903884574771,0.05223349935607985,0.058570642545819285,0.0,0.0089366893370254,0.006207144202122067,-0.03650446051033214,0.058570642545819285,0.72
transformer,17,ridge,ucy_zara03,ridge_benefit_clipped_to_zero,69,0.006162905117388868,0.07220068220993962,0.0,0.17440773006798566,0.00033039628670388204,0.1936424671702879,-0.06603777709255076,-0.17440773006798566,0.8260869565217391
transformer,17,ridge,ucy_zara03,eligible_conservative,46,0.0146720502525568,0.06987837721522816,0.08194918517509232,0.005875093781429789,0.010801072919483975,0.012612752398530437,-0.055206326962671366,0.07607409139366253,0.7391304347826086
transformer,17,ridge,ucy_zara03,eligible_moderate,49,0.013773761461583935,0.07107117547111928,0.08002097163425416,0.007671983874573999,0.010315365772490032,0.012044971438269592,-0.05729741400953534,0.07234898775968017,0.7551020408163265
transformer,17,neural_cost,all_fit,all,11966,0.058665803411292565,0.8415290888009964,0.08586434071463815,0.8455668267392142,0.19931747699456487,1.180685327499273,-0.7828632853897038,-0.7597024860245759,0.7740264081564433
transformer,17,neural_cost,all_fit,eligible_conservative,2299,0.04679266115027108,0.08639630182838975,0.08650971420608354,0.01859035626926769,0.022672934115377286,0.03460880631249003,-0.03960364067811867,0.06791935793681585,0.7020443671161375
transformer,17,neural_cost,all_fit,eligible_moderate,2891,0.05398168421518354,0.09363706021586116,0.09515509908662581,0.022351535218309966,0.02593506909088463,0.038779161970750625,-0.03965537600067762,0.07280356386831585,0.7007955724662747
transformer,17,neural_cost,eth_eth,all,2614,0.11755514270289606,0.1672700768258284,0.15116423693318806,0.2364658246619787,0.2009602831590916,0.3099670606856494,-0.04971493412293234,-0.08530158772879065,0.6392501912777353
transformer,17,neural_cost,eth_eth,eligible_conservative,632,0.09600029247942127,0.03458755725734844,0.1354749696063986,0.015907753993512352,0.06176521853183555,0.034508468520940645,0.06141273522207283,0.11956721561288625,0.5996835443037974
transformer,17,neural_cost,eth_eth,eligible_moderate,808,0.12086472268797727,0.032662362433743194,0.15878080533204214,0.019404900573794865,0.07100360421660805,0.02751188044970288,0.08820236025423407,0.13937590475824727,0.599009900990099
transformer,17,neural_cost,eth_hotel,all,1197,0.2290006909938753,6.007720038063007,0.14432412470223305,6.183990532601744,1.5021401272995936,10.508681906456177,-5.778719347069131,-6.039666407899511,0.5889724310776943
transformer,17,neural_cost,eth_hotel,eligible_conservative,298,0.07224773947831599,0.018627807036907123,0.08163280634447032,0.01738449943513537,0.011063715749349433,0.0019416752973547338,0.05361993244140887,0.06424830690933495,0.44966442953020136
transformer,17,neural_cost,eth_hotel,eligible_moderate,403,0.06830776145230522,0.021516511877626064,0.08123823309146219,0.022090437899946743,0.010092702868381454,0.0034053691414408344,0.046791249574679145,0.059147795191515445,0.456575682382134
transformer,17,neural_cost,ucy_zara01,all,2234,0.011224659677987971,0.09067188988528271,0.0551673081164034,0.10272275565664832,0.005238325686378887,0.023626441888693218,-0.07944723020729473,-0.04755544754024492,0.8415398388540735
transformer,17,neural_cost,ucy_zara01,eligible_conservative,826,0.01505078688122884,0.08498712877763583,0.05912962716668123,0.01995130545314054,0.004925689665366316,0.01822777994106424,-0.06993634189640699,0.03917832171354069,0.8026634382566586
