tag,pair,bank,weighting,bin,mean_target_minus_cap,normalized_mean_target_minus_cap,rows
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,original_in_sample,uniform_positive_envelope,2,-0.78733681812907,-2.3875008170030814,1351
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_next,registered_risk_weights,0,-0.010466271061898992,-0.07654197370978427,1272
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_next,registered_risk_weights,1,-0.09085488504021039,-0.7940357674787549,1481
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_next,registered_risk_weights,2,-0.5544556420269081,-3.997516176739456,1591
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_next,uniform_positive_envelope,0,-0.01531298424079693,-0.11688764183597862,1448
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_next,uniform_positive_envelope,1,-0.10545827601181085,-0.9603899388018995,1448
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_next,uniform_positive_envelope,2,-0.5178681395244792,-3.813950104443416,1448
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_prev,registered_risk_weights,0,-0.005023551205073209,-0.036996098991563565,1473
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_prev,registered_risk_weights,1,-0.07036254226309793,-0.6183737120480877,1454
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_prev,registered_risk_weights,2,-0.6217235705540409,-4.436062088193134,1417
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_prev,uniform_positive_envelope,0,-0.0046841759312121175,-0.03592106905253453,1448
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_prev,uniform_positive_envelope,1,-0.0640680525023144,-0.58872128226556,1448
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_prev,uniform_positive_envelope,2,-0.5640976915185967,-4.113062419589978,1448
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,oof,registered_risk_weights,0,0.008104790916354014,0.03812587758863536,1554
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,oof,registered_risk_weights,1,-0.07293662132044519,-2.3787048671523503,1473
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,oof,registered_risk_weights,2,-0.5190877133379107,-7.438760267693348,1317
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,oof,uniform_positive_envelope,0,0.006349609746796727,0.032496748758375556,1448
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,oof,uniform_positive_envelope,1,-0.049654156283369964,-0.7589776995292242,1448
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,oof,uniform_positive_envelope,2,-0.5257214191500408,-7.291106578949873,1448
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,original_in_sample,registered_risk_weights,0,-0.015266254239668793,-0.11239486598102427,1481
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,original_in_sample,registered_risk_weights,1,-0.09233607865541922,-0.7998969853405273,1437
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,original_in_sample,registered_risk_weights,2,-0.512072532414349,-3.690193795670906,1426
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,original_in_sample,uniform_positive_envelope,0,-0.01425904128022833,-0.10934791305303192,1448
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,original_in_sample,uniform_positive_envelope,1,-0.0856238970058407,-0.7750895879449291,1448
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,original_in_sample,uniform_positive_envelope,2,-0.47372139845373773,-3.4876458703186497,1448
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_next,registered_risk_weights,0,-0.015165827529286132,-0.10924890738071627,1771
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_next,registered_risk_weights,1,-0.17611833323019466,-1.6205122917273367,1991
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_next,registered_risk_weights,2,-0.8198570368033867,-2.8556708108864286,1720
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_next,uniform_positive_envelope,0,-0.020788134941376202,-0.1624531967715409,1828
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_next,uniform_positive_envelope,1,-0.17283083907561586,-1.8060722744024755,1827
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_next,uniform_positive_envelope,2,-0.7765845146167556,-2.8864653849772015,1827
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_prev,registered_risk_weights,0,-0.029802759108039166,-0.23030886536876707,1788
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_prev,registered_risk_weights,1,-0.2108503098600943,-1.148953554842336,1870
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_prev,registered_risk_weights,2,-0.9213479673088651,-3.668285109386958,1824
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_prev,uniform_positive_envelope,0,-0.033226902873928585,-0.27845485745862764,1828
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_prev,uniform_positive_envelope,1,-0.2166877596688141,-1.3554719062758025,1827
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_prev,uniform_positive_envelope,2,-0.9051700385075503,-3.754525771678604,1827
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,oof,registered_risk_weights,0,-0.02177831246752454,-0.1295758379608793,1771
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,oof,registered_risk_weights,1,-0.22391618058705398,-1.0511769765119592,1814
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,oof,registered_risk_weights,2,-0.9233485800041471,-4.623538496085063,1897
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,oof,uniform_positive_envelope,0,-0.026841511251837966,-0.17275077371470593,1828
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,oof,uniform_positive_envelope,1,-0.2306228672727038,-1.1647720515890296,1827
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,oof,uniform_positive_envelope,2,-1.0128755308827382,-5.447859309543006,1827
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,original_in_sample,registered_risk_weights,0,-0.043423922258141096,-0.34282314767283784,1784
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,original_in_sample,registered_risk_weights,1,-0.219961802920463,-1.2717683780933484,1897
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,original_in_sample,registered_risk_weights,2,-0.7503247293393712,-2.886771604937192,1801
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,original_in_sample,uniform_positive_envelope,0,-0.04830235426539818,-0.4131300865199795,1828
