tag,pair,bank,weighting,rows,mse,floor,floor_share_percent,distance,cross,above_cap_fraction,mean_target_minus_cap,envelope_floor,identity_error
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,original_in_sample,uniform_positive_envelope,4344,0.015785704053883905,0.01361516763277904,86.24998661006299,0.0006123636917158428,0.0015581727293890212,0.004834254143646409,-0.19120144557993562,0.0,3.2612801348363973e-15
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_next,registered_risk_weights,5482,0.03546884437699055,0.024368900796240153,68.70508815350301,0.002608549864326449,0.008491393716423951,0.008404269628037468,-0.33699998482582205,0.0,2.157996004115148e-15
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_next,uniform_positive_envelope,5482,0.03059412829427736,0.02099046041692932,68.60944105034558,0.0022595557008155713,0.007344112176532469,0.0072966070777088655,-0.32334596166887963,0.0,2.157996004115148e-15
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_prev,registered_risk_weights,5482,0.036795379887016574,0.02573201533692133,69.93273453334014,0.0027738213601408226,0.008289543189954424,0.008614661369654983,-0.3873061752473521,0.0,1.7763568394002505e-15
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,in_sample_prev,uniform_positive_envelope,5482,0.03177921363953608,0.022158253370495807,69.72561883321441,0.002440898043352753,0.007180062225687511,0.007479022254651586,-0.3849640597814227,0.0,1.7763568394002505e-15
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,oof,registered_risk_weights,5482,0.03798741104499247,0.03154502423790496,83.04073210080804,0.0012973752738580225,0.005145011533229488,0.00847590124907239,-0.38959182817055527,0.0,4.440892098500626e-16
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,oof,uniform_positive_envelope,5482,0.03280983573801423,0.0271874172743183,82.8636189812384,0.0011650540816352593,0.004457364382060676,0.0072966070777088655,-0.42337428967500046,0.0,4.440892098500626e-16
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,original_in_sample,registered_risk_weights,5482,0.03727945850013982,0.027306582626403238,73.24833494107975,0.0021520218891014006,0.007820853984635187,0.007979183888775882,-0.33784375262526434,0.0,1.3322676295501878e-15
fold0_seed17_controller1_motion_only_eu-locality-124,motion_only,original_in_sample,uniform_positive_envelope,5482,0.03216939367965771,0.023520270398854626,73.11381318861365,0.0018746989351837889,0.006774424345619288,0.006931776723823422,-0.33789366337537985,0.0,1.3322676295501878e-15
fold0_seed17_controller2_full_eu-locality-008,full,in_sample_next,registered_risk_weights,6892,0.055343952020362734,0.032650595555632864,58.9957788768314,0.015720572912732524,0.006972783551997334,0.04957273080392296,-0.3925962001151896,0.0,3.1086244689504383e-15
fold0_seed17_controller2_full_eu-locality-008,full,in_sample_next,uniform_positive_envelope,6892,0.0265824201349426,0.01538578124521589,57.879535298561,0.00697083872122677,0.004225800168499936,0.03598374927452118,-0.4099037171230838,0.0,3.1086244689504383e-15
fold0_seed17_controller2_full_eu-locality-008,full,in_sample_prev,registered_risk_weights,6892,0.05951370917614364,0.014706709457105374,24.711465073665128,0.030814765914982084,0.013992233804056188,0.04562139957455577,-0.44307909996932127,0.0,1.7763568394002505e-15
fold0_seed17_controller2_full_eu-locality-008,full,in_sample_prev,uniform_positive_envelope,6892,0.02881605388504476,0.011531331449429087,40.01703875010357,0.011523034775093631,0.005761687660522043,0.033952408589669185,-0.44553908806331466,0.0,1.7763568394002505e-15
fold0_seed17_controller2_full_eu-locality-008,full,oof,registered_risk_weights,6892,0.16261799085294132,0.12470991235553666,76.68887784274393,0.027427253922034357,0.01048082457537029,0.06141817057092189,-0.3635541965351606,0.0,2.6367796834847468e-15
fold0_seed17_controller2_full_eu-locality-008,full,oof,uniform_positive_envelope,6892,0.06466331945894252,0.032938367625765456,50.938256652103085,0.027846909150097278,0.003878042683079782,0.036564132327336046,-0.42148920267318046,0.0,2.6367796834847468e-15
fold0_seed17_controller2_full_eu-locality-008,full,original_in_sample,registered_risk_weights,6892,0.0670597078114407,0.0411568760703577,61.37347956552854,0.012181243404371796,0.013721588336711218,0.05247956976891988,-0.36937626776733234,0.0,3.552713678800501e-15
fold0_seed17_controller2_full_eu-locality-008,full,original_in_sample,uniform_positive_envelope,6892,0.027837759388383176,0.017825058815840802,64.03194512586843,0.004862597377896423,0.005150103194645951,0.036419036564132326,-0.38407712271341743,0.0,3.552713678800501e-15
fold0_seed17_controller2_full_eu-locality-020,full,in_sample_next,registered_risk_weights,75724,0.022986539218641928,0.015189708199803063,66.08088349151886,0.0018606626133757433,0.005936168405463121,0.0301314270750232,-0.5126444081350023,0.0,1.4210854715202004e-14
fold0_seed17_controller2_full_eu-locality-020,full,in_sample_next,uniform_positive_envelope,75724,0.04640724198267848,0.030071384067424146,64.79890375439312,0.0038366904488859655,0.012499167466368376,0.033384395964291394,-0.6390561401849248,0.0,1.4210854715202004e-14
fold0_seed17_controller2_full_eu-locality-020,full,in_sample_prev,registered_risk_weights,75724,0.024832592886375925,0.014119260640329496,56.85777842424116,0.003934772530280324,0.006778559715766089,0.028476307252735884,-0.5331713869069792,0.0,2.842170943040401e-14
fold0_seed17_controller2_full_eu-locality-020,full,in_sample_prev,uniform_positive_envelope,75724,0.046671725557453095,0.02894139826054147,62.01055974438846,0.004540720019892041,0.013189607277019596,0.033740953990808745,-0.6192801364590367,0.0,2.842170943040401e-14
fold0_seed17_controller2_full_eu-locality-020,full,oof,registered_risk_weights,75724,0.023315147731938615,0.016509942301052623,70.81208530553818,0.001931167863093731,0.004874037567792259,0.029065904002055373,-0.4889401206173232,0.0,1.7763568394002505e-14
fold0_seed17_controller2_full_eu-locality-020,full,oof,uniform_positive_envelope,75724,0.047066439040169133,0.03546793952378397,75.35717646604547,0.003548982976884249,0.008049516539500923,0.03403148275315622,-0.4746955311836122,0.0,1.7763568394002505e-14
fold0_seed17_controller2_full_eu-locality-020,full,original_in_sample,registered_risk_weights,75724,0.022867134731824577,0.014433217337263184,63.117734279040356,0.0019252323890715868,0.006508685005489802,0.029796279477007283,-0.531487683115224,0.0,2.842170943040401e-14
fold0_seed17_controller2_full_eu-locality-020,full,original_in_sample,uniform_positive_envelope,75724,0.04637891784187126,0.029764317935875036,64.17639591625739,0.004007380773674536,0.012607219132321698,0.03351645449263115,-0.6309650275016758,0.0,2.842170943040401e-14
fold0_seed17_controller2_full_eu-locality-048,full,in_sample_next,registered_risk_weights,72139,0.059328744736949796,0.01900212803378104,32.028535439325694,0.028514712223102194,0.011811904480066557,0.04465271148091963,-0.5104505609801604,0.0,1.4210854715202004e-14
fold0_seed17_controller2_full_eu-locality-048,full,in_sample_next,uniform_positive_envelope,72139,0.04326421916205346,0.02718342002900765,62.83118141387817,0.004168696594333637,0.011912102538712183,0.033532485895285485,-0.6438611565588253,0.0,1.4210854715202004e-14
fold0_seed17_controller2_full_eu-locality-048,full,in_sample_prev,registered_risk_weights,72139,0.09238266851034709,0.02593685413634674,28.075454578844248,0.05591464213950316,0.01053117223449718,0.04629188248068416,-0.5491804801669464,0.0,1.4210854715202004e-14
fold0_seed17_controller2_full_eu-locality-048,full,in_sample_prev,uniform_positive_envelope,72139,0.05207961924675095,0.025608475259850903,49.1717789612076,0.013280509753506399,0.013190634233393641,0.03324138122236237,-0.7079740337454161,0.0,1.4210854715202004e-14
fold0_seed17_controller2_full_eu-locality-048,full,oof,registered_risk_weights,72139,0.14684347756384036,0.07413262271510157,50.48410998225803,0.05403678025714548,0.0186740745915934,0.051004602240542145,-0.5814982705541574,0.0,1.0658141036401503e-14
fold0_seed17_controller2_full_eu-locality-048,full,oof,uniform_positive_envelope,72139,0.04984503777661177,0.03390137103446471,68.01353263367747,0.008969744239866982,0.006973922502280084,0.035126630532721546,-0.5133840436460204,0.0,1.0658141036401503e-14
fold0_seed17_controller2_full_eu-locality-048,full,original_in_sample,registered_risk_weights,72139,0.06413506701076269,0.02990936970965994,46.63497070119341,0.02170345785055834,0.012522239450544375,0.04968849240327865,-0.5241805013987504,0.0,2.842170943040401e-14
fold0_seed17_controller2_full_eu-locality-048,full,original_in_sample,uniform_positive_envelope,72139,0.04519906836289604,0.0282943492587101,62.599408092970684,0.005586075987260568,0.011318643116925391,0.034336489277644544,-0.622679392115727,0.0,2.842170943040401e-14
fold0_seed17_controller2_full_eu-locality-067,full,in_sample_next,registered_risk_weights,72777,0.060202635750080974,0.020118965100401707,33.41874462759655,0.028500716052536894,0.011582954597142387,0.042767403057267145,-0.5785580053190345,0.0,2.842170943040401e-14
fold0_seed17_controller2_full_eu-locality-067,full,in_sample_next,uniform_positive_envelope,72777,0.043141203576915005,0.026091702763813958,60.47977478721922,0.004600012917597423,0.012449487895503632,0.033870590983415085,-0.6258939467856496,0.0,2.842170943040401e-14
fold0_seed17_controller2_full_eu-locality-067,full,in_sample_prev,registered_risk_weights,72777,0.0894012273401604,0.017682798140257597,19.779144723569374,0.05668097897917397,0.015037450220728867,0.041788498290928344,-0.6398854094549415,0.0,1.4210854715202004e-14
fold0_seed17_controller2_full_eu-locality-067,full,in_sample_prev,uniform_positive_envelope,72777,0.051692500822175955,0.02530546415761204,48.953840025391195,0.013206600871979154,0.013180435792584766,0.03300493287714525,-0.7133962611160383,0.0,1.4210854715202004e-14
fold0_seed17_controller2_full_eu-locality-067,full,oof,registered_risk_weights,72777,0.16959523799566,0.07217124345194874,42.55499405814426,0.07871776550018897,0.01870622904352217,0.049059281215123214,-0.6152724731986009,0.0,4.3298697960381105e-14
fold0_seed17_controller2_full_eu-locality-067,full,oof,uniform_positive_envelope,72777,0.06393524046947945,0.035528225766081,55.56908131602475,0.022317121805201037,0.006089892898197433,0.0344064745730107,-0.46383680280574213,0.0,4.3298697960381105e-14
fold0_seed17_controller2_full_eu-locality-067,full,original_in_sample,registered_risk_weights,72777,0.06463067427206941,0.02507013805446472,38.789844507778795,0.023845772071617248,0.015714764145987506,0.04736758248089069,-0.6078414584825726,0.0,7.105427357601002e-15
fold0_seed17_controller2_full_eu-locality-067,full,original_in_sample,uniform_positive_envelope,72777,0.04526174736648147,0.028135359737833987,62.16145282687339,0.006018902090464932,0.011107485538182551,0.03376066614452368,-0.6068444212282735,0.0,7.105427357601002e-15
fold0_seed17_controller2_motion_only_eu-locality-008,motion_only,in_sample_next,registered_risk_weights,4821,0.04781596954902223,0.010467153538682019,21.890497332592638,0.027779115838199912,0.009569700172140296,0.013234082726488908,-0.41181575791757136,0.0,6.661338147750939e-16
