view_action,policy,count,predicted_easy_harm_sum,actual_easy_harm_sum,predicted_easy_denominator_sum,actual_easy_denominator_sum,predicted_positive_easy_harm_ratio_percent,observed_positive_easy_harm_ratio_percent
gates_seed43__damped_velocity_005,net_stop,3651,1429.9354141608083,693.0942468637393,777.2999554171937,539.0355542213842,183.9618546476477,128.5804324846228
gates_seed43__damped_velocity_005,strict_stop,1442,209.60623840520685,183.12358605672168,352.31467614596306,333.9778626894357,59.49404115040826,54.83105514301928
gates_seed43__damped_velocity_005,joint_easy_moment,124,1.2710470834154928,0.8107537144583905,119.4861007050346,151.9035877248831,1.063761455027494,0.533729141359564
gates_seed43__damped_velocity_005,product_easy_marginals,163,1.9146770675957592,1.401455266552311,139.9776281127925,178.90609104197873,1.367845057392266,0.7833468711937102
gates_seed43__damped_velocity_005,matched_joint,124,1.2710470834154928,0.8107537144583905,119.4861007050346,151.9035877248831,1.063761455027494,0.533729141359564
gates_seed43__damped_velocity_005,matched_product,129,1.353000580259025,1.3305144402933597,97.27122296502665,107.13481080881772,1.3909566868975105,1.2419067437078555
hyang_seed43__damped_velocity_005,net_stop,22138,6517.478705032985,7255.648610220731,4471.260417830256,5979.116014560675,145.76379132476666,121.34985493760907
hyang_seed43__damped_velocity_005,strict_stop,9110,1275.294229872516,1217.9388585787026,2175.5915146791795,2560.7106902874525,58.61827559391707,47.56253266713168
hyang_seed43__damped_velocity_005,joint_easy_moment,1113,10.69713991083493,6.425302001082151,943.329807784268,1208.4960538183109,1.133976666756753,0.5316775326473802
hyang_seed43__damped_velocity_005,product_easy_marginals,1515,15.067792579908923,9.772394146706496,1064.2748682030788,1341.4967583440089,1.4157801739083982,0.7284694566664391
hyang_seed43__damped_velocity_005,matched_joint,1113,10.69713991083493,6.425302001082151,943.329807784268,1208.4960538183109,1.133976666756753,0.5316775326473802
hyang_seed43__damped_velocity_005,matched_product,1109,9.734608923358516,6.7663017610176315,629.4145090331144,475.68059086439376,1.5466133658584544,1.422446467433555
coupa_seed17__transformer,net_stop,12015,2425.38279591663,2588.744990473661,7307.116306540111,7443.698810370219,33.19206502496522,34.777669763681736
coupa_seed17__transformer,strict_stop,2328,271.91622985168954,136.7648303172119,2265.7546480265937,1902.575497544357,12.001133048034157,7.188404901342074
coupa_seed17__transformer,joint_easy_moment,49,1.609163835040016,0.0,96.93978041725522,136.8090039404414,1.6599623272445394,0.0
coupa_seed17__transformer,product_easy_marginals,67,2.3075831096636317,0.0,126.42426779469041,163.3746987525397,1.8252691116321782,0.0
coupa_seed17__transformer,matched_joint,49,1.609163835040016,0.0,96.93978041725522,136.8090039404414,1.6599623272445394,0.0
coupa_seed17__transformer,matched_product,49,1.7768406911405503,0.0,92.29706639994681,96.04987906127249,1.925132358423013,0.0
deathCircle_seed17__transformer,net_stop,12313,1447.5228832934292,640.505753635992,2517.0759763594374,1630.2572754543303,57.508112464171546,39.288630284290065
deathCircle_seed17__transformer,strict_stop,3115,200.80302872978206,83.76380499374565,468.53388054851155,315.8418248561816,42.857739230021615,26.520808329260213
deathCircle_seed17__transformer,joint_easy_moment,224,1.0848653798807533,2.205736820421138,81.65454940531222,72.83454313851274,1.3286037186927087,3.0284213030984333
deathCircle_seed17__transformer,product_easy_marginals,423,2.3319862167569876,3.111218856459162,117.47379453403568,99.67861810313462,1.9851118506956384,3.1212499888793324
deathCircle_seed17__transformer,matched_joint,224,1.0848653798807533,2.205736820421138,81.65454940531222,72.83454313851274,1.3286037186927087,3.0284213030984333
deathCircle_seed17__transformer,matched_product,240,1.4582277907830956,2.8469858091171365,66.9753694087316,79.16634356067154,2.1772597951404298,3.5962072783306738
gates_seed17__transformer,net_stop,10362,2144.6078263420873,1590.7560478493726,2939.99480962288,2111.6543303654503,72.9459732147344,75.33221820325444
gates_seed17__transformer,strict_stop,595,121.24392095991784,53.19411507683709,217.86087573056767,148.7587067755613,55.65199375672313,35.75865657201051
gates_seed17__transformer,joint_easy_moment,1,0.004821429756518165,0.0,0.2537022568439122,0.0,1.9004284063127206,
gates_seed17__transformer,product_easy_marginals,5,0.12444943997350172,0.0,2.2687376537079063,0.0,5.485404615650825,
gates_seed17__transformer,matched_joint,1,0.004821429756518165,0.0,0.2537022568439122,0.0,1.9004284063127206,
gates_seed17__transformer,matched_product,1,0.03379680365731246,0.0,0.44078286738363237,0.0,7.667449476410263,
hyang_seed17__transformer,net_stop,46933,7603.730142308161,10021.019108121302,10579.786317475253,18923.794486928644,71.8703564905525,52.954597002430916
hyang_seed17__transformer,strict_stop,3665,522.4573486387923,456.7719432054313,1213.6725426777712,1442.934315344331,43.04763684330166,31.655768273584282
hyang_seed17__transformer,joint_easy_moment,169,1.2725948242782414,1.5639485410935712,98.61307796824752,151.52003884865678,1.290492955394826,1.0321727429437202
hyang_seed17__transformer,product_easy_marginals,342,3.946755292301342,7.2589593740510345,172.01669425812327,250.2830349815163,2.2944024760637216,2.9003002039619337
hyang_seed17__transformer,matched_joint,169,1.2725948242782414,1.5639485410935712,98.61307796824752,151.52003884865678,1.290492955394826,1.0321727429437202
hyang_seed17__transformer,matched_product,163,2.5471822513858733,6.264245521612953,81.15934161228756,68.94883350189981,3.1384954594065224,9.085353882659014
coupa_seed29__transformer,net_stop,10610,2664.9506106104245,2817.9437748988294,6320.000235920492,6331.969631192602,42.16693846724646,44.503431618134286
coupa_seed29__transformer,strict_stop,2134,276.69719437525896,115.9009626616506,2070.4525290857237,1533.0702593312358,13.364092655504818,7.560055513190213
