model,dataset,subset,horizon,ADE,FDE,baseline_ADE,baseline_FDE,improvement,ci_low,ci_high,episodes,alpha_mean,failure_prob,intervention_rate,false_intervention_rate,residual_mag
goal_only_residual,tgsim_i90,traffic,50,1.821918,4.469146,1.863436,4.548539,0.017455,-0.540421,0.434246,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,traffic,100,4.899219,12.204016,4.693825,10.327657,-0.181683,-0.440036,0.073325,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,verified_t50,1,0.006646,0.006646,0.006646,0.006646,0.0,0.0,0.0,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,verified_t50,10,0.107243,0.264995,0.11102,0.273352,0.030572,-0.012809,0.051676,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,verified_t50,25,0.494939,1.35707,0.593701,1.598133,0.15084,-0.373912,0.348292,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,verified_t50,50,1.821918,4.469146,1.863436,4.548539,0.017455,-0.540421,0.434246,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,verified_t50,100,4.899219,12.204016,4.693825,10.327657,-0.181683,-0.440036,0.073325,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,verified_t100,1,0.006646,0.006646,0.006646,0.006646,0.0,0.0,0.0,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,verified_t100,10,0.107243,0.264995,0.11102,0.273352,0.030572,-0.012809,0.051676,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,verified_t100,25,0.494939,1.35707,0.593701,1.598133,0.15084,-0.373912,0.348292,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,verified_t100,50,1.821918,4.469146,1.863436,4.548539,0.017455,-0.540421,0.434246,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,verified_t100,100,4.899219,12.204016,4.693825,10.327657,-0.181683,-0.440036,0.073325,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,scene_grounded,1,0.006646,0.006646,0.006646,0.006646,0.0,0.0,0.0,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,scene_grounded,10,0.107243,0.264995,0.11102,0.273352,0.030572,-0.012809,0.051676,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,scene_grounded,25,0.494939,1.35707,0.593701,1.598133,0.15084,-0.373912,0.348292,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,scene_grounded,50,1.821918,4.469146,1.863436,4.548539,0.017455,-0.540421,0.434246,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,scene_grounded,100,4.899219,12.204016,4.693825,10.327657,-0.181683,-0.440036,0.073325,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,trajnet,all,1,0.059189,0.059189,0.059189,0.059189,0.0,0.0,0.0,7,0.0,0.420386,0.0,0.0,1.599709
goal_only_residual,trajnet,all,10,0.82033,1.434586,0.82033,1.434586,0.0,0.0,0.0,7,0.0,0.420386,0.0,0.0,1.599709
goal_only_residual,trajnet,easy,1,0.019507,0.019507,0.019507,0.019507,0.0,0.0,0.0,2,0.0,0.500492,0.0,0.0,2.033464
goal_only_residual,trajnet,easy,10,0.121791,0.18701,0.121791,0.18701,0.0,0.0,0.0,2,0.0,0.500492,0.0,0.0,2.033464
goal_only_residual,trajnet,medium,1,0.0,0.0,0.0,0.0,0.0,,,1,0.0,0.008344,0.0,0.0,0.236366
goal_only_residual,trajnet,medium,10,0.013868,0.069338,0.013868,0.069338,0.0,,,1,0.0,0.008344,0.0,0.0,0.236366
goal_only_residual,trajnet,hard,1,0.093828,0.093828,0.093828,0.093828,0.0,0.0,0.0,4,0.0,0.483343,0.0,0.0,1.723667
