model,dataset,subset,horizon,FDE,ADE,baseline_FDE,baseline_ADE,improvement,episodes,alpha,residual_magnitude,physical_validity,trial_id,alpha_regularization,residual_clip,hard_failure_weight,t100_weight,interaction_mode,scene_goal_mode
alpha_only_no_residual,trajnet,baseline_failure,5,1.422272,1.422272,1.422272,1.422272,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,trajnet,baseline_failure,10,2.832472,2.832472,2.832472,2.832472,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,trajnet,ge5,1,0.291144,0.291144,0.291144,0.291144,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,trajnet,ge5,5,1.422272,1.422272,1.422272,1.422272,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,trajnet,ge5,10,2.832472,2.832472,2.832472,2.832472,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,trajnet,goalbench_official,1,0.291144,0.291144,0.291144,0.291144,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,trajnet,goalbench_official,5,1.422272,1.422272,1.422272,1.422272,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,trajnet,goalbench_official,10,2.832472,2.832472,2.832472,2.832472,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,trajnet,hard,1,0.291144,0.291144,0.291144,0.291144,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,trajnet,hard,5,1.422272,1.422272,1.422272,1.422272,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,trajnet,hard,10,2.832472,2.832472,2.832472,2.832472,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
residual_no_alpha,aerialmpt,all,1,0.545954,0.545954,0.514499,0.514499,-0.061136,8,1.0,0.049156,0.950844,2,low,0.05,1,1,none,none
residual_no_alpha,aerialmpt,all,5,2.765362,2.765362,2.7401,2.7401,-0.009219,8,1.0,0.048481,0.951519,2,low,0.05,1,1,none,none
residual_no_alpha,aerialmpt,all,10,4.198138,4.198138,4.176528,4.176528,-0.005174,7,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,aerialmpt,baseline_failure,1,0.545954,0.545954,0.514499,0.514499,-0.061136,8,1.0,0.049156,0.950844,2,low,0.05,1,1,none,none
residual_no_alpha,aerialmpt,baseline_failure,5,2.765362,2.765362,2.7401,2.7401,-0.009219,8,1.0,0.048481,0.951519,2,low,0.05,1,1,none,none
residual_no_alpha,aerialmpt,baseline_failure,10,4.198138,4.198138,4.176528,4.176528,-0.005174,7,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,aerialmpt,ge5,1,0.545954,0.545954,0.514499,0.514499,-0.061136,8,1.0,0.049156,0.950844,2,low,0.05,1,1,none,none
residual_no_alpha,aerialmpt,ge5,5,2.765362,2.765362,2.7401,2.7401,-0.009219,8,1.0,0.048481,0.951519,2,low,0.05,1,1,none,none
residual_no_alpha,aerialmpt,ge5,10,4.198138,4.198138,4.176528,4.176528,-0.005174,7,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,aerialmpt,goalbench_official,1,0.545954,0.545954,0.514499,0.514499,-0.061136,8,1.0,0.049156,0.950844,2,low,0.05,1,1,none,none
residual_no_alpha,aerialmpt,goalbench_official,5,2.765362,2.765362,2.7401,2.7401,-0.009219,8,1.0,0.048481,0.951519,2,low,0.05,1,1,none,none
residual_no_alpha,aerialmpt,goalbench_official,10,4.198138,4.198138,4.176528,4.176528,-0.005174,7,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,aerialmpt,hard,1,0.545954,0.545954,0.514499,0.514499,-0.061136,8,1.0,0.049156,0.950844,2,low,0.05,1,1,none,none
residual_no_alpha,aerialmpt,hard,5,2.765362,2.765362,2.7401,2.7401,-0.009219,8,1.0,0.048481,0.951519,2,low,0.05,1,1,none,none
residual_no_alpha,aerialmpt,hard,10,4.198138,4.198138,4.176528,4.176528,-0.005174,7,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,all,1,0.317427,0.317427,0.299653,0.299653,-0.059315,30,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,all,5,1.556843,1.556843,1.529704,1.529704,-0.017741,28,1.0,0.048214,0.951786,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,all,10,3.087622,3.087622,3.077245,3.077245,-0.003372,25,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,baseline_failure,1,0.317828,0.317828,0.300267,0.300267,-0.058486,28,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,baseline_failure,5,1.598067,1.598067,1.571979,1.571979,-0.016596,26,1.0,0.048238,0.951762,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,baseline_failure,10,3.216583,3.216583,3.208317,3.208317,-0.002576,23,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,easy,1,0.430718,0.430718,0.410458,0.410458,-0.049358,3,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,easy,5,1.996162,1.996162,1.962682,1.962682,-0.017058,3,1.0,0.048788,0.951212,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,easy,10,3.972053,3.972053,3.960468,3.960468,-0.002925,3,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,ge5,1,0.289733,0.289733,0.270747,0.270747,-0.070127,20,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,ge5,5,1.410639,1.410639,1.382494,1.382494,-0.020358,20,1.0,0.048694,0.951306,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,ge5,10,2.787506,2.787506,2.776366,2.776366,-0.004012,19,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,goalbench_official,1,0.317427,0.317427,0.299653,0.299653,-0.059315,30,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,goalbench_official,5,1.556843,1.556843,1.529704,1.529704,-0.017741,28,1.0,0.048214,0.951786,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,goalbench_official,10,3.087622,3.087622,3.077245,3.077245,-0.003372,25,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,hard,1,0.314167,0.314167,0.296464,0.296464,-0.059712,27,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,hard,5,1.540572,1.540572,1.513668,1.513668,-0.017774,25,1.0,0.048145,0.951855,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy,hard,10,3.037083,3.037083,3.026775,3.026775,-0.003406,22,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,all,1,0.373168,0.373168,0.346507,0.346507,-0.076944,154,1.0,0.036067,0.963933,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,all,5,1.621122,1.621122,1.604352,1.604352,-0.010453,132,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,all,10,2.689236,2.689236,2.674885,2.674885,-0.005365,104,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,all,25,2.482062,2.482062,2.466785,2.466785,-0.006193,43,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,all,50,2.855607,2.855607,2.821185,2.821185,-0.012201,21,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,baseline_failure,1,0.373168,0.373168,0.346507,0.346507,-0.076944,154,1.0,0.036067,0.963933,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,baseline_failure,5,1.621122,1.621122,1.604352,1.604352,-0.010453,132,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,baseline_failure,10,2.689236,2.689236,2.674885,2.674885,-0.005365,104,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,baseline_failure,25,2.482062,2.482062,2.466785,2.466785,-0.006193,43,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,baseline_failure,50,2.855607,2.855607,2.821185,2.821185,-0.012201,21,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,ge5,1,0.373168,0.373168,0.346507,0.346507,-0.076944,154,1.0,0.036067,0.963933,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,ge5,5,1.621122,1.621122,1.604352,1.604352,-0.010453,132,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,ge5,10,2.689236,2.689236,2.674885,2.674885,-0.005365,104,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,ge5,25,2.482062,2.482062,2.466785,2.466785,-0.006193,43,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,ge5,50,2.855607,2.855607,2.821185,2.821185,-0.012201,21,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,goalbench_official,1,0.373168,0.373168,0.346507,0.346507,-0.076944,154,1.0,0.036067,0.963933,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,goalbench_official,5,1.621122,1.621122,1.604352,1.604352,-0.010453,132,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,goalbench_official,10,2.689236,2.689236,2.674885,2.674885,-0.005365,104,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,goalbench_official,25,2.482062,2.482062,2.466785,2.466785,-0.006193,43,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,goalbench_official,50,2.855607,2.855607,2.821185,2.821185,-0.012201,21,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,hard,1,0.373168,0.373168,0.346507,0.346507,-0.076944,154,1.0,0.036067,0.963933,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,hard,5,1.621122,1.621122,1.604352,1.604352,-0.010453,132,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,hard,10,2.689236,2.689236,2.674885,2.674885,-0.005365,104,1.0,0.05,0.95,2,low,0.05,1,1,none,none
residual_no_alpha,eth_ucy_ewap,hard,25,2.482062,2.482062,2.466785,2.466785,-0.006193,43,1.0,0.05,0.95,2,low,0.05,1,1,none,none
