policy,seed,subset,site,rows,model_error,reference_error,absolute_harm,gain_percent,model_p95,model_p99,reference_p95,status
damped_velocity_005__net_stop,43,positive_easy,hyang,19679,3.020222742304627,2.6604463533503466,0.35977638895428043,-13.523158942904745,5.650072577943964,14.909041233854945,5.0852898573061935,defined
damped_velocity_005__net_stop,43,hard,coupa,4416,39.41255938801896,42.671640735975274,-3.259081347956311,7.637581521932601,78.09808458591147,111.4444489608627,83.68020660994014,defined
damped_velocity_005__net_stop,43,hard,deathCircle,12715,51.25151684080392,56.32319009010599,-5.071673249302066,9.004591609936142,121.91356466214174,343.7203370852001,131.7154986698712,defined
damped_velocity_005__net_stop,43,hard,gates,6404,42.089694762238054,45.072436876713674,-2.98274211447562,6.6176633019294995,94.10749297299667,149.4060414833406,100.44817818608435,defined
damped_velocity_005__net_stop,43,hard,hyang,18309,39.751620108275084,44.16203406081268,-4.410413952537596,9.986890428245,80.99355149541572,141.72208294088773,88.51562033239446,defined
damped_velocity_005__strict_stop,17,all,coupa,27778,11.493843710128248,11.908205875359586,-0.4143621652313385,3.479635551890614,43.93240242539927,74.80730298947799,45.2720158430477,defined
damped_velocity_005__strict_stop,17,all,deathCircle,35760,23.563537579359455,24.81068191340851,-1.2471443340490538,5.026642711400264,71.00332473366939,172.13910322364012,74.1003428865828,defined
damped_velocity_005__strict_stop,17,all,gates,20236,19.289588728047406,19.761524366102755,-0.4719356380553492,2.3881540174343407,62.25136778852279,110.88521582861901,63.51413075556157,defined
damped_velocity_005__strict_stop,17,all,hyang,89183,15.339144503009537,15.923360932222653,-0.5842164292131162,3.668926627361002,46.75003663303886,83.42396705135128,48.7622634939038,defined
damped_velocity_005__strict_stop,17,complete,coupa,24834,11.476053133444905,11.91138462404965,-0.4353314906047441,3.6547513521290265,45.17480961577294,76.70726599798564,46.686806643226895,defined
damped_velocity_005__strict_stop,17,complete,deathCircle,27394,25.946618553115446,27.410282071573928,-1.4636635184584819,5.339833842776787,73.5428646971936,170.11754435392143,77.00976659652929,defined
damped_velocity_005__strict_stop,17,complete,gates,15281,21.328850836439653,21.857657394899473,-0.52880655845982,2.419319458192337,65.63835106655392,114.1190919864199,67.08977164913256,defined
damped_velocity_005__strict_stop,17,complete,hyang,76409,16.235932491267864,16.87458958863734,-0.6386570973694745,3.7847266981800853,48.42648644056989,85.44096985868296,51.00479833178511,defined
damped_velocity_005__strict_stop,17,zero_CV,coupa,2463,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__strict_stop,17,zero_CV,deathCircle,2984,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__strict_stop,17,zero_CV,gates,1565,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__strict_stop,17,zero_CV,hyang,4554,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__strict_stop,17,positive_easy,coupa,11220,2.1804471319583807,2.2054217761071366,-0.024974644148755942,1.132420311585003,5.406954908429676,6.116572819655235,5.688593111585037,defined
damped_velocity_005__strict_stop,17,positive_easy,deathCircle,4581,2.7320299123312264,2.6720498000786166,0.059980112252609796,-2.2447228435205524,4.794362631319818,5.5437019223968225,4.73875633966901,defined
damped_velocity_005__strict_stop,17,positive_easy,gates,2923,2.889733324006149,2.8291753670221667,0.060557956983982475,-2.140480851412274,5.0745448642214575,5.380405915512826,5.050768113241588,defined
damped_velocity_005__strict_stop,17,positive_easy,hyang,19679,2.6911296555199042,2.6604463533503466,0.030683302169557614,-1.1533140719382606,5.104143248024213,5.324956958620297,5.0852898573061935,defined
damped_velocity_005__strict_stop,17,hard,coupa,4416,40.95059276041887,42.671640735975274,-1.7210479755564023,4.0332359990681965,79.74148308356547,112.25119448195845,83.68020660994014,defined
damped_velocity_005__strict_stop,17,hard,deathCircle,12715,52.90173432988366,56.32319009010599,-3.4214557602223294,6.074683899737698,123.46698512868221,348.18736800714805,131.7154986698712,defined
damped_velocity_005__strict_stop,17,hard,gates,6404,43.66973286779318,45.072436876713674,-1.4027040089204945,3.112110429612003,95.98623335453388,154.06610708827353,100.44817818608435,defined
damped_velocity_005__strict_stop,17,hard,hyang,18309,41.62949024899595,44.16203406081268,-2.53254381181673,5.734662964865544,82.82149696818607,142.66456287622776,88.51562033239446,defined
damped_velocity_005__strict_stop,29,all,coupa,27778,11.507225154252536,11.908205875359586,-0.4009807211070502,3.3672639296298823,43.93240242539927,75.23528820474841,45.2720158430477,defined
damped_velocity_005__strict_stop,29,all,deathCircle,35760,23.526915030427737,24.81068191340851,-1.2837668829807711,5.174250701618089,71.1056760473353,171.597836738635,74.1003428865828,defined
damped_velocity_005__strict_stop,29,all,gates,20236,19.317188691925026,19.761524366102755,-0.44433567417772935,2.2484888612130827,62.29526262337234,111.04634242063788,63.51413075556157,defined
damped_velocity_005__strict_stop,29,all,hyang,89183,15.335457995384196,15.923360932222653,-0.5879029368384572,3.692078194677928,46.7753956522305,83.44793578432682,48.7622634939038,defined
damped_velocity_005__strict_stop,29,complete,coupa,24834,11.487563986681863,11.91138462404965,-0.4238206373677862,3.5581139451417942,45.176249285725206,77.05410135546207,46.686806643226895,defined
damped_velocity_005__strict_stop,29,complete,deathCircle,27394,25.90689543298043,27.410282071573928,-1.503386638593497,5.484754351187792,73.64123217527646,169.77889784432816,77.00976659652929,defined
damped_velocity_005__strict_stop,29,complete,gates,15281,21.360411886408375,21.857657394899473,-0.4972455084910976,2.2749258967117436,65.67080319723762,114.68827573095808,67.08977164913256,defined
damped_velocity_005__strict_stop,29,complete,hyang,76409,16.23195718304061,16.87458958863734,-0.6426324055967285,3.8082846532128456,48.42648644056989,85.45103792468657,51.00479833178511,defined
damped_velocity_005__strict_stop,29,zero_CV,coupa,2463,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__strict_stop,29,zero_CV,deathCircle,2984,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__strict_stop,29,zero_CV,gates,1565,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__strict_stop,29,zero_CV,hyang,4554,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__strict_stop,29,positive_easy,coupa,11220,2.1778956800203284,2.2054217761071366,-0.027526096086808227,1.248110288245885,5.405336232760258,6.113632368060658,5.688593111585037,defined
damped_velocity_005__strict_stop,29,positive_easy,deathCircle,4581,2.7368793081851677,2.6720498000786166,0.06482950810655108,-2.4262088268206528,4.797266174854378,5.684937708532628,4.73875633966901,defined
damped_velocity_005__strict_stop,29,positive_easy,gates,2923,2.873769247068175,2.8291753670221667,0.044593880046008394,-1.5762147714775798,5.066744136851862,5.253518614779656,5.050768113241588,defined
damped_velocity_005__strict_stop,29,positive_easy,hyang,19679,2.696702242034458,2.6604463533503466,0.03625588868411134,-1.3627746576605038,5.106672034894299,5.329022912571771,5.0852898573061935,defined
damped_velocity_005__strict_stop,29,hard,coupa,4416,41.03797673219502,42.671640735975274,-1.633664003780254,3.8284536886882714,80.12002514471554,112.77843634071165,83.68020660994014,defined
damped_velocity_005__strict_stop,29,hard,deathCircle,12715,52.78924216931301,56.32319009010599,-3.5339479207929756,6.274410087815263,123.46698512868221,343.7203370852001,131.7154986698712,defined
damped_velocity_005__strict_stop,29,hard,gates,6404,43.757878167041376,45.072436876713674,-1.3145587096722977,2.9165467872704576,95.8621608113954,153.65832475286132,100.44817818608435,defined
damped_velocity_005__strict_stop,29,hard,hyang,18309,41.63054327586423,44.16203406081268,-2.5314907849484527,5.732278502984034,82.85399124753778,142.66456287622776,88.51562033239446,defined
damped_velocity_005__strict_stop,43,all,coupa,27778,11.503484507826501,11.908205875359586,-0.4047213675330852,3.3986762722211017,43.976030421779,74.9042877520303,45.2720158430477,defined
damped_velocity_005__strict_stop,43,all,deathCircle,35760,23.538446638571088,24.81068191340851,-1.2722352748374206,5.127772300969536,71.100065227458,171.7723070558388,74.1003428865828,defined
damped_velocity_005__strict_stop,43,all,gates,20236,19.327561813256455,19.761524366102755,-0.4339625528462996,2.19599735732271,62.3393768729583,111.15167272457174,63.51413075556157,defined
damped_velocity_005__strict_stop,43,all,hyang,89183,15.310581316860118,15.923360932222653,-0.6127796153625358,3.848305756371506,46.676925372805655,83.3805285459686,48.7622634939038,defined
damped_velocity_005__strict_stop,43,complete,coupa,24834,11.481961010337931,11.91138462404965,-0.4294236137117178,3.6051527783318438,45.215948099237835,76.762378106799,46.686806643226895,defined
damped_velocity_005__strict_stop,43,complete,deathCircle,27394,25.914430590839377,27.410282071573928,-1.4958514807345509,5.457264091002689,73.54962102961125,169.85560265326538,77.00976659652929,defined
damped_velocity_005__strict_stop,43,complete,gates,15281,21.374221099904176,21.857657394899473,-0.48343629499529683,2.2117479758288594,65.89844381666215,114.68827573095808,67.08977164913256,defined
damped_velocity_005__strict_stop,43,complete,hyang,76409,16.20592327134945,16.87458958863734,-0.6686663172878866,3.9625634376206698,48.31944393641907,85.44096985868296,51.00479833178511,defined
