view,action,policy,complete_selected,predicted_positive,observed_positive,predicted_net,observed_net,predicted_denominator,observed_denominator
hyang_seed43,damped_velocity_005,old_strict,9110,1673.3030724767946,1217.9388585787026,1190.2950684591801,776.9555589370161,2191.509530011834,2560.7106902874525
coupa_seed43,damped_velocity_005,old_positive_point,1073,31.722830401418648,1.1818767123121292,-368.76883518963814,-490.69163820965457,1898.4397333691763,2327.086805343417
deathCircle_seed43,damped_velocity_005,old_positive_point,180,2.2629620775160864,2.1945110067687095,-37.78358535107461,-45.73695641817943,162.53859219782223,196.8974755206442
gates_seed43,damped_velocity_005,old_positive_point,124,1.8508665081149558,0.8107537144583905,-26.47999527301784,-32.973967142631686,128.69410985109954,151.9035877248831
hyang_seed43,damped_velocity_005,old_positive_point,1113,17.44324426864607,6.425302001082151,-175.98463455981056,-245.69888172990093,908.9715224494594,1208.4960538183109
coupa_seed43,damped_velocity_005,old_positive_population,3046,179.57371155310784,37.006399641042535,-610.3951089926275,-603.963657916456,3392.2026628511985,2897.8579438670754
deathCircle_seed43,damped_velocity_005,old_positive_population,1764,111.8378426630756,43.43567502902715,6.177423404929527,-54.063133851278344,436.19816056533335,491.22615040927707
gates_seed43,damped_velocity_005,old_positive_population,652,28.187170966415145,22.731977382845322,-40.27604867164504,-38.33718374036505,271.5652423242294,247.18860021513825
hyang_seed43,damped_velocity_005,old_positive_population,4076,204.2038558843739,153.4745403498119,-177.36593272295715,-280.61608557822717,1586.418013007038,2082.235232273461
coupa_seed43,damped_velocity_005,positive_point,722,18.051190876545924,1.1818767123121292,-259.9570969517843,-419.96019982965953,1401.385005508706,2001.9106186996314
deathCircle_seed43,damped_velocity_005,positive_point,162,1.896088847415853,2.7778884723744453,-34.60422417828422,-43.28608313695052,149.1311717515262,193.22959023315224
gates_seed43,damped_velocity_005,positive_point,96,1.3582015468020274,0.8107537144583905,-22.291886538206235,-29.72644410568294,109.13368122832314,139.20390812374472
hyang_seed43,damped_velocity_005,positive_point,606,7.765457257212953,3.2445461003311857,-98.99696652951906,-160.42086158151434,533.9513388691323,817.4567180361898
coupa_seed43,damped_velocity_005,net_point,2928,132.91797050893084,38.22220459523245,-689.6716227178232,-629.9253076089173,3505.315421864104,3024.474588337338
deathCircle_seed43,damped_velocity_005,net_point,1169,31.77958080141913,35.1890343404012,-75.13802876462805,-81.05742649955928,424.2678250772611,576.5309227696791
gates_seed43,damped_velocity_005,net_point,621,20.149189099306824,7.088010114465729,-59.77532853528464,-69.95089234005576,312.2552480568249,292.22915841536565
hyang_seed43,damped_velocity_005,net_point,3668,99.39832319947499,94.77167198261584,-338.65014884533514,-386.5037649588472,1768.7038755442572,2256.967974009147
coupa_seed43,damped_velocity_005,positive_population,2847,154.69362394920898,22.07596177871294,-590.1954001487101,-595.0110798926512,3213.326098749024,2764.1129963950916
deathCircle_seed43,damped_velocity_005,positive_population,1791,113.15205271776087,67.82562666577954,6.378980014205837,-32.17901749440142,443.0518761473348,501.6167243688809
gates_seed43,damped_velocity_005,positive_population,616,25.916686313108258,27.86056023812909,-39.103127908762005,-29.662237055782125,260.81255331498403,235.87457408872575
hyang_seed43,damped_velocity_005,positive_population,3963,160.37179794440962,195.18077555952596,-212.77424806141545,-219.9215959838723,1557.4518063787618,2023.949958411153
coupa_seed43,damped_velocity_005,net_population,3596,373.34329458661387,163.61846722401697,-475.04599611780395,-507.41389044150947,3676.755759422118,3081.3997811856507
deathCircle_seed43,damped_velocity_005,net_population,2401,184.47469734989937,100.21601891718343,47.72277445269569,-24.108311590151963,583.5689660288937,645.2191317052493
gates_seed43,damped_velocity_005,net_population,882,52.3222091233149,30.538782321628105,-36.28109297455944,-54.72927913703756,352.736956409553,327.6759393242771
hyang_seed43,damped_velocity_005,net_population,5589,350.70394274771456,370.99919474994056,-126.06383593420811,-126.44421939402466,1967.9338087569388,2541.5450194561226
coupa_seed43,damped_velocity_005,net_matched_positive,2812,236.9138136419145,109.32991624985792,-454.35508431235223,-448.3182034789586,2959.3042983759287,2517.3423750576653
deathCircle_seed43,damped_velocity_005,net_matched_positive,1775,135.50824478373198,62.08212155684303,37.33551371536028,-26.767348335636864,408.72838460891563,430.5163089914348
gates_seed43,damped_velocity_005,net_matched_positive,615,29.27520717020373,27.860560238129096,-34.04140556389733,-29.663218844546876,253.37084901385543,234.07277861212276
hyang_seed43,damped_velocity_005,net_matched_positive,3919,211.18434995533732,211.24842154524018,-140.63715486602143,-163.23456235544234,1465.8044842295108,1858.9860240451176
coupa_seed17,transformer,old_net,12015,2614.03223245408,2588.744990473661,495.25580547975403,827.8803112966956,7452.500707903186,7443.698810370219
deathCircle_seed17,transformer,old_net,12313,1506.7934714884605,640.505753635992,1126.039424928369,412.2891862668064,2479.97091274833,1630.2572754543303
gates_seed17,transformer,old_net,10362,2157.1271274947976,1590.7560478493726,1568.6187845855136,1329.6840729038777,2893.7385576337656,2111.6543303654503
hyang_seed17,transformer,old_net,46933,7249.043499169853,10021.019108121302,4878.179702714915,7472.39087987725,10313.19493947078,18923.794486928644
coupa_seed17,transformer,old_strict,2328,329.45760616110715,136.7648303172119,-849.9759238534625,-731.1223443017374,2341.857365818286,1902.575497544357
deathCircle_seed17,transformer,old_strict,3115,249.53187029116978,83.76380499374565,112.03980586023138,14.795741635932256,498.82407268590305,315.8418248561816
gates_seed17,transformer,old_strict,595,140.522982700491,53.19411507683709,-20.597659887114226,-33.37048503817173,220.4999345144638,148.7587067755613
hyang_seed17,transformer,old_strict,3665,583.2391479903396,456.7719432054313,-220.81158124694184,-225.07908910900173,1258.9012555862453,1442.934315344331
coupa_seed17,transformer,old_positive_point,49,1.9367125181525402,0.0,-25.10484749181361,-39.83608872873179,96.20538200745509,136.8090039404414
deathCircle_seed17,transformer,old_positive_point,224,1.3444027551669215,2.205736820421138,-8.301023362431046,-10.535252779874433,81.25724602472727,72.83454313851274
gates_seed17,transformer,old_positive_point,1,0.006794780506882835,0.0,-0.002211790409868582,0.0,0.3294760751639028,0.0
hyang_seed17,transformer,old_positive_point,169,2.3415421611794534,1.5639485410935712,-25.540002852163454,-37.622092983762215,105.74700785791374,151.5200388486568
coupa_seed17,transformer,old_positive_population,3289,321.8424752010603,242.65526586946945,-725.8649189301931,-736.4177136430185,2708.7729831538777,2808.9486711798354
deathCircle_seed17,transformer,old_positive_population,3939,198.37118502175593,78.43878954620806,67.86006556950244,-2.9189985549648867,770.4674738417987,462.0302570433002
gates_seed17,transformer,old_positive_population,855,67.32336141165386,27.328406646251345,12.630486946225588,-40.198743934018815,277.99487775955555,205.9944742135974
hyang_seed17,transformer,old_positive_population,9093,515.6395638318461,668.4892504935393,59.5562453279996,-118.24532004510363,2040.3273320823055,3837.4452331269385
coupa_seed17,transformer,positive_point,26,0.8791348931025396,0.0,-11.348864159596168,-21.017809499508573,51.641080481285606,92.04098259884685
deathCircle_seed17,transformer,positive_point,173,0.8280892962966564,2.0654500849990445,-4.548932282761884,-5.494888204842853,61.45968467172504,53.278382843909924
gates_seed17,transformer,positive_point,0,0.0,0.0,0.0,0.0,0.0,0.0
hyang_seed17,transformer,positive_point,72,0.6813744383044698,0.4327953133131617,-6.082025907266306,-11.286506888057524,43.22851254140522,74.23010182129067
coupa_seed17,transformer,net_point,3656,335.88083030945677,164.59646425121838,-1247.0544696626662,-1261.778065684858,3862.4282348835463,3809.6880025630835
deathCircle_seed17,transformer,net_point,2125,62.59145956000187,52.27042705662181,-80.07475982939657,-77.88866503098241,608.7436703256778,531.0387445406373
gates_seed17,transformer,net_point,453,80.26679310304017,19.364638967125515,-106.04757334856653,-102.31391921363591,275.41482884601476,246.50306229869318
hyang_seed17,transformer,net_point,3446,325.92805306801597,322.04186426387867,-553.1771529142911,-631.9238606725994,1646.9124635983476,2248.5889925324373
coupa_seed17,transformer,positive_population,3037,286.7004005355559,216.6211202589791,-627.8589876522456,-679.8754153098636,2478.405752098762,2656.584960038797
deathCircle_seed17,transformer,positive_population,3642,164.3894524251843,70.99980392527286,54.33916218946171,-2.173154973080301,695.0732343902313,437.1551355967146
gates_seed17,transformer,positive_population,794,53.65403082059366,20.827163243038065,22.537862262678857,-20.93560396395122,239.81806756652668,192.29949223577336
hyang_seed17,transformer,positive_population,7935,425.99365025132715,652.5839952969795,88.85770661531372,82.94972337092278,1678.843774548373,3262.49523667406
coupa_seed17,transformer,net_population,8373,1233.6520682205792,1115.4023760192474,-651.6348148803188,-537.6930526302491,5950.230737051306,5985.498404931677
deathCircle_seed17,transformer,net_population,5630,322.63044362649225,174.00942091180784,108.35804216369664,17.362360606188908,1208.9828259561893,867.7496117288943
gates_seed17,transformer,net_population,2162,271.9213533350292,95.54396469719467,14.915682764448082,-51.09902092415082,786.605862229541,584.8525133514743
hyang_seed17,transformer,net_population,15306,1349.8625985006581,2003.8786062063232,165.87065477860529,474.7352643512945,3866.0792333003983,7028.689494336559
coupa_seed17,transformer,net_matched_positive,3006,423.70980462338235,362.1674398793474,-462.524401296565,-370.29412637472973,2129.7627984549495,2060.078587820268
deathCircle_seed17,transformer,net_matched_positive,3556,211.60649633122725,110.33657402732585,77.59219518856365,24.315790476196355,682.1726887946969,424.1227264906439
gates_seed17,transformer,net_matched_positive,804,81.21559061316671,24.323863729686707,16.734151978404704,-32.45919704276953,247.2294500703681,201.26347594344918
hyang_seed17,transformer,net_matched_positive,7854,697.242275885068,1107.0280713276366,72.40090131890835,354.20314994944556,1834.1485363434301,3211.6753981417987
coupa_seed29,transformer,old_net,10610,2870.054954624973,2817.9437748988294,683.8850044035809,1028.4461431805303,6415.178991495234,6331.969631192602
deathCircle_seed29,transformer,old_net,12838,1877.0763957773943,782.3279421799556,1471.8742964643056,535.7253322834028,2758.0883411564146,1807.4986761902687
gates_seed29,transformer,old_net,9905,1822.7811487531094,1331.1495538686447,1340.2521390764678,1079.427581948241,2676.81681524508,1984.801701184903
hyang_seed29,transformer,old_net,44632,6362.745051238937,7792.044923096878,4023.0988614660023,5358.459279494109,9900.657387278436,16756.823263895552
coupa_seed29,transformer,old_strict,2134,344.4540570741543,115.9009626616506,-816.1838974200643,-642.2356343267863,2084.2487392288804,1533.0702593312358
deathCircle_seed29,transformer,old_strict,2982,374.70306494110304,105.29890092677944,232.0435805278431,46.826029971696016,544.1369674790947,274.5230673454824
gates_seed29,transformer,old_strict,558,98.57418834695639,36.02557648584492,-39.47963634852011,-52.63601168353774,199.0237727353459,162.199942887719
hyang_seed29,transformer,old_strict,3706,546.0784441867889,518.4023913075127,-294.7491927541314,-244.70590173906442,1353.6113302093622,1574.5354743405612
coupa_seed29,transformer,old_positive_point,25,0.9399032826263019,0.11494514438581671,-9.701161948449592,-19.53651644612593,44.63610108333474,69.31319190279527
deathCircle_seed29,transformer,old_positive_point,96,0.6597980722426005,0.0,-3.236312043064265,-8.522192178154754,36.87243502687292,31.543712049278923
gates_seed29,transformer,old_positive_point,0,0.0,0.0,0.0,0.0,0.0,0.0
hyang_seed29,transformer,old_positive_point,117,1.0985495435272465,0.4601713607462754,-12.956314126672565,-19.57984942617847,60.195714126882294,115.08705450711948
coupa_seed29,transformer,old_positive_population,2607,299.65325692782693,201.7055865803361,-623.4175752849094,-684.9353391552182,2091.0230985266935,2079.2639426786695
deathCircle_seed29,transformer,old_positive_population,3359,203.47708103943154,60.782533817322914,68.94543447006558,-18.247752934323895,779.2716235537955,415.2419305797847
gates_seed29,transformer,old_positive_population,960,62.47920101480152,13.767041915237957,4.704754895901815,-54.927656334659005,271.5997068758464,175.7681682933188
hyang_seed29,transformer,old_positive_population,9341,532.8803020715588,662.8256461369245,100.8561169161111,-101.43232071515544,2032.8719647616506,3712.8887018129735
coupa_seed29,transformer,positive_point,13,0.3323091949718515,0.11494514438581671,-3.1336940805200126,-5.877795897081474,21.767891789600267,33.00120210875585
deathCircle_seed29,transformer,positive_point,80,0.4202856233156662,0.0,-1.4952887903807857,-4.118467155410412,28.87150625747611,17.937122898474286
gates_seed29,transformer,positive_point,0,0.0,0.0,0.0,0.0,0.0,0.0
hyang_seed29,transformer,positive_point,82,0.6113668924096876,0.4601713607462754,-8.027902541865055,-11.314148606612004,41.90187031916778,82.59112388445321
coupa_seed29,transformer,net_point,2857,346.93102979225813,99.34530151724366,-1337.0355458357808,-1396.8697035975447,3152.0148585761717,2920.37801020575
deathCircle_seed29,transformer,net_point,1448,60.00149053454844,54.26693092937826,-81.6976030765799,-72.4281447840519,500.40614581058014,437.36232233391814
gates_seed29,transformer,net_point,388,61.19791397336874,17.65130061339105,-97.37651441205637,-94.23522684280812,241.64233889493514,216.0287424528753
hyang_seed29,transformer,net_point,3572,617.101004357635,567.2030214698576,-594.0092612854332,-392.7427329800211,1651.7925209845444,2164.1521449193856
coupa_seed29,transformer,positive_population,2201,233.42237563600597,132.77576352118683,-485.80157582974584,-594.9559564276124,1721.4118451182262,1739.635530264138
deathCircle_seed29,transformer,positive_population,3001,174.02591752883285,64.4268589431578,65.21846051138209,-2.9700468055089155,666.0391813759563,353.0220725640348
gates_seed29,transformer,positive_population,925,56.38839528113678,39.9691437422315,19.4277132100146,-5.374312241335354,236.21439448123022,160.03475711449562
hyang_seed29,transformer,positive_population,8192,433.20626142256276,699.2968977651803,133.18372758378948,169.96739569321738,1645.3525098645066,3166.655945724554
coupa_seed29,transformer,net_population,6868,1227.526650848548,1065.808260482035,-708.1187388838496,-607.0718023161344,4824.553990124341,4783.371976135732
deathCircle_seed29,transformer,net_population,4997,346.72142007898515,174.15605007525562,124.85676723954515,21.555425007911488,1223.3599026302213,786.1777936262295
gates_seed29,transformer,net_population,2231,225.4986790052689,123.73538634268772,7.496897992032263,-26.448164670983324,742.7801701425111,564.2196272659728
hyang_seed29,transformer,net_population,16024,1660.3605142340907,1922.9354443593083,140.27988043332306,464.44742055347615,3907.7704659879973,6568.49241206974
coupa_seed29,transformer,net_matched_positive,2181,340.69978791063306,286.5245761694607,-406.0362199863929,-345.69602683375865,1588.5660563076117,1551.0020337818169
deathCircle_seed29,transformer,net_matched_positive,2949,216.3299429570694,107.92030105169944,84.67421452505423,20.85725149633401,651.6166844866939,418.3560075923434
gates_seed29,transformer,net_matched_positive,927,78.10845279244079,64.66059012249528,15.8607750793635,3.9581363223354376,252.2154580129261,205.59950022441623
