family,candidate,control,ade,fde,gain_percent,easy_degradation_percent,hard_gain_percent,positive_harm,p95_error,switch_rate,proximity
eqmotion,seed17_ridge_conservative,joint_coupling_exact_count,6.163585177919138,14.184101358428473,-1.4421587635370101,16349.811550466564,-0.10051991262133163,0.09034624651652669,2.3328124680997067,0.07912640635340834,4.88894222353357e-05
eqmotion,seed17_ridge_moderate,independent_coupling_reference,6.161499433001299,14.177390107254974,-1.4078309395533803,16400.893998350635,-0.0582179600631731,0.0918064027579899,2.3301924143109365,0.12116479152878888,9.100805570958447e-05
eqmotion,seed17_ridge_moderate,unary_geometry_exact_count,6.161499433001299,14.177390107254974,-1.4078309395533803,16400.893998350635,-0.0582179600631731,0.0918064027579899,2.3301924143109365,0.12116479152878888,9.100805570958447e-05
eqmotion,seed17_ridge_moderate,joint_coupling_exact_count,6.161499433001299,14.177390107254974,-1.4078309395533803,16400.893998350635,-0.0582179600631731,0.0918064027579899,2.3301924143109365,0.12116479152878888,9.100805570958447e-05
eqmotion,seed17_neural_cost_conservative,independent_coupling_reference,6.0763736619380415,14.12931630500114,-0.006805118736736999,124.36572303866606,0.003851614914000772,0.0007536269533303347,1.6865853981285395,0.004023825281270682,7.338627741515435e-06
eqmotion,seed17_neural_cost_conservative,unary_geometry_exact_count,6.0763736619380415,14.12931630500114,-0.006805118736736999,124.36572303866606,0.003851614914000772,0.0007536269533303347,1.6865853981285395,0.004023825281270682,7.338627741515435e-06
eqmotion,seed17_neural_cost_conservative,joint_coupling_exact_count,6.0763736619380415,14.12931630500114,-0.006805118736736999,124.36572303866606,0.003851614914000772,0.0007536269533303347,1.6865853981285395,0.004023825281270682,7.338627741515435e-06
eqmotion,seed17_neural_cost_moderate,independent_coupling_reference,6.07676534345758,14.129097099605854,-0.01325153226762752,183.9938308140483,0.002863472454610057,0.0014659460040195357,1.688955385836633,0.011806750496360027,1.0586874156138361e-05
eqmotion,seed17_neural_cost_moderate,unary_geometry_exact_count,6.07676534345758,14.129097099605854,-0.01325153226762752,183.9938308140483,0.002863472454610057,0.0014659460040195357,1.688955385836633,0.011806750496360027,1.0586874156138361e-05
eqmotion,seed17_neural_cost_moderate,joint_coupling_exact_count,6.07676534345758,14.129097099605854,-0.01325153226762752,183.9938308140483,0.002863472454610057,0.0014659460040195357,1.688955385836633,0.011806750496360027,1.0586874156138361e-05
eqmotion,seed29_ridge_conservative,independent_coupling_reference,6.186876411237656,14.198805256163375,-1.8254929626911023,21597.51543225155,-0.02491762663928144,0.12270018860786347,3.446821179215736,0.23449371277299802,0.00014373625454287812
eqmotion,seed29_ridge_conservative,unary_geometry_exact_count,6.186897188963664,14.19884388222996,-1.8258349288227649,21598.080119609793,-0.025180846393330073,0.1227071959579792,3.446821179215736,0.23449371277299802,0.00012656850128931073
eqmotion,seed29_ridge_conservative,joint_coupling_exact_count,6.1868819647952416,14.198820114500304,-1.8255843648302816,21598.080119609793,-0.025069440411993448,0.12269685625508736,3.446821179215736,0.23449371277299802,0.00011477119113546949
eqmotion,seed29_ridge_moderate,independent_coupling_reference,6.188164555659911,14.196704793049982,-1.8466936352251506,21821.611286303898,-0.008064264092445542,0.12809726489963227,3.458110969813977,0.3960026472534745,0.00022173820005062298
eqmotion,seed29_ridge_moderate,unary_geometry_exact_count,6.188146109848328,14.1966667482036,-1.846390048450065,21822.3486933565,-0.007723362304470418,0.1280842030106695,3.458110969813977,0.3960026472534745,0.00021860524237933372
eqmotion,seed29_ridge_moderate,joint_coupling_exact_count,6.188152127117368,14.196680654049644,-1.8464890824933378,21821.611286303898,-0.007948803108518643,0.1280846202016699,3.458110969813977,0.3960026472534745,0.00021799573250880615
eqmotion,seed29_neural_cost_conservative,independent_coupling_reference,6.078605345817039,14.131611854640207,-0.04353485051269626,517.1105311529433,0.0010163867991398313,0.0034966350206659426,1.6959054135167484,0.021310390469887492,7.412261247994342e-06
eqmotion,seed29_neural_cost_conservative,unary_geometry_exact_count,6.078605345817039,14.131611854640207,-0.04353485051269626,517.1105311529433,0.0010163867991398313,0.0034966350206659426,1.6959054135167484,0.021310390469887492,7.412261247994342e-06
eqmotion,seed29_neural_cost_conservative,joint_coupling_exact_count,6.078605345817039,14.131611854640207,-0.04353485051269626,517.1105311529433,0.0010163867991398313,0.0034966350206659426,1.6959054135167484,0.021310390469887492,7.412261247994342e-06
eqmotion,seed29_neural_cost_moderate,independent_coupling_reference,6.081288320877805,14.133080545507704,-0.08769206976358085,1140.0652810252398,0.009527496930281073,0.006993231039479979,1.7332810333295796,0.03629384513567174,1.8133931835766614e-05
