view,locality,slice,rows,mean_cv,gain_pred,gain_actual,harm_pred,harm_actual,gain_mae,harm_mae,risk_mass_pred,risk_mass_actual,risk_harm_pred,risk_harm_actual,risk_mass_mae,risk_harm_mae
damping097_fold2_seed17_all_utility_only,eu-locality-110,selected,617,93.7829500453247,8.483570098876953,10.233370517738278,0.3407897651195526,0.41425871865366853,4.803935620558949,0.7053745850941087,38.84503703667047,93.78295004532477,0.2657830766854467,0.41425871865366853,60.790057721458325,0.6367285414776458
damping097_fold2_seed17_all_utility_only,eu-locality-112,population,5004,24.679682084525158,1.0474803447723389,1.8116739259149108,0.6310474276542664,0.4293223724095752,1.460272097872323,0.7542656273646967,16.68765645558506,24.679682084525137,1.1206209917997787,0.4293223724095752,16.423446728319284,1.2481456546814427
damping097_fold2_seed17_all_utility_only,eu-locality-112,selected,231,53.43800805969475,4.930416107177734,5.188851711586305,0.2847580909729004,0.2395126965267056,3.650799026238721,0.48785665994376043,28.186403719006808,53.43800805969477,0.25030676835054727,0.2395126965267056,32.984804153461155,0.44725273036934116
damping097_fold2_seed17_all_utility_only,eu-locality-119,population,5639,28.946880038043894,2.0376293659210205,2.417453110440135,0.9640567302703857,1.2550304636548228,2.125588784266896,1.4661062825156996,21.47847681272016,28.9468800380438,1.312093357090835,1.2550304636548228,20.7901946902932,1.746382971213715
damping097_fold2_seed17_all_utility_only,eu-locality-119,selected,326,61.310826088535045,7.919492244720459,9.788464416200178,0.3401966392993927,0.3728336172173373,4.288263656470692,0.6475692907872129,37.07494057760648,61.310826088534995,0.3109507597272125,0.3728336172173373,33.39390089241136,0.6212089167463303
damping097_fold2_seed17_all_utility_only,eu-locality-124,population,3550,42.613481942133895,2.2237305641174316,3.4453156411528867,1.1631618738174438,0.9673445252204965,2.7369981622190025,1.4315214280881285,20.31788274290906,42.61348194213386,1.2602209523700403,0.9673445252204965,32.04639353423353,1.7485598436709462
damping097_fold2_seed17_all_utility_only,eu-locality-124,selected,377,81.55552688622856,9.126948356628418,9.10898888332173,0.299684077501297,0.590593493883081,5.420940991678757,0.8157071940528904,37.02561051052666,81.55552688622856,0.24770085676122292,0.590593493883081,55.108554298006446,0.7534999564751216
damping097_fold2_seed17_all_utility_only,eu-locality-126,population,5790,19.860903597678185,1.2672559022903442,1.7888685362369685,0.7291001081466675,0.5669997723146128,1.3642256087650728,0.7969021036744468,20.107509803846607,19.860903597678202,1.2557418718974387,0.5669997723146128,16.87208794350182,1.4228409167110503
damping097_fold2_seed17_all_utility_only,eu-locality-126,selected,314,64.61961113016956,8.683958053588867,10.206559729675954,0.34033820033073425,0.45952663384906833,4.628828943094635,0.727330537244153,41.44150055247317,64.61961113016962,0.23051209112941567,0.45952663384906833,32.001971581606035,0.6494373587307247
damping097_fold2_seed17_all_risk_only,eu-locality-007,population,5526,13.731098649130566,1.454270601272583,1.283424938486193,0.7815154194831848,0.39409710457999486,1.30728007937349,0.7798170906237859,14.9977445602417,13.731098649130544,0.4789864122867584,0.39409710457999486,10.531810292265343,0.5696069637552995
damping097_fold2_seed17_all_risk_only,eu-locality-007,selected,2871,10.41241447091311,1.9202699661254883,1.258960341218951,0.1973644196987152,0.10442403658157869,1.4110697873366795,0.28465513729187036,15.050039291381836,10.412414470913117,0.07303020358085632,0.10442403658157869,9.706615716347125,0.15975566165299532
damping097_fold2_seed17_all_risk_only,eu-locality-074,population,102348,19.761464600296893,1.981818437576294,1.8363132085555802,0.8608160614967346,0.7370270630916215,1.6151273684366887,0.9891181261588461,19.681901931762695,19.761464600296776,0.7211969494819641,0.7370270630916215,13.581502267758387,0.9246867036231033
damping097_fold2_seed17_all_risk_only,eu-locality-074,selected,44455,15.341775520337693,2.599400043487549,1.6979023074286816,0.2508404850959778,0.13638067826546627,1.4681077350859904,0.3478535705616747,18.880834579467773,15.34177552033757,0.12685386836528778,0.13638067826546627,12.3585340290441,0.2298329995108
damping097_fold2_seed17_all_risk_only,eu-locality-082,population,1368,13.688548886436024,1.0937221050262451,1.270129165930008,0.7440800666809082,0.5493385733695222,1.4614252831455472,0.8868115193858376,12.300915718078613,13.688548886436054,0.6936355829238892,0.5493385733695222,11.234698588154565,0.8648088575771089
damping097_fold2_seed17_all_risk_only,eu-locality-082,selected,527,9.218717917836182,1.687010645866394,0.9758589989407828,0.24624627828598022,0.06628968173303264,1.5129519045173772,0.29754304624915234,14.96383285522461,9.218717917836178,0.07722310721874237,0.06628968173303264,11.399920571343886,0.13091713913519298
damping097_fold2_seed17_all_risk_only,eu-locality-110,population,8550,30.697946977148565,1.8840099573135376,2.379943167912348,0.7918237447738647,0.26440351815398194,1.8595419761539722,0.8313048529321019,20.514095306396484,30.697946977148565,0.6257385611534119,0.26440351815398194,22.708241090905716,0.6831034820750145
damping097_fold2_seed17_all_risk_only,eu-locality-110,selected,5298,18.647150828556576,1.9000747203826904,1.4885908582038407,0.34300482273101807,0.06299645138070822,1.2072932689778084,0.3855324597320281,18.88806915283203,18.647150828556516,0.13375915586948395,0.06299645138070822,17.155489465447875,0.18193322203035026
damping097_fold2_seed17_all_risk_only,eu-locality-112,population,5004,24.679682084525158,1.5191491842269897,1.8116739259149108,0.7284829020500183,0.4293223724095752,1.560532558265854,0.8187993860917461,16.704965591430664,24.679682084525137,0.7029359936714172,0.4293223724095752,16.42154640436706,0.8205299910833337
