arm,schedule,mode,seed,requested_rate,rows,ade,fde,cv_ade,gain_percent,native_pixel_ade,native_pixel_cv_ade,harm_over_cv,easy_rows,moving_rows,hard_rows,easy_absolute_harm,easy_pixel_harm,easy_percentage_degradation,easy_percentage_reason,moving_gain_percent,hard_gain_percent,actual_changed_rate,tail_ade95,tail_ade99,rows_helped,rows_harmed,binary_oracle_ade,binary_oracle_gain_percent,regret_to_binary_future_oracle,oracle_is_deployable
past_rgb,constant,fixed_probability_guard,17,0.025921658986175114,6944,775.3930153127568,1568.6816257911667,773.9476085867074,-0.1867576965175699,0.7753930521419488,0.7739476453472461,1.4454067260493568,3769,3175,496,1.6406552891337027,0.0016406553670606475,,zero_error_CV_denominator,-0.07169826987123429,0.003278227317426996,0.025921658986175114,2995.9352076779546,9109.718933300863,28,152,773.8467566298256,0.013030850636774893,1.5462586829312244,False
past_rgb,cosine,uncontrolled,17,1.0,6944,787.6825075512224,1606.8394984095721,773.9476085867074,-1.7746548748430513,0.787682544964134,0.7739476453472461,13.7348989645151,3769,3175,496,22.526009320867615,0.02252601039079565,,zero_error_CV_denominator,-0.1949021173595078,-0.04839108555034777,1.0,2988.458095716361,9113.086771692911,1367,5577,772.2036555066902,0.22533218795025567,15.478852044532367,False
past_rgb,cosine,fixed_probability_guard,17,0.025921658986175114,6944,774.8406346645936,1567.8907984817022,773.9476085867074,-0.11538585661075018,0.7748406714675488,0.7739476453472461,0.8930260778861099,3769,3175,496,0.9547508237585473,0.0009547508691067781,,zero_error_CV_denominator,-0.048429023509144464,0.003204095967024312,0.025921658986175114,2995.9352076779546,9109.718933300863,29,151,773.8922121886422,0.00715764186755008,0.9484224759513588,False
past_rgb,constant,uncontrolled,29,1.0,6944,837.4344591417599,1714.459163946534,773.9476085867074,-8.202990725817315,0.8374344989177623,0.7739476453472461,63.48685055505252,3769,3175,496,100.06693720838275,0.10006694196130723,,zero_error_CV_denominator,-1.1852798771659234,-0.20330040900775614,1.0,2994.669433544492,9105.401548818118,1089,5855,768.2804345489876,0.7322425930184728,69.15402459277227,False
past_rgb,constant,fixed_probability_guard,29,0.019585253456221197,6944,776.8051204563073,1572.116674195977,773.9476085867074,-0.36921257174218347,0.7768051573525708,0.7739476453472461,2.857511869600001,3769,3175,496,3.8441652040387084,0.003844165386626757,,zero_error_CV_denominator,-0.09962063049775427,-0.0008529959509839813,0.019585253456221197,2995.9352076779546,9109.718933300863,9,127,773.8330942790313,0.014796131728489481,2.9720261772759495,False
past_rgb,cosine,uncontrolled,29,1.0,6944,793.9209287992892,1628.0451530744024,773.9476085867074,-2.5807070131083965,0.79392096650851,0.7739476453472461,19.973320212581847,3769,3175,496,33.417791621260434,0.03341779320852036,,zero_error_CV_denominator,-0.23711176236012044,-0.06804964939430835,1.0,2999.1094638832096,9114.41714752607,1401,5543,770.9958170527751,0.3813942314935814,22.925111746514048,False
past_rgb,cosine,fixed_probability_guard,29,0.019585253456221197,6944,775.1489044573083,1569.0754086030497,773.9476085867074,-0.15521669132030347,0.7751489412749055,0.7739476453472461,1.2012958706008672,3769,3175,496,1.4053793088446764,0.0014053793755966118,,zero_error_CV_denominator,-0.05665720806549146,0.0024227718803060405,0.019585253456221197,2995.9352076779546,9109.718933300863,16,120,773.8884163409584,0.007648094663270655,1.2604881163497552,False
past_rgb,constant,uncontrolled,43,1.0,6944,808.804942959156,1628.394860115265,773.9476085867074,-4.503836433592845,0.8088049813753295,0.7739476453472461,34.85733437244864,3769,3175,496,53.18845821488694,0.05318846074120314,,zero_error_CV_denominator,-0.773721066312616,-0.17616916493676804,1.0,3013.260913323754,9113.549711196794,995,5949,771.4229247416732,0.32620862407527484,37.3820182174828,False
past_rgb,constant,fixed_probability_guard,43,0.015120967741935484,6944,775.0077857408138,1567.5129706478026,773.9476085867074,-0.1369830647894199,0.7750078225517083,0.7739476453472461,1.060177154106367,3769,3175,496,1.2703163889941738,0.0012703164493309644,,zero_error_CV_denominator,-0.04789556643118864,0.001744850637097617,0.015120967741935484,2995.9352076779546,9109.718933300863,12,93,773.9029799160901,0.005766368436588287,1.1048058247236376,False
past_rgb,cosine,uncontrolled,43,1.0,6944,788.5486474795713,1610.9907748683438,773.9476085867074,-1.8865668335776187,0.7885486849336224,0.7739476453472461,14.601038892864034,3769,3175,496,24.308162540311542,0.02430816369488731,,zero_error_CV_denominator,-0.18183137620384482,-0.04804905635509282,1.0,2989.685600054205,9111.596341367773,1361,5583,772.0212545405367,0.2488997995210962,16.527392939034666,False
