arm,schedule,mode,group_type,group,rows,ade,cv_ade,gain_percent,harm_over_cv,easy_pixel_harm,actual_changed_rate
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video4:185,35,2854.1440605590365,2822.59825001399,-1.1176160314309902,31.545810545047217,0.03582690389185292,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video4:21,25,42.001313554821515,0.0,,42.001313554821515,0.04200131554977686,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video4:27,6,25.233811577399123,0.0,,25.233811577399123,0.025233812775940858,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video4:28,7,40.17209054277445,0.0,,40.17209054277445,0.04017209245084635,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video4:43,4,35.95429445475981,0.0,,35.95429445475981,0.035954296162497165,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video4:45,8,33.33079604791144,0.0,,33.33079604791144,0.0333307976310393,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video4:71,14,30.25936831662217,0.0,,30.25936831662217,0.03025936975386504,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video4:79,11,41.3956742966363,0.0,,41.3956742966363,0.041395676262825316,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video4:82,20,57.270629650672234,0.0,,57.270629650672234,0.05727063237088118,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video4:85,15,48.391026353174645,0.0,,48.391026353174645,0.04839102865162506,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:105,15,33.022927541874225,0.0,,33.022927541874225,0.033022929110379115,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:11,64,668.3030117900516,650.1077504522352,-2.798807017015137,18.195261337816294,0.029390711024761235,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:12,55,907.3322044907438,890.7619654211832,-1.8602319938217926,16.57023906956068,0.02919104157637252,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:152,5,19.001721188950288,0.0,,19.001721188950288,0.019001722091483614,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:158,9,29.541341213108428,0.0,,29.541341213108428,0.029541342616246843,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:159,8,28.891344015697502,0.0,,28.891344015697502,0.028891345387962706,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:169,17,26.00129264986299,0.0,,26.00129264986299,0.026001293884858123,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:31,25,27.323804988632435,0.0,,27.323804988632435,0.02732380628644353,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:32,25,26.405144208657784,0.0,,26.405144208657784,0.026405145462834838,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:42,25,27.97698705600526,0.0,,27.97698705600526,0.027976988384840844,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:46,10,38.305554946479006,0.0,,38.305554946479006,0.03830555676589524,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:47,7,39.15032357014916,0.0,,39.15032357014916,0.03915032542968975,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:61,25,28.664350321363436,0.0,,28.664350321363436,0.028664351682847013,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:84,21,2250.9695263284166,2246.9904503535045,-0.17708468561965507,3.979075974912949,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:85,35,231.4409888506333,215.0396519675999,-7.62712212978498,16.401336883033373,0.022722692293295467,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:88,3,33.76915062956061,0.0,,33.76915062956061,0.0337691522335092,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video5:90,3,42.498382111256056,0.0,,42.498382111256056,0.0424983841298209,1.0
