group,action,metric,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,endpoint,eu-locality-082,859,19.408990847208255,25.471426904331437,23.800928310350212,89.1629258041888,217.66005499482785,115.16354557853296
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,endpoint,eu-locality-112,3719,34.4317008301239,47.968287530342636,28.219866493370404,134.88245357950035,305.5426577683586,180.87314969023402
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,endpoint,eu-locality-126,4579,29.235333145151472,40.13090423960287,27.150076234014154,139.88726080100463,283.38896628839495,186.14679086195613
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,easy_complete,eu-locality-008,28571,2.120216014094681,2.7629764959909724,23.263335132561746,4.48557722528827,7.628431497511578,5.673856907185136
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,easy_complete,eu-locality-020,178,1.7840730178900932,2.224971751677579,19.815925009162825,4.430217624519518,7.634992483488128,5.486303503667565
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,easy_complete,eu-locality-048,1146,2.1992161767292453,2.800108425650662,21.45960647155252,4.710222026458887,9.144688996447789,5.780711599696689
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,easy_complete,eu-locality-067,551,2.297104346609902,2.7690810670702284,17.044525206323836,5.881407925642339,8.657058042951856,6.524621771064362
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,easy_complete,eu-locality-074,11433,2.7473171497685756,3.4621854571816693,20.647891808632913,6.78047133406066,11.35278230548991,7.149801990534299
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,easy_complete,eu-locality-082,284,1.887698902832627,2.421242064724888,22.035928157100003,4.208205153935359,7.2555047529086325,5.203489563006431
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,easy_complete,eu-locality-112,330,2.669588498618458,3.3025544559716806,19.165950654006426,6.648791134709214,12.758263280077726,7.419917915140831
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,easy_complete,eu-locality-126,1425,1.81134409740578,2.3830052935519723,23.989086289191864,4.185131904421001,6.328499784723702,5.241750232337358
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,hard_complete,eu-locality-008,16020,89.93263297400794,121.22935700782513,25.81612639568569,205.6430034893673,350.99963571146503,273.7373996899393
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,hard_complete,eu-locality-020,12,79.45625033681587,92.21205210121825,13.833117769031688,114.43867577212549,124.7788183952435,118.43938924577421
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,hard_complete,eu-locality-048,1483,110.768068063281,144.02171649004276,23.089329329761753,255.23316554001136,388.36434844252994,309.0389558972078
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,hard_complete,eu-locality-067,1231,96.7269587420771,135.7079815460037,28.72419319766569,246.19699075121974,332.53196317155675,300.1127604707125
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,hard_complete,eu-locality-074,12476,82.26478761955208,122.3726326632857,32.77517543819811,199.03762724954302,327.0721179882905,278.7554990988674
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,hard_complete,eu-locality-082,57,90.9675695723719,119.42091110739061,23.826096511214622,210.23514162904567,272.66499140726404,243.99478619891514
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,hard_complete,eu-locality-112,449,92.43514877545296,135.77060221498076,31.918141875006146,283.91932360866133,449.40670633891176,391.51283762831025
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,hard_complete,eu-locality-126,695,115.25806560605794,159.98722908112393,27.95795872705902,304.40356842544156,466.55436825232044,386.522648619538
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,all,eu-locality-008,157961,14.943089182993884,18.214515006924465,17.960543131051853,51.896213407621225,105.43557196627127,63.9700524103003
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,all,eu-locality-020,1225,5.931716629486649,6.529874789510041,9.160331236125796,18.817914572053354,38.78548288034698,21.020763749430696
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,all,eu-locality-048,8058,21.835171080567193,26.698045849916497,18.21434720985211,74.00328908941691,130.49485402124438,89.55098636922551
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,all,eu-locality-067,6903,23.396016205647815,29.011553933538778,19.3562114623551,76.57878855784854,140.80858386280676,93.29868317030169
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,all,eu-locality-074,102348,15.662275515942936,19.761464600296893,20.743346544731168,52.454502638342085,104.88590464837988,64.81408896393752
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,all,eu-locality-082,1368,11.486227747095468,13.688548886436024,16.088784557162484,42.13256807147018,91.79697484853989,51.85945295918717
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,all,eu-locality-112,5004,19.718286551375456,24.679682084525158,20.103158201785078,70.62525547755236,142.67971589670117,86.2710070848162
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,all,eu-locality-126,5790,15.633739319984498,19.860903597678185,21.28384671374095,70.27278644153341,137.74378399659582,86.5533275336093
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,easy,eu-locality-008,39889,1.4851026348619472,1.791172498853141,17.08768218511425,2.7737739054014985,3.2286375690528377,3.2504176960159774
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,easy,eu-locality-020,593,1.1451024209101397,1.2706472215919324,9.880382103578977,2.958062000988265,3.3539693472567857,3.051349724629029
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,easy,eu-locality-048,1582,1.4678417880719714,1.7551327263969017,16.36861611683964,2.81329406885399,3.287846021756258,3.2298308573246963
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,easy,eu-locality-067,1219,1.4613390677205293,1.6528940070695597,11.589063698563528,2.936144784213768,3.2709477310132966,3.222473275402277
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,easy,eu-locality-074,17048,1.7242909641890034,2.0239574238081066,14.80596657291714,3.0843903940919053,3.459142683502938,3.3016095862663026
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,easy,eu-locality-082,513,1.364618231729869,1.6221340438704122,15.87512530876366,2.7012301393781466,3.103869871699377,3.137173321764387
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,easy,eu-locality-112,571,1.7823865171165745,2.110763890677913,15.557276444400125,2.989410537156318,3.1827190298978683,3.3318797717711783
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,easy,eu-locality-126,2160,1.2085559920632782,1.4931553251754432,19.060263076028285,2.6334035030531306,3.155313482035813,3.15811922069773
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,hard,eu-locality-008,28100,48.33452259243895,60.74188321281993,20.426368041487287,110.1069157864244,181.90375413564962,138.48767980783674
fold1_seed17_easy,floor_neural_oracle,ADE_vs_CV,hard,eu-locality-020,30,39.14479824505613,43.81825835804657,10.6655542418021,59.844390849546144,65.75616641653264,64.04793996418368
