view,locality,slice,rows,positive_rows,probability_mean,positive_rate,brier,ece,positive_fraction_mse
damping097_fold0_seed17_all_hurdle,eu-locality-007,selected,2579,469,0.1414145976305008,0.18185343156262118,0.1498946249485016,0.0453492615367609,0.014782914803327033
damping097_fold0_seed17_all_hurdle,eu-locality-008,population,157961,32908,0.18416090309619904,0.20832990421686365,0.14874175190925598,0.05207395783547912,0.015374122336120207
damping097_fold0_seed17_all_hurdle,eu-locality-008,selected,95972,12093,0.14225733280181885,0.1260055016046347,0.11060293018817902,0.03726566576272795,0.01492668591626813
damping097_fold0_seed17_all_hurdle,eu-locality-020,population,1225,458,0.3443557918071747,0.37387755102040815,0.18100550770759583,0.08587426744553507,0.0207131330491522
damping097_fold0_seed17_all_hurdle,eu-locality-020,selected,240,37,0.18426816165447235,0.15416666666666667,0.13336782157421112,0.04008563216775655,0.015492364874095062
damping097_fold0_seed17_all_hurdle,eu-locality-048,population,8058,2235,0.2338314950466156,0.27736411020104246,0.17213846743106842,0.060147576297585506,0.015401835892053689
damping097_fold0_seed17_all_hurdle,eu-locality-048,selected,4458,604,0.15569549798965454,0.1354867653656348,0.1185515746474266,0.030881333399268213,0.015439078750641334
damping097_fold0_seed17_all_hurdle,eu-locality-067,population,6903,2011,0.22968681156635284,0.29132261335651166,0.18685464560985565,0.07439996270503613,0.014772492081319302
damping097_fold0_seed17_all_hurdle,eu-locality-067,selected,3595,639,0.1453947275876999,0.17774687065368566,0.1466103196144104,0.03551577750142658,0.013890548970006644
damping097_fold0_seed17_all_hurdle,eu-locality-110,population,8550,946,0.1885966658592224,0.11064327485380117,0.10309335589408875,0.0799861990987209,0.016215311201545644
damping097_fold0_seed17_all_hurdle,eu-locality-110,selected,6754,561,0.1617801934480667,0.08306188925081433,0.08362315595149994,0.08214014155256844,0.01585990041395454
damping097_fold0_seed17_all_hurdle,eu-locality-119,population,5639,1494,0.21799319982528687,0.26494059230359995,0.17260335385799408,0.05090760900093151,0.019684510568528192
damping097_fold0_seed17_all_hurdle,eu-locality-119,selected,3383,613,0.17168880999088287,0.18120011823825008,0.145521879196167,0.019317785589045896,0.015643770936449516
damping097_fold0_seed17_all_hurdle,eu-locality-124,population,3550,676,0.22827737033367157,0.19042253521126762,0.13947784900665283,0.04838351954037034,0.016610030520139003
damping097_fold0_seed17_all_hurdle,eu-locality-124,selected,2029,230,0.16252584755420685,0.11335633316904879,0.10439331829547882,0.055005969746821384,0.014333090726377055
damping097_fold0_seed17_easy_product_mse,eu-locality-007,population,5526,367,0.019639477133750916,0.0664133188563156,0.06397462636232376,0.04694914842011637,0.016423719425837268
damping097_fold0_seed17_easy_product_mse,eu-locality-007,selected,2248,157,0.02220570668578148,0.06983985765124555,0.06695382297039032,0.04763415096546407,0.017767588705981874
damping097_fold0_seed17_easy_product_mse,eu-locality-008,population,157961,5312,0.02283220738172531,0.033628553883553534,0.032650742679834366,0.010845730791703957,0.01766576620334801
damping097_fold0_seed17_easy_product_mse,eu-locality-008,selected,84405,3287,0.02295297011733055,0.03894319056927907,0.037668630480766296,0.01601161606913035,0.018507851425214886
damping097_fold0_seed17_easy_product_mse,eu-locality-020,population,1225,172,0.015066429041326046,0.1404081632653061,0.1362447440624237,0.12534173422398007,0.026441791237192844
damping097_fold0_seed17_easy_product_mse,eu-locality-020,selected,295,25,0.012070001102983952,0.0847457627118644,0.08265779912471771,0.07267576160888045,0.014019330882336393
damping097_fold0_seed17_easy_product_mse,eu-locality-048,population,8058,233,0.020428674295544624,0.02891536361379995,0.02790019102394581,0.008512570917306778,0.01554170926233973
