view,locality,slice,rows,reference_pred,harm_pred,reference_actual,harm_actual
damping097_fold0_seed17_all_envelope,eu-locality-008,population,157961,25.691558837890625,0.6278353333473206,18.214515006924312,0.8859677378340031
damping097_fold0_seed17_all_envelope,eu-locality-008,selected,80200,24.027145385742188,0.23296482861042023,13.135055826439332,0.4116682955330788
damping097_fold0_seed17_all_envelope,eu-locality-020,population,1225,16.29410171508789,0.4740789532661438,6.529874789510041,1.3394418305004283
damping097_fold0_seed17_all_envelope,eu-locality-020,selected,224,8.343903541564941,0.06154761090874672,3.5513183238074038,0.14043770283307963
damping097_fold0_seed17_all_envelope,eu-locality-048,population,8058,32.642784118652344,0.9918950796127319,26.698045849916557,1.4652879197269684
damping097_fold0_seed17_all_envelope,eu-locality-048,selected,3390,27.150039672851562,0.29922741651535034,17.820389740737,0.47945274764645096
damping097_fold0_seed17_all_envelope,eu-locality-067,population,6903,24.368608474731445,0.8720800876617432,29.01155393353873,1.0318454657312008
damping097_fold0_seed17_all_envelope,eu-locality-067,selected,2474,20.904613494873047,0.2233208566904068,17.203272557277984,0.18752616036865158
damping097_fold0_seed17_all_envelope,eu-locality-110,population,8550,24.076894760131836,0.4671206474304199,30.697946977148565,0.26440351815398194
damping097_fold0_seed17_all_envelope,eu-locality-110,selected,5733,22.428056716918945,0.21886830031871796,20.976348641579047,0.09768994736223027
damping097_fold0_seed17_all_envelope,eu-locality-119,population,5639,25.89794921875,0.6965983510017395,28.9468800380438,1.2550304636548228
damping097_fold0_seed17_all_envelope,eu-locality-119,selected,2687,22.091594696044922,0.22726191580295563,17.671651564061477,0.3595590452811249
damping097_fold0_seed17_all_envelope,eu-locality-124,population,3550,27.447954177856445,0.9003145694732666,42.61348194213386,0.9673445252204965
damping097_fold0_seed17_all_envelope,eu-locality-124,selected,1658,24.00194549560547,0.2564457058906555,28.183567746519294,0.16871881169242192
damping097_fold0_seed17_all_product_mse,eu-locality-007,population,5526,17.83876609802246,0.4152160882949829,13.731098649130544,0.39409710457999486
damping097_fold0_seed17_all_product_mse,eu-locality-007,selected,1954,20.987009048461914,0.20856502652168274,11.99163082777951,0.13208654405467693
damping097_fold0_seed17_all_product_mse,eu-locality-008,population,157961,25.58611488342285,0.6504592895507812,18.214515006924312,0.8859677378340031
damping097_fold0_seed17_all_product_mse,eu-locality-008,selected,77722,24.4425106048584,0.23366908729076385,13.401188060867867,0.41290643404940125
damping097_fold0_seed17_all_product_mse,eu-locality-020,population,1225,16.36722183227539,0.46918606758117676,6.529874789510041,1.3394418305004283
damping097_fold0_seed17_all_product_mse,eu-locality-020,selected,236,9.381993293762207,0.07230377942323685,3.7433951103367407,0.1786287187546637
damping097_fold0_seed17_all_product_mse,eu-locality-048,population,8058,32.7498893737793,1.0150362253189087,26.698045849916557,1.4652879197269684
damping097_fold0_seed17_all_product_mse,eu-locality-048,selected,3425,29.0848388671875,0.3157424330711365,19.259856189218542,0.4632347510226629
damping097_fold0_seed17_all_product_mse,eu-locality-067,population,6903,24.552507400512695,0.8693467378616333,29.01155393353873,1.0318454657312008
damping097_fold0_seed17_all_product_mse,eu-locality-067,selected,2479,22.06515121459961,0.23110540211200714,18.920164528249476,0.18467197771475177
damping097_fold0_seed17_all_product_mse,eu-locality-110,population,8550,24.024614334106445,0.4710555076599121,30.697946977148565,0.26440351815398194
damping097_fold0_seed17_all_product_mse,eu-locality-110,selected,5602,22.926883697509766,0.2206389307975769,22.0446594341334,0.1020243165176667
damping097_fold0_seed17_all_product_mse,eu-locality-119,population,5639,25.941919326782227,0.7266597151756287,28.9468800380438,1.2550304636548228
damping097_fold0_seed17_all_product_mse,eu-locality-119,selected,2601,22.75069808959961,0.23697145283222198,18.231923303255783,0.30513820505353334
damping097_fold0_seed17_all_product_mse,eu-locality-124,population,3550,27.436582565307617,0.893294632434845,42.61348194213386,0.9673445252204965
