tag,arm,seed,pair,parameters,fitting_prior,start_BCE,end_BCE,start_Brier,end_Brier,fit_seconds
fold1_seed29_controller2_full_eu-locality-067,linear,29,full,400,0.07726118106919656,0.2838592231273651,0.209661602973938,0.07532487064599991,0.05653291195631027,0.6392030839924701
fold1_seed29_controller2_full_eu-locality-067,mlp,29,full,12833,0.07726118106919656,0.2838592231273651,0.15001940727233887,0.07532487064599991,0.041171759366989136,1.6724760000070091
fold1_seed29_controller2_motion_only_eu-locality-008,linear,29,motion_only,400,0.0695508864335294,0.23418855667114258,0.13526493310928345,0.058643460273742676,0.03667174652218819,0.5183921249990817
fold1_seed29_controller2_motion_only_eu-locality-008,mlp,29,motion_only,12833,0.0695508864335294,0.23418855667114258,0.06425490975379944,0.058643460273742676,0.018906645476818085,1.2792290420038626
fold1_seed29_controller2_motion_only_eu-locality-020,linear,29,motion_only,400,0.004417234143177129,0.02559029497206211,0.029121359810233116,0.003891250817105174,0.003931017126888037,0.6207724999985658
fold1_seed29_controller2_motion_only_eu-locality-020,mlp,29,motion_only,12833,0.004417234143177129,0.02559029497206211,0.028384197503328323,0.003891250817105174,0.003954790998250246,1.4788047089823522
fold1_seed29_controller2_motion_only_eu-locality-048,linear,29,motion_only,400,0.04445453411037929,0.17729304730892181,0.07868046313524246,0.04112464189529419,0.019721735268831253,0.6239674169919454
fold1_seed29_controller2_motion_only_eu-locality-048,mlp,29,motion_only,12833,0.04445453411037929,0.17729304730892181,0.033778395503759384,0.04112464189529419,0.007918787188827991,1.2462262499902863
fold1_seed29_controller2_motion_only_eu-locality-067,linear,29,motion_only,400,0.035050818063131435,0.1910834014415741,0.10653039067983627,0.044817548245191574,0.027203427627682686,0.6547247920243535
fold1_seed29_controller2_motion_only_eu-locality-067,mlp,29,motion_only,12833,0.035050818063131435,0.1910834014415741,0.07969006896018982,0.044817548245191574,0.01519419439136982,1.2758478749892674
fold1_seed43_controller0_full_eu-locality-074,linear,43,full,400,0.050622205284679665,0.2122603952884674,0.1412455439567566,0.05171329528093338,0.03518731892108917,0.5157763340102974
fold1_seed43_controller0_full_eu-locality-074,mlp,43,full,12833,0.050622205284679665,0.2122603952884674,0.1019948422908783,0.05171329528093338,0.025954533368349075,1.1915756250091363
fold1_seed43_controller0_full_eu-locality-082,linear,43,full,400,0.05599898034699704,0.22314317524433136,0.16629788279533386,0.055167246609926224,0.04196058213710785,0.5818031249800697
fold1_seed43_controller0_full_eu-locality-082,mlp,43,full,12833,0.05599898034699704,0.22314317524433136,0.13712427020072937,0.055167246609926224,0.035943325608968735,1.1971311670204159
fold1_seed43_controller0_full_eu-locality-112,linear,43,full,400,0.060880412074658594,0.2765650153160095,0.1991291344165802,0.07231885939836502,0.05516308918595314,0.5999489999958314
fold1_seed43_controller0_full_eu-locality-112,mlp,43,full,12833,0.060880412074658594,0.2765650153160095,0.16052214801311493,0.07231885939836502,0.04770088195800781,0.9510998330079019
fold1_seed43_controller0_full_eu-locality-126,linear,43,full,400,0.05110737020719568,0.2806915044784546,0.2207697182893753,0.07275143265724182,0.06099884957075119,0.5857786669803318
fold1_seed43_controller0_full_eu-locality-126,mlp,43,full,12833,0.05110737020719568,0.2806915044784546,0.19044052064418793,0.07275143265724182,0.05286334455013275,1.1360480419825763
fold1_seed43_controller0_motion_only_eu-locality-074,linear,43,motion_only,400,0.009765911479275222,0.11807259172201157,0.07089799642562866,0.02307509444653988,0.018499646335840225,0.504690333007602
fold1_seed43_controller0_motion_only_eu-locality-074,mlp,43,motion_only,12833,0.009765911479275222,0.11807259172201157,0.031755510717630386,0.02307509444653988,0.009084377437829971,1.3428885839821305
fold1_seed43_controller0_motion_only_eu-locality-082,linear,43,motion_only,400,0.017391403826415706,0.11209665238857269,0.09333840757608414,0.02292473614215851,0.021998895332217216,0.6077727079973556
fold1_seed43_controller0_motion_only_eu-locality-082,mlp,43,motion_only,12833,0.017391403826415706,0.11209665238857269,0.08085079491138458,0.02292473614215851,0.021504070609807968,1.063293542014435
fold1_seed43_controller0_motion_only_eu-locality-112,linear,43,motion_only,400,0.020982741892101704,0.12628379464149475,0.10488594323396683,0.026636535301804543,0.025166455656290054,0.5869414999906439
fold1_seed43_controller0_motion_only_eu-locality-112,mlp,43,motion_only,12833,0.020982741892101704,0.12628379464149475,0.08150625228881836,0.026636535301804543,0.02089119143784046,0.8746057090174872
fold1_seed43_controller0_motion_only_eu-locality-126,linear,43,motion_only,400,0.024024098856824376,0.15454939007759094,0.12637120485305786,0.034044213593006134,0.03067121095955372,0.5907467909855768
fold1_seed43_controller0_motion_only_eu-locality-126,mlp,43,motion_only,12833,0.024024098856824376,0.15454939007759094,0.09203800559043884,0.034044213593006134,0.024397555738687515,1.0529707499954384
fold1_seed43_controller2_full_eu-locality-008,linear,43,full,400,0.11425748218020193,0.321326345205307,0.1920650452375412,0.08839511126279831,0.05114701762795448,0.5204677080037072
fold1_seed43_controller2_full_eu-locality-008,mlp,43,full,12833,0.11425748218020193,0.321326345205307,0.12357582151889801,0.08839511126279831,0.03644490987062454,0.9685006249928847
fold1_seed43_controller2_full_eu-locality-020,linear,43,full,400,0.03326638136984309,0.09964043647050858,0.0684661865234375,0.019338436424732208,0.014544053003191948,0.6381037500104867
fold1_seed43_controller2_full_eu-locality-020,mlp,43,full,12833,0.03326638136984309,0.09964043647050858,0.05384819954633713,0.019338436424732208,0.013390759006142616,1.0276813749806024
fold1_seed43_controller2_full_eu-locality-048,linear,43,full,400,0.08824733822045915,0.2839478850364685,0.1834106594324112,0.07534076273441315,0.04693545401096344,0.6018317920097616
fold1_seed43_controller2_full_eu-locality-048,mlp,43,full,12833,0.08824733822045915,0.2839478850364685,0.1545044630765915,0.07534076273441315,0.03799930959939957,0.911929166992195
fold1_seed43_controller2_full_eu-locality-067,linear,43,full,400,0.09023332072211795,0.27509748935699463,0.14440757036209106,0.07216808944940567,0.03388478606939316,0.6135372080025263
fold1_seed43_controller2_full_eu-locality-067,mlp,43,full,12833,0.09023332072211795,0.27509748935699463,0.11533480882644653,0.07216808944940567,0.02426660805940628,1.1717527500004508
fold1_seed43_controller2_motion_only_eu-locality-008,linear,43,motion_only,400,0.05248861549181266,0.20083868503570557,0.1415266990661621,0.0482054278254509,0.03962817043066025,0.5112037080107257
fold1_seed43_controller2_motion_only_eu-locality-008,mlp,43,motion_only,12833,0.05248861549181266,0.20083868503570557,0.12776222825050354,0.0482054278254509,0.03320632129907608,0.9274493750126567
fold1_seed43_controller2_motion_only_eu-locality-020,linear,43,motion_only,400,0.004421997624697266,0.046749942004680634,0.04363564774394035,0.007762960158288479,0.007731541059911251,0.6125076249882113
fold1_seed43_controller2_motion_only_eu-locality-020,mlp,43,motion_only,12833,0.004421997624697266,0.046749942004680634,0.03298803046345711,0.007762960158288479,0.007505758665502071,1.1505688749894034
