model,dataset,subset,horizon,FDE,baseline_FDE,improvement,ADE,episodes,alpha,intervention,residual,physical_validity
per_agent_scene_only,eth_ucy,ge5,1,1.044683,1.045163,0.000459,1.044683,21,0.609277,0.936508,0.272558,1.0
per_agent_scene_only,eth_ucy,ge5,5,2.688,2.759664,0.025968,1.977389,21,0.609277,0.936508,0.272558,0.919048
per_agent_scene_only,eth_ucy,ge5,10,5.119747,5.169275,0.009581,3.204055,21,0.609277,0.936508,0.272558,0.903571
per_agent_scene_only,eth_ucy,pedestrian_drone,1,0.788162,0.789101,0.00119,0.788162,31,0.56807,0.892473,0.240122,1.0
per_agent_scene_only,eth_ucy,pedestrian_drone,5,2.689107,2.732957,0.016045,1.781943,31,0.56807,0.892473,0.240122,0.945161
per_agent_scene_only,eth_ucy,pedestrian_drone,10,5.157833,5.17126,0.002596,3.013454,31,0.56807,0.892473,0.240122,0.934677
per_agent_scene_only,eth_ucy_ewap,all,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.331535,1.0
per_agent_scene_only,eth_ucy_ewap,all,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.331535,0.936875
per_agent_scene_only,eth_ucy_ewap,all,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.331535,0.946116
per_agent_scene_only,eth_ucy_ewap,all,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.331535,0.968713
per_agent_scene_only,eth_ucy_ewap,all,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.331535,0.984239
per_agent_scene_only,eth_ucy_ewap,all,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.331535,0.992403
per_agent_scene_only,eth_ucy_ewap,hard,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.331535,1.0
per_agent_scene_only,eth_ucy_ewap,hard,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.331535,0.936875
per_agent_scene_only,eth_ucy_ewap,hard,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.331535,0.946116
per_agent_scene_only,eth_ucy_ewap,hard,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.331535,0.968713
per_agent_scene_only,eth_ucy_ewap,hard,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.331535,0.984239
per_agent_scene_only,eth_ucy_ewap,hard,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.331535,0.992403
per_agent_scene_only,eth_ucy_ewap,baseline_failure,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.331535,1.0
per_agent_scene_only,eth_ucy_ewap,baseline_failure,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.331535,0.936875
per_agent_scene_only,eth_ucy_ewap,baseline_failure,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.331535,0.946116
per_agent_scene_only,eth_ucy_ewap,baseline_failure,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.331535,0.968713
per_agent_scene_only,eth_ucy_ewap,baseline_failure,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.331535,0.984239
per_agent_scene_only,eth_ucy_ewap,baseline_failure,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.331535,0.992403
per_agent_scene_only,eth_ucy_ewap,goalbench_official,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.331535,1.0
per_agent_scene_only,eth_ucy_ewap,goalbench_official,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.331535,0.936875
per_agent_scene_only,eth_ucy_ewap,goalbench_official,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.331535,0.946116
per_agent_scene_only,eth_ucy_ewap,goalbench_official,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.331535,0.968713
