seed,candidate,arm,subset,metric,status,count,baseline_error,selected_error,improvement_pct,degradation_fraction,mean_excess_over_floor,switch_rate_valid_labels
17,seed17_ridge_moderate,floor,all,ade,evaluated,33686,1.693476048391338,1.693476048391338,0.0,-0.0,0.0,0.0
17,seed17_ridge_moderate,floor,all,fde,evaluated,33690,3.1558455469375857,3.1558455469375857,0.0,-0.0,0.0,0.0
17,seed17_ridge_moderate,floor,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.001532864067341749,0.0,-0.0,0.0,0.0
17,seed17_ridge_moderate,floor,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.0024195038009013786,0.0,-0.0,0.0,0.0
17,seed17_ridge_moderate,floor,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4564539436101334,0.0,-0.0,0.0,0.0
17,seed17_ridge_moderate,floor,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4185937859578654,0.0,-0.0,0.0,0.0
17,seed17_ridge_moderate,independent,all,ade,evaluated,33686,1.693476048391338,1.70855779772712,-0.8905794298129226,0.008905794298129226,0.015081749335781991,0.10963011340022562
17,seed17_ridge_moderate,independent,all,fde,evaluated,33690,3.1558455469375857,3.1693148010706818,-0.42680333789359753,0.0042680333789359755,0.013469254133096076,0.10961709706144257
17,seed17_ridge_moderate,independent,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.08655800494500754,-5546.815447576775,55.468154475767754,0.08502514087766579,0.12158752007341134
17,seed17_ridge_moderate,independent,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.08472471403951189,-3401.7392412422732,34.01739241242273,0.08230521023861051,0.12158752007341134
17,seed17_ridge_moderate,independent,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4611543430304836,-0.13598906558670618,0.0013598906558670617,0.004700399420350276,0.10966334164588529
17,seed17_ridge_moderate,independent,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4210410754520515,-0.03812812550219407,0.0003812812550219407,0.0024472894941860446,0.10966334164588529
17,seed17_ridge_moderate,independent_count_reference,all,ade,evaluated,33686,1.693476048391338,1.70855779772712,-0.8905794298129226,0.008905794298129226,0.015081749335781991,0.10963011340022562
17,seed17_ridge_moderate,independent_count_reference,all,fde,evaluated,33690,3.1558455469375857,3.1693148010706818,-0.42680333789359753,0.0042680333789359755,0.013469254133096076,0.10961709706144257
17,seed17_ridge_moderate,independent_count_reference,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.08655800494500754,-5546.815447576775,55.468154475767754,0.08502514087766579,0.12158752007341134
17,seed17_ridge_moderate,independent_count_reference,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.08472471403951189,-3401.7392412422732,34.01739241242273,0.08230521023861051,0.12158752007341134
17,seed17_ridge_moderate,independent_count_reference,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4611543430304836,-0.13598906558670618,0.0013598906558670617,0.004700399420350276,0.10966334164588529
17,seed17_ridge_moderate,independent_count_reference,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4210410754520515,-0.03812812550219407,0.0003812812550219407,0.0024472894941860446,0.10966334164588529
17,seed17_ridge_moderate,joint,all,ade,evaluated,33686,1.693476048391338,1.70855779772712,-0.8905794298129226,0.008905794298129226,0.015081749335781991,0.10963011340022562
17,seed17_ridge_moderate,joint,all,fde,evaluated,33690,3.1558455469375857,3.1693148010706818,-0.42680333789359753,0.0042680333789359755,0.013469254133096076,0.10961709706144257
17,seed17_ridge_moderate,joint,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.08655800494500754,-5546.815447576775,55.468154475767754,0.08502514087766579,0.12158752007341134
17,seed17_ridge_moderate,joint,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.08472471403951189,-3401.7392412422732,34.01739241242273,0.08230521023861051,0.12158752007341134
17,seed17_ridge_moderate,joint,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4611543430304836,-0.13598906558670618,0.0013598906558670617,0.004700399420350276,0.10966334164588529
17,seed17_ridge_moderate,joint,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4210410754520515,-0.03812812550219407,0.0003812812550219407,0.0024472894941860446,0.10966334164588529
17,seed17_ridge_moderate,joint_exact_count,all,ade,evaluated,33686,1.693476048391338,1.70855779772712,-0.8905794298129226,0.008905794298129226,0.015081749335781991,0.10963011340022562
17,seed17_ridge_moderate,joint_exact_count,all,fde,evaluated,33690,3.1558455469375857,3.1693148010706818,-0.42680333789359753,0.0042680333789359755,0.013469254133096076,0.10961709706144257
17,seed17_ridge_moderate,joint_exact_count,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.08655800494500754,-5546.815447576775,55.468154475767754,0.08502514087766579,0.12158752007341134
17,seed17_ridge_moderate,joint_exact_count,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.08472471403951189,-3401.7392412422732,34.01739241242273,0.08230521023861051,0.12158752007341134
17,seed17_ridge_moderate,joint_exact_count,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4611543430304836,-0.13598906558670618,0.0013598906558670617,0.004700399420350276,0.10966334164588529
17,seed17_ridge_moderate,joint_exact_count,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4210410754520515,-0.03812812550219407,0.0003812812550219407,0.0024472894941860446,0.10966334164588529
17,seed17_ridge_moderate,scene_uniform,all,ade,evaluated,33686,1.693476048391338,1.693476048391338,0.0,-0.0,0.0,0.0
17,seed17_ridge_moderate,scene_uniform,all,fde,evaluated,33690,3.1558455469375857,3.1558455469375857,0.0,-0.0,0.0,0.0
17,seed17_ridge_moderate,scene_uniform,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.001532864067341749,0.0,-0.0,0.0,0.0
17,seed17_ridge_moderate,scene_uniform,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.0024195038009013786,0.0,-0.0,0.0,0.0
17,seed17_ridge_moderate,scene_uniform,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4564539436101334,0.0,-0.0,0.0,0.0
17,seed17_ridge_moderate,scene_uniform,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4185937859578654,0.0,-0.0,0.0,0.0
17,seed17_ridge_moderate,uncontrolled,all,ade,evaluated,33686,1.693476048391338,2.0599945859774293,-21.642971445285784,0.21642971445285786,0.3665185375860913,1.0
17,seed17_ridge_moderate,uncontrolled,all,fde,evaluated,33690,3.1558455469375857,3.473870763654499,-10.077337816025983,0.10077337816025983,0.3180252167169133,1.0
17,seed17_ridge_moderate,uncontrolled,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,2.197107923898185,-143233.51343464848,1432.335134346485,2.1955750598308432,1.0
17,seed17_ridge_moderate,uncontrolled,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,2.011583764085019,-83040.34321151345,830.4034321151345,2.009164260284118,1.0
17,seed17_ridge_moderate,uncontrolled,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.5818223393456137,-3.627081331931125,0.03627081331931125,0.1253683957354803,1.0
17,seed17_ridge_moderate,uncontrolled,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4941992495445025,-1.1779132019857863,0.011779132019857863,0.075605463586637,1.0
17,seed17_neural_cost_conservative,floor,all,ade,evaluated,33686,1.693476048391338,1.693476048391338,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,floor,all,fde,evaluated,33690,3.1558455469375857,3.1558455469375857,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,floor,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.001532864067341749,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,floor,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.0024195038009013786,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,floor,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4564539436101334,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,floor,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4185937859578654,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,independent,all,ade,evaluated,33686,1.693476048391338,1.6939043773287819,-0.025292884292677162,0.0002529288429267716,0.0004283289374438226,0.022769102891408894
