head,kind,steps,resumed_phase_updates,seconds,parameters,draws,unique_rows,checkpoint_replay_rows,unknown_sampled,fixed_start_loss,fixed_end_loss,stochastic_start_loss,stochastic_end_loss
batch/heads/fold2_seed17_all_floor_utility,bounded_utility,2000,2000,1.5561773340014042,24514,512000,103722,4096,0,,,0.13434214890003204,0.09795285016298294
batch/heads/fold2_seed17_all_floor_risk,ranked_risk,2000,2000,2.3770140829874435,24579,512000,103722,4096,0,3.6975932751185843,2.4485762450700013,3.6975932751185843,1.7507704764392413
batch/heads/fold2_seed17_easy_cv_utility,bounded_utility,2000,2000,2.6178218749992084,24514,512000,103722,4096,0,,,0.14417243003845215,0.09573444724082947
batch/heads/fold2_seed17_easy_cv_risk,ranked_risk,2000,2000,3.630050249994383,24579,512000,103722,4096,0,0.8476440492929798,0.6612600762397493,0.8476440492929798,0.4953272628757812
batch/heads/fold2_seed17_easy_floor_utility,bounded_utility,2000,2000,1.928078375000041,24514,512000,103722,4096,0,,,0.1441064476966858,0.09820996224880219
batch/heads/fold2_seed17_easy_floor_risk,ranked_risk,2000,2000,3.192846083009499,24579,512000,103722,4096,0,0.9260026964927915,0.6786122668605834,0.9260026964927915,0.5302301544830909
batch/heads/fold2_seed29_all_cv_utility,bounded_utility,2000,2000,1.6079710829944815,24514,512000,103862,4096,0,,,0.22564367949962616,0.10348458588123322
batch/heads/fold2_seed29_all_cv_risk,ranked_risk,2000,2000,2.2069740839942824,24579,512000,103862,4096,0,2.38832283109634,1.813193193340129,2.38832283109634,1.8200052800075617
batch/heads/fold2_seed29_all_floor_utility,bounded_utility,2000,2000,1.4979599170037545,24514,512000,103862,4096,0,,,0.2137363702058792,0.09601256251335144
batch/heads/fold2_seed29_all_floor_risk,ranked_risk,2000,2000,2.6495108750095824,24579,512000,103862,4096,0,2.4024106907043348,1.878371553940875,2.4024106907043348,2.0568205050121704
batch/heads/fold2_seed29_easy_cv_utility,bounded_utility,2000,2000,2.572789666010067,24514,512000,103862,4096,0,,,0.22677934169769287,0.1033865362405777
batch/heads/fold2_seed29_easy_cv_risk,ranked_risk,2000,2000,4.003362582996488,24579,512000,103862,4096,0,0.8612239629076422,0.7650389305004153,0.8612239629076422,0.48810907603030607
batch/heads/fold2_seed29_easy_floor_utility,bounded_utility,2000,2000,2.0836361669935286,24514,512000,103862,4096,0,,,0.22605615854263306,0.10344448685646057
batch/heads/fold2_seed29_easy_floor_risk,ranked_risk,2000,2000,2.099290000012843,24579,512000,103862,4096,0,0.9017412465786174,0.6917537116022605,0.9017412465786174,0.5173625727808324
batch/heads/fold2_seed43_all_cv_utility,bounded_utility,2000,2000,2.2947101250028936,24514,512000,103662,4096,0,,,0.18604996800422668,0.330618679523468
batch/heads/fold2_seed43_all_cv_risk,ranked_risk,2000,2000,3.617005666004843,24579,512000,103662,4096,0,2.459372335791713,1.8678384329630198,2.459372335791713,2.5137555909698484
batch/heads/fold2_seed43_all_floor_utility,bounded_utility,2000,2000,1.9344944170006784,24514,512000,103662,4096,0,,,0.16923438012599945,0.30062684416770935
batch/heads/fold2_seed43_all_floor_risk,ranked_risk,2000,2000,3.1180314169905614,24579,512000,103662,4096,0,2.4110608996175187,1.7966297316288737,2.4110608996175187,2.456166395407441
batch/heads/fold2_seed43_easy_cv_utility,bounded_utility,2000,2000,1.969136209008866,24514,512000,103662,4096,0,,,0.18593862652778625,0.3218560218811035
batch/heads/fold2_seed43_easy_cv_risk,ranked_risk,2000,2000,2.4030284999898868,24579,512000,103662,4096,0,0.5037241065169791,0.43949674611283307,0.5037241065169791,0.4182837350184081
batch/heads/fold2_seed43_easy_floor_utility,bounded_utility,2000,2000,2.063748625005246,24514,512000,103662,4096,0,,,0.18500150740146637,0.32450321316719055
batch/heads/fold2_seed43_easy_floor_risk,ranked_risk,2000,2000,2.6195670410088496,24579,512000,103662,4096,0,0.5680889817747419,0.48558599069288655,0.5680889817747419,0.4361518264628824
inner_shared/fold0_half0_seed17,ordinary_utility,2000,1900,1.8887694170116447,22914,512000,98940,4096,0,,,0.011991918087005615,0.007757503539323807
batch/inner_risk/fold0_half0_seed17_all,ranked_risk,2000,2000,2.8386831670068204,22979,512000,98940,4096,0,2.185452393768499,1.9093784066973696,2.185452393768499,1.6780095262563042
batch/inner_risk/fold0_half0_seed17_easy,ranked_risk,2000,2000,2.8371930840075947,22979,512000,98940,4096,0,0.5004348156871112,0.4818213237262397,0.5004348156871112,0.46196882818171797
inner_shared/fold0_half1_seed17,ordinary_utility,2000,2000,1.8210861249972368,22914,512000,7158,4096,0,,,0.03709268197417259,0.0185586828738451
batch/inner_risk/fold0_half1_seed17_all,ranked_risk,2000,2000,2.6509443749964703,22979,512000,7158,4096,0,2.6175352497199973,1.6009937100384035,2.6175352497199973,1.2655699077023836
batch/inner_risk/fold0_half1_seed17_easy,ranked_risk,2000,2000,2.889547750004567,22979,512000,7158,4096,0,1.1412734676805758,0.6433621974785468,1.1412734676805758,0.1440833534561235
inner_shared/fold0_half0_seed29,ordinary_utility,2000,2000,1.6326877499959664,22914,512000,99016,4096,0,,,0.017956698313355446,0.006696845404803753
batch/inner_risk/fold0_half0_seed29_all,ranked_risk,2000,2000,2.826004540998838,22979,512000,99016,4096,0,1.8901221824174566,1.3266076026085551,1.8901221824174566,1.2984724212008172
batch/inner_risk/fold0_half0_seed29_easy,ranked_risk,2000,2000,2.051003959000809,22979,512000,99016,4096,0,0.2614114923853761,0.2381390111025198,0.2614114923853761,0.2213830205466645
inner_shared/fold0_half1_seed29,ordinary_utility,2000,2000,1.8831890420115087,22914,512000,7158,4096,0,,,0.037486281245946884,0.017400743439793587
batch/inner_risk/fold0_half1_seed29_all,ranked_risk,2000,2000,2.8559180419979384,22979,512000,7158,4096,0,3.083665651516982,2.40840027374264,3.083665651516982,1.5876581688201428
batch/inner_risk/fold0_half1_seed29_easy,ranked_risk,2000,2000,2.2265162910043728,22979,512000,7158,4096,0,0.30856219055731693,0.2185614806670317,0.30856219055731693,0.3833342590682002
inner_shared/fold0_half0_seed43,ordinary_utility,2000,2000,1.41408849999425,22914,512000,98878,4096,0,,,0.023884667083621025,0.00933517049998045
batch/inner_risk/fold0_half0_seed43_all,ranked_risk,2000,2000,2.538097291995655,22979,512000,98878,4096,0,2.2051384011173267,1.5794498742390495,2.2051384011173267,2.2295791053886327
batch/inner_risk/fold0_half0_seed43_easy,ranked_risk,2000,2000,2.6918234170007054,22979,512000,98878,4096,0,0.497727082579477,0.41933839149729907,0.497727082579477,0.22983966248302673
inner_shared/fold0_half1_seed43,ordinary_utility,2000,2000,1.7014356250001583,22914,512000,7158,4096,0,,,0.045118220150470734,0.017606960609555244
batch/inner_risk/fold0_half1_seed43_all,ranked_risk,2000,2000,2.8209523749974323,22979,512000,7158,4096,0,2.339499906488066,1.489472748280197,2.339499906488066,1.320751824989558
batch/inner_risk/fold0_half1_seed43_easy,ranked_risk,2000,2000,2.6644232910039136,22979,512000,7158,4096,0,1.0487578175104884,0.19108540039903002,1.0487578175104884,0.2351525919163088
inner_shared/fold1_half0_seed17,ordinary_utility,2000,2000,1.4115045419894159,22914,512000,11165,4096,0,,,0.019232913851737976,0.015239527449011803
batch/inner_risk/fold1_half0_seed17_all,ranked_risk,2000,2000,2.4198687080061063,22979,512000,11165,4096,0,1.74592349296082,1.3278999845234016,1.74592349296082,1.5930335881421591
batch/inner_risk/fold1_half0_seed17_easy,ranked_risk,2000,2000,2.3352264580025803,22979,512000,11165,4096,0,0.17451342647309304,0.12553036830152753,0.17451342647309304,0.14482098039820407
inner_shared/fold1_half1_seed17,ordinary_utility,2000,2000,1.9717772499861894,22914,512000,12100,4096,0,,,0.015456205233931541,0.0063762906938791275
batch/inner_risk/fold1_half1_seed17_all,ranked_risk,2000,2000,2.875439459006884,22979,512000,12100,4096,0,2.2461419420457416,1.1974720166274586,2.2461419420457416,1.2005500579034878
batch/inner_risk/fold1_half1_seed17_easy,ranked_risk,2000,2000,2.74257737500011,22979,512000,12100,4096,0,0.2950384955059062,0.39140801949087245,0.2950384955059062,0.04755358519438004
inner_shared/fold1_half0_seed29,ordinary_utility,2000,2000,2.0420189589931397,22914,512000,11165,4096,0,,,0.01878054253757,0.017578836530447006
batch/inner_risk/fold1_half0_seed29_all,ranked_risk,2000,2000,3.0958289160043932,22979,512000,11165,4096,0,1.8080471052612894,1.2609153520441065,1.8080471052612894,1.4286374608317165
batch/inner_risk/fold1_half0_seed29_easy,ranked_risk,2000,2000,2.930249500001082,22979,512000,11165,4096,0,0.4352934538578115,0.4166009195928602,0.4352934538578115,0.2405296745205308
inner_shared/fold1_half1_seed29,ordinary_utility,2000,2000,1.8516959999979008,22914,512000,12100,4096,0,,,0.020728299394249916,0.008851632475852966
batch/inner_risk/fold1_half1_seed29_all,ranked_risk,2000,2000,2.9256926249945536,22979,512000,12100,4096,0,2.279787522721338,1.4538024234443379,2.279787522721338,1.4502523508265852
batch/inner_risk/fold1_half1_seed29_easy,ranked_risk,2000,2000,2.7189937090006424,22979,512000,12100,4096,0,1.5345347902887851,0.5658921808271231,1.5345347902887851,0.18979606158853024
inner_shared/fold1_half0_seed43,ordinary_utility,2000,2000,2.047239541003364,22914,512000,11165,4096,0,,,0.02794378064572811,0.009852022863924503
batch/inner_risk/fold1_half0_seed43_all,ranked_risk,2000,2000,2.7540358749974985,22979,512000,11165,4096,0,1.767223555369201,1.3508194282877715,1.767223555369201,1.2206016742071144
batch/inner_risk/fold1_half0_seed43_easy,ranked_risk,2000,2000,2.6579215000092518,22979,512000,11165,4096,0,1.1355404343503017,1.0497799408682593,1.1355404343503017,0.28852933660848423
inner_shared/fold1_half1_seed43,ordinary_utility,2000,2000,1.6989324580063112,22914,512000,12100,4096,0,,,0.017262034118175507,0.007127739489078522
batch/inner_risk/fold1_half1_seed43_all,ranked_risk,2000,2000,2.665941625004052,22979,512000,12100,4096,0,2.1407065595694803,1.3442504485469953,2.1407065595694803,1.8323980369811914
batch/inner_risk/fold1_half1_seed43_easy,ranked_risk,2000,2000,2.609870250002132,22979,512000,12100,4096,0,1.3508753895596783,0.6926525373239459,1.3508753895596783,0.4887366773520288
