family,candidate,control,queries,switched_queries,unknown_selected_agents,predicted_budget_failure_queries,mean_query_predicted_harm,mean_query_harm_lower_bound,mean_past_agent_harm_lower_bound,easy_degradation_percent,proven_exceeds_queries,proven_exceeds_easy_harm_fraction,known_within_queries,known_within_easy_harm_fraction,indeterminate_queries,indeterminate_easy_harm_fraction
transformer,seed43_neural_cost_moderate,joint_coupling_exact_count,970,773,407,0,0.001445339815366376,0.0021422638572767393,0.0021893884834019352,339.1926969014232,6,0.28012141328524226,673,0.5024862390529871,291,0.21739234766177046
eqmotion,seed17_ridge_conservative,independent_coupling_reference,970,883,1050,0,6.415970426001578e-05,0.08109441331093015,0.06774234510480742,16349.811550466564,234,0.9933023592418142,301,0.0028929947699210257,435,0.003804645988264569
eqmotion,seed17_ridge_conservative,unary_geometry_exact_count,970,883,1050,0,6.415970426001578e-05,0.08109441331093015,0.06774234510480742,16349.811550466564,234,0.9933023592418142,301,0.0028929947699210257,435,0.003804645988264569
eqmotion,seed17_ridge_conservative,joint_coupling_exact_count,970,883,1050,0,6.415970426001578e-05,0.08109441331093015,0.06774234510480742,16349.811550466564,234,0.9933023592418142,301,0.0028929947699210257,435,0.003804645988264569
eqmotion,seed17_ridge_moderate,independent_coupling_reference,970,942,1275,0,0.00017595719840774672,0.08213802704605032,0.06883718204413786,16400.89399835064,212,0.9881823235385522,254,0.0040360989678122315,504,0.007781577493635621
eqmotion,seed17_ridge_moderate,unary_geometry_exact_count,970,942,1275,0,0.00017595719840774672,0.08213802704605032,0.06883718204413786,16400.89399835064,212,0.9881823235385522,254,0.0040360989678122315,504,0.007781577493635621
eqmotion,seed17_ridge_moderate,joint_coupling_exact_count,970,942,1275,0,0.00017595719840774672,0.08213802704605032,0.06883718204413786,16400.89399835064,212,0.9881823235385522,254,0.0040360989678122315,504,0.007781577493635621
eqmotion,seed17_neural_cost_conservative,independent_coupling_reference,970,121,45,0,0.00012890271242850786,0.0007555002064899907,0.0005650755744838756,124.36572303866603,7,0.9216880156221402,922,0.06699886892514115,41,0.011313115452718738
eqmotion,seed17_neural_cost_conservative,unary_geometry_exact_count,970,121,45,0,0.00012890271242850786,0.0007555002064899907,0.0005650755744838756,124.36572303866603,7,0.9216880156221402,922,0.06699886892514115,41,0.011313115452718738
eqmotion,seed17_neural_cost_conservative,joint_coupling_exact_count,970,121,45,0,0.00012890271242850786,0.0007555002064899907,0.0005650755744838756,124.36572303866603,7,0.9216880156221402,922,0.06699886892514115,41,0.011313115452718738
eqmotion,seed17_neural_cost_moderate,independent_coupling_reference,970,301,161,0,0.0006782870173205102,0.0013955265920161137,0.0010991781500423376,183.99383081404838,12,0.861212971691752,826,0.1227177794452537,132,0.016069248862994163
eqmotion,seed17_neural_cost_moderate,unary_geometry_exact_count,970,301,161,0,0.0006782870173205102,0.0013955265920161137,0.0010991781500423376,183.99383081404838,12,0.861212971691752,826,0.1227177794452537,132,0.016069248862994163
eqmotion,seed17_neural_cost_moderate,joint_coupling_exact_count,970,301,161,0,0.0006782870173205102,0.0013955265920161137,0.0010991781500423376,183.99383081404838,12,0.861212971691752,826,0.1227177794452537,132,0.016069248862994163
eqmotion,seed29_ridge_conservative,independent_coupling_reference,970,968,1890,0,0.00018084754689737367,0.09982019806904253,0.09200159211460297,21597.515432251526,528,0.995749157607981,71,0.0005040494248516159,371,0.0037467929671675046
eqmotion,seed29_ridge_conservative,unary_geometry_exact_count,970,968,1886,0,0.0001805833523458064,0.09982483436406976,0.09200684628229795,21598.080119609775,529,0.9957492687473484,71,0.0005040362463497968,370,0.0037466950063019646
eqmotion,seed29_ridge_conservative,joint_coupling_exact_count,970,968,1888,0,0.000181085623435208,0.0998172189431441,0.09199909348958561,21598.080119609775,529,0.9957492687473484,71,0.0005040362463497968,370,0.0037466950063019646
eqmotion,seed29_ridge_moderate,independent_coupling_reference,970,968,3530,0,0.0011393291401310711,0.1036440437962986,0.09604836349482958,21821.611286303883,348,0.9804059162206091,43,0.0003895464131495924,579,0.019204537366241517
eqmotion,seed29_ridge_moderate,unary_geometry_exact_count,970,968,3529,0,0.0011362419855423778,0.103634749133568,0.09603856958502202,21822.34869335648,348,0.98037278696183,43,0.0003895332498427272,579,0.01923767978832744
eqmotion,seed29_ridge_moderate,joint_coupling_exact_count,970,968,3531,0,0.0011372176382764402,0.10363568381689284,0.09603888239820259,21821.611286303883,348,0.9804059162206091,43,0.0003895464131495924,579,0.019204537366241517
eqmotion,seed29_neural_cost_conservative,independent_coupling_reference,970,508,340,0,0.0005030606479594915,0.0024619686530611916,0.0026218051707569074,517.1105311529434,32,0.8909261903841427,669,0.07361402221010956,269,0.03545978740574767
eqmotion,seed29_neural_cost_conservative,unary_geometry_exact_count,970,508,340,0,0.0005030606479594915,0.0024619686530611916,0.0026218051707569074,517.1105311529434,32,0.8909261903841427,669,0.07361402221010956,269,0.03545978740574767
eqmotion,seed29_neural_cost_conservative,joint_coupling_exact_count,970,508,340,0,0.0005030606479594915,0.0024619686530611916,0.0026218051707569074,517.1105311529434,32,0.8909261903841427,669,0.07361402221010956,269,0.03545978740574767
eqmotion,seed29_neural_cost_moderate,independent_coupling_reference,970,679,568,0,0.001510330776015048,0.005416258472137358,0.00524358109761035,1140.0652810252395,29,0.8957378726780857,558,0.05591933924806407,383,0.04834278807385023
eqmotion,seed29_neural_cost_moderate,unary_geometry_exact_count,970,679,568,0,0.001510330776015048,0.005416258472137358,0.00524358109761035,1140.0652810252395,29,0.8957378726780857,558,0.05591933924806407,383,0.04834278807385023
eqmotion,seed29_neural_cost_moderate,joint_coupling_exact_count,970,679,568,0,0.001510330776015048,0.005416258472137358,0.00524358109761035,1140.0652810252395,29,0.8957378726780857,558,0.05591933924806407,383,0.04834278807385023
eqmotion,seed43_ridge_conservative,independent_coupling_reference,970,755,786,0,3.97632482113248e-05,0.02271288911014125,0.01836206058997456,3639.0895260974785,110,0.9885622185646158,432,0.005533615261933322,428,0.005904166173450871
eqmotion,seed43_ridge_conservative,unary_geometry_exact_count,970,755,786,0,3.97632482113248e-05,0.02271288911014125,0.01836206058997456,3639.0895260974785,110,0.9885622185646158,432,0.005533615261933322,428,0.005904166173450871
eqmotion,seed43_ridge_conservative,joint_coupling_exact_count,970,755,786,0,3.97632482113248e-05,0.02271288911014125,0.01836206058997456,3639.0895260974785,110,0.9885622185646158,432,0.005533615261933322,428,0.005904166173450871
eqmotion,seed43_ridge_moderate,independent_coupling_reference,970,774,850,0,0.00013499141591356167,0.023471266996890422,0.01913599038253422,3824.568457606164,105,0.9847469438407352,413,0.005753238386096706,452,0.00949981777316775
eqmotion,seed43_ridge_moderate,unary_geometry_exact_count,970,774,850,0,0.00013499141591356167,0.023471266996890422,0.01913599038253422,3824.568457606164,105,0.9847469438407352,413,0.005753238386096706,452,0.00949981777316775
eqmotion,seed43_ridge_moderate,joint_coupling_exact_count,970,774,850,0,0.00013499141591356167,0.023471266996890422,0.01913599038253422,3824.568457606164,105,0.9847469438407352,413,0.005753238386096706,452,0.00949981777316775
eqmotion,seed43_neural_cost_conservative,independent_coupling_reference,970,591,285,0,0.0005577412005036938,0.002576323970368098,0.0025228754313491703,452.69185538527887,27,0.7714930181857482,734,0.1632335207559509,209,0.06527346105830106
eqmotion,seed43_neural_cost_conservative,unary_geometry_exact_count,970,591,285,0,0.0005577412005036938,0.002576323970368098,0.0025228754313491703,452.69185538527887,27,0.7714930181857482,734,0.1632335207559509,209,0.06527346105830106
eqmotion,seed43_neural_cost_conservative,joint_coupling_exact_count,970,591,285,0,0.0005577412005036938,0.002576323970368098,0.0025228754313491703,452.69185538527887,27,0.7714930181857482,734,0.1632335207559509,209,0.06527346105830106
eqmotion,seed43_neural_cost_moderate,independent_coupling_reference,970,728,473,0,0.0013165784027084273,0.003913656198338271,0.0038232999750378643,680.0189663875926,16,0.6937004458566194,645,0.22644205083800012,309,0.07985750330538059
eqmotion,seed43_neural_cost_moderate,unary_geometry_exact_count,970,728,473,0,0.0013165784027084273,0.003913656198338271,0.0038232999750378643,680.0189663875926,16,0.6937004458566194,645,0.22644205083800012,309,0.07985750330538059
eqmotion,seed43_neural_cost_moderate,joint_coupling_exact_count,970,728,473,0,0.0013165784027084273,0.003913656198338271,0.0038232999750378643,680.0189663875926,16,0.6937004458566194,645,0.22644205083800012,309,0.07985750330538059
