trial,family,schedule,seed,held_site,rows,agents,positive_rate,reference_prior,brier,brier_lift,auroc,auprc,ece,log_loss,training_weighted_brier,clipping_fraction,source_constant_prior_brier,source_constant_prior_lift
extra_trees_main_only_seed43_fold1,extra_trees,main_only,43,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.42658639322428554,-0.10650017698651926,0.3709677419354839,0.4018371264737175,0.3894707089156415,1.332951340384216,0.03681387256730669,0.0,0.2479353168156664,-0.17865107640861913
extra_trees_source_only_seed17_fold-1,extra_trees,source_only,17,ETH,81,5,0.7283950617283951,0.45454545454545453,0.3819118417441509,-0.10908253861181755,0.5616332819722651,0.7989124012134832,0.41737241025775723,1.0356957035108394,0.06254295230453738,0.0005414478315014348,0.27607036880805447,-0.10584147293609641
extra_trees_source_only_seed17_fold-1,extra_trees,source_only,17,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.2543634654151602,0.06572275082260609,0.5542635658914729,0.45906737537374614,0.10816552817544488,0.7040589215634537,0.06254295230453738,0.0005414478315014348,0.2479353168156664,-0.006428148599493783
extra_trees_source_only_seed29_fold-1,extra_trees,source_only,29,ETH,81,5,0.7283950617283951,0.45454545454545453,0.38028692023856386,-0.10745761710623053,0.514637904468413,0.7834956460805831,0.4099001800606398,1.0274880414307388,0.06223237848751289,0.0005414478315014348,0.27607036880805447,-0.1042165514305094
extra_trees_source_only_seed29_fold-1,extra_trees,source_only,29,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.2531060513835489,0.06698016485421737,0.5648162040510127,0.47548185072959864,0.11389628874504681,0.7008337877099982,0.06223237848751289,0.0005414478315014348,0.2479353168156664,-0.005170734567882501
extra_trees_source_only_seed43_fold-1,extra_trees,source_only,43,ETH,81,5,0.7283950617283951,0.45454545454545453,0.3872526777313761,-0.11442337459904278,0.4722650231124808,0.7513538294293335,0.411761204827667,1.040735388522897,0.06275522857451656,0.0005414478315014348,0.27607036880805447,-0.11118230892332165
extra_trees_source_only_seed43_fold-1,extra_trees,source_only,43,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.2525007107642822,0.06758550547348408,0.5633158289572393,0.46593886360827197,0.12992724210356194,0.6983451490100819,0.06275522857451656,0.0005414478315014348,0.2479353168156664,-0.004565393948615798
extra_trees_mixed_seed17_fold0,extra_trees,mixed,17,ETH,81,5,0.7283950617283951,0.45454545454545453,0.3318876595664661,-0.059058356434132764,0.47534668721109397,0.7566185166010206,0.35212171940217607,0.8772889877411426,0.03722856702381093,0.0,0.27607036880805447,-0.05581729075841163
extra_trees_mixed_seed17_fold1,extra_trees,mixed,17,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.2574271425905335,0.06265907364723278,0.5206051512878219,0.46996418975403953,0.10219425615771104,0.7072552584783639,0.03269982251994569,0.00079329733340756,0.2479353168156664,-0.009491825774867096
extra_trees_mixed_seed29_fold0,extra_trees,mixed,29,ETH,81,5,0.7283950617283951,0.45454545454545453,0.33023820904509704,-0.05740890591276371,0.46147919876733434,0.7274578523710165,0.3668502510835844,0.8717013038280621,0.03709932353162505,0.0,0.27607036880805447,-0.054167840237042575
extra_trees_mixed_seed29_fold1,extra_trees,mixed,29,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.2566909688152964,0.06339524742246988,0.510502625656414,0.4757024056834026,0.10838158318697151,0.7053882964647918,0.03272545301708182,0.00079329733340756,0.2479353168156664,-0.008755651999629993
extra_trees_mixed_seed43_fold0,extra_trees,mixed,43,ETH,81,5,0.7283950617283951,0.45454545454545453,0.31947268366997383,-0.0466433805376405,0.522342064714946,0.7641622760431246,0.34047143382633377,0.849950748366992,0.037167651829498424,0.0,0.27607036880805447,-0.04340231486191937
extra_trees_mixed_seed43_fold1,extra_trees,mixed,43,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.2547622254921624,0.06532399074560391,0.520805201300325,0.4796979618149056,0.121009647095227,0.7009502838139815,0.03279308990966613,0.00079329733340756,0.2479353168156664,-0.006826908676495963
