view,locality,rows,selected,selected_known_ADE,predicted_risk_violations,selected_positive_harm_mean,selected_net_gain_mean
damping097_fold0_seed17_all_product_at_hurdle,eu-locality-007,5664,2648,2580,643,0.20300143919841923,1.5154295062703682
damping097_fold0_seed17_all_product_at_hurdle,eu-locality-008,161653,97355,95743,18605,0.637193855531894,1.0111618428760023
damping097_fold0_seed17_all_product_at_hurdle,eu-locality-020,1282,269,242,6,0.1982807384864412,0.06774100104248698
damping097_fold0_seed17_all_product_at_hurdle,eu-locality-048,8344,4571,4464,1080,0.7422998067096729,2.0487482326473647
damping097_fold0_seed17_all_product_at_hurdle,eu-locality-067,7105,3649,3584,1132,0.41869597925516994,1.9891207641890911
damping097_fold0_seed17_all_product_at_hurdle,eu-locality-110,8660,6814,6737,1156,0.16170735753821558,1.9225596980785942
damping097_fold0_seed17_all_product_at_hurdle,eu-locality-119,5787,3443,3390,808,0.606655594505716,1.5567728456328862
damping097_fold0_seed17_all_product_at_hurdle,eu-locality-124,3651,2057,2019,432,0.3057788381872427,2.5994622536139875
damping097_fold0_seed17_easy_product_original,eu-locality-007,5664,2315,2248,0,0.15248014264994622,0.8711589608333805
damping097_fold0_seed17_easy_product_original,eu-locality-008,161653,85623,84405,0,0.13545744519372116,0.8158562508142322
damping097_fold0_seed17_easy_product_original,eu-locality-020,1282,324,295,0,0.4020111305336114,0.40950524709586267
damping097_fold0_seed17_easy_product_original,eu-locality-048,8344,3802,3727,0,0.3252034950005108,1.249420411860849
damping097_fold0_seed17_easy_product_original,eu-locality-067,7105,2563,2516,0,0.2919350304716371,0.9955999032967675
damping097_fold0_seed17_easy_product_original,eu-locality-110,8660,6161,6112,0,0.06515564155031614,1.2947217006320189
damping097_fold0_seed17_easy_product_original,eu-locality-119,5787,2727,2686,0,0.6523604586191597,0.07660668820174395
damping097_fold0_seed17_easy_product_original,eu-locality-124,3651,1948,1915,0,0.1344865029170288,1.837934330570381
damping097_fold0_seed17_easy_hurdle_original,eu-locality-007,5664,1952,1905,0,0.0874100905885715,0.8774369780943234
damping097_fold0_seed17_easy_hurdle_original,eu-locality-008,161653,75807,74912,0,0.04685758804116685,0.5814986997943555
damping097_fold0_seed17_easy_hurdle_original,eu-locality-020,1282,241,215,0,0.04442960778180206,0.19459473493238413
damping097_fold0_seed17_easy_hurdle_original,eu-locality-048,8344,2911,2870,0,0.05108558219020274,0.6307008317772453
damping097_fold0_seed17_easy_hurdle_original,eu-locality-067,7105,2158,2124,0,0.07094985450165092,0.9665642056864262
damping097_fold0_seed17_easy_hurdle_original,eu-locality-110,8660,5067,5026,0,0.03328957390585341,0.8628411232056629
damping097_fold0_seed17_easy_hurdle_original,eu-locality-119,5787,2034,2019,0,0.06866644297459559,0.42969368135558605
damping097_fold0_seed17_easy_hurdle_original,eu-locality-124,3651,1527,1513,0,0.04589162489457875,1.206533814895618
damping097_fold0_seed17_easy_product_common,eu-locality-007,5664,2315,2248,0,0.15248014264994622,0.8711589608333805
damping097_fold0_seed17_easy_product_common,eu-locality-008,161653,85623,84405,0,0.13545744519372116,0.8158562508142322
damping097_fold0_seed17_easy_product_common,eu-locality-020,1282,324,295,0,0.4020111305336114,0.40950524709586267
damping097_fold0_seed17_easy_product_common,eu-locality-048,8344,3802,3727,0,0.3252034950005108,1.249420411860849
damping097_fold0_seed17_easy_product_common,eu-locality-067,7105,2563,2516,0,0.2919350304716371,0.9955999032967675
damping097_fold0_seed17_easy_product_common,eu-locality-110,8660,6161,6112,0,0.06515564155031614,1.2947217006320189
damping097_fold0_seed17_easy_product_common,eu-locality-119,5787,2727,2686,0,0.6523604586191597,0.07660668820174395
