group,arm,metric,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,hard,eu-locality-008,36762,52.531931316388025,52.53559265445248,0.006969252423849603,124.33320145770217,215.6358894928369,124.3548686676523
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,hard,eu-locality-020,47,37.64541412593011,37.64541412593011,0.0,59.47714101421315,69.16719818649797,59.47714101421315
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,hard,eu-locality-048,2992,57.38130887138882,57.37954269796418,-0.0030780542011887846,127.11608694673164,211.57685641932093,127.11608694673164
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,hard,eu-locality-067,2806,57.97823373988395,57.98984117061897,0.020016317514781612,132.24005022202874,207.56503644827586,132.24005022202874
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,hard,eu-locality-110,2743,79.23443327350493,79.25573694070968,0.026879653167166673,230.62238670701072,405.0089482593798,230.62238670701072
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,hard,eu-locality-119,1895,70.81360643711885,70.81991257261768,0.008904466653170129,177.35436104322963,275.16663244604706,177.35436104322963
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,hard,eu-locality-124,1362,98.70560753062729,98.75747675389039,0.05252181907438036,278.10766655456683,456.2515668720877,278.10766655456683
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,complete,eu-locality-007,2882,13.648929475670606,13.67583827402111,0.19676160109044494,47.50708454425716,79.58424742220402,47.6301953356149
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,complete,eu-locality-008,97352,16.30505273029736,16.247890090528102,-0.3518157708524816,59.01678952634717,120.3012545117399,59.03425654132433
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,complete,eu-locality-020,364,6.774193653415987,6.779699888728688,0.0812165052004099,22.682718227503177,49.70629992513765,22.682718227503177
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,complete,eu-locality-048,4716,26.524938635491395,26.509842161370898,-0.056946676742186675,91.38499461110202,161.22338275660073,91.38499461110202
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,complete,eu-locality-067,3417,30.08376615086918,30.07990595809544,-0.012833127800049304,93.05378910879755,166.3766421726747,93.05378910879755
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,complete,eu-locality-110,5804,28.176741273907297,28.152772426825262,-0.08513849619724567,118.18033866701663,273.58704635230134,118.307140243085
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,complete,eu-locality-119,3148,28.435725988985673,28.416087010052475,-0.06911218608758318,111.844506586388,205.2067029563877,111.844506586388
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,complete,eu-locality-124,2077,38.39834741939644,38.41377573607546,0.04016349963883448,175.80145592514884,316.4037738037055,177.32650540365142
fold0_seed29_easy,floor_both,FDE_vs_floor,all,eu-locality-007,3935,29.933215269104238,30.1569908865094,0.7420356303031173,102.630383216675,180.22954667261536,102.96456780800754
fold0_seed29_easy,floor_both,FDE_vs_floor,all,eu-locality-008,121088,35.76455002309542,35.89807423723189,0.37195369660800726,137.09799052418023,282.30913749090433,137.09799052418023
fold0_seed29_easy,floor_both,FDE_vs_floor,all,eu-locality-020,622,14.402765857556263,14.661254921134372,1.7630759779334704,54.18434016797015,99.18086841907973,54.18434016797015
fold0_seed29_easy,floor_both,FDE_vs_floor,all,eu-locality-048,5582,58.78217528128543,58.835657649174784,0.09090128338201664,216.55248685578948,356.88885467763185,216.2196458274127
fold0_seed29_easy,floor_both,FDE_vs_floor,all,eu-locality-067,4600,64.22974477131558,64.32961782669507,0.15525205768911476,207.16877909819794,394.0447029702928,207.16877909819794
fold0_seed29_easy,floor_both,FDE_vs_floor,all,eu-locality-110,7204,57.64314651147783,57.85993899202156,0.37468494492125526,251.12962827604994,584.7464834418972,251.61890320290925
fold0_seed29_easy,floor_both,FDE_vs_floor,all,eu-locality-119,4147,65.352368318805,65.41231661128037,0.09164679617084115,270.5290560144782,484.5542592170748,270.5290560144782
fold0_seed29_easy,floor_both,FDE_vs_floor,all,eu-locality-124,2645,83.72033671194714,83.92264524354673,0.24106548478360912,380.9415092093398,749.8979417287693,381.9827743206876
fold0_seed29_easy,old_rebased,ADE_vs_floor,all,eu-locality-007,5526,13.621618546807138,13.659801968100014,0.2795312946852868,46.09347990746643,80.22724394770805,46.09347990746643
fold0_seed29_easy,old_rebased,ADE_vs_floor,all,eu-locality-008,157961,17.959427364098,18.021562585415488,0.34478265146536957,63.88494782917482,131.398306991468,63.88777248258642
fold0_seed29_easy,old_rebased,ADE_vs_floor,all,eu-locality-020,1225,6.458465897886745,6.504222456334076,0.7034900597960192,20.950455289077674,42.958840384020256,20.950455289077674
fold0_seed29_easy,old_rebased,ADE_vs_floor,all,eu-locality-048,8058,26.543994174946434,26.56728941852815,0.08768393047079437,89.55098636922551,160.18716362070072,89.55098636922551
fold0_seed29_easy,old_rebased,ADE_vs_floor,all,eu-locality-067,6903,28.900545877274496,28.934965705531113,0.11895582876062516,93.18088829333526,168.56927310186109,93.18088829333526
fold0_seed29_easy,old_rebased,ADE_vs_floor,all,eu-locality-110,8550,30.3352465940319,30.386533140007852,0.1687805112207008,121.9052045177577,272.09246013351503,121.9052045177577
fold0_seed29_easy,old_rebased,ADE_vs_floor,all,eu-locality-119,5639,28.822440167182368,28.851635272672283,0.10119047053658292,114.3522798565831,201.6878989025234,114.3522798565831
fold0_seed29_easy,old_rebased,ADE_vs_floor,all,eu-locality-124,3550,42.42518681149026,42.466857455347295,0.09812509414158788,186.45287792257716,344.5055271166482,186.45287792257716
fold0_seed29_easy,old_rebased,ADE_vs_floor,easy,eu-locality-007,2133,1.7612302406787357,1.814058480940991,2.9121575085524376,4.211107761297927,4.673686581224021,4.226908462018055
fold0_seed29_easy,old_rebased,ADE_vs_floor,easy,eu-locality-008,52276,2.121950544921367,2.2247393563630107,4.620263094984844,4.207610806048515,4.632340338917156,4.2536504975253715
fold0_seed29_easy,old_rebased,ADE_vs_floor,easy,eu-locality-020,695,1.6324875356980062,1.6618821885620654,1.7687567185188269,4.272902529712657,4.645577515453056,4.272902529712657
fold0_seed29_easy,old_rebased,ADE_vs_floor,easy,eu-locality-048,2050,2.1227580438667446,2.1898050386991095,3.0617791834196884,4.291290091964532,4.691147018233038,4.307347057075696
fold0_seed29_easy,old_rebased,ADE_vs_floor,easy,eu-locality-067,1508,2.0040694416474456,2.0608942171549587,2.7572873481084836,4.294422176053351,4.63896463857005,4.3128555701010765
fold0_seed29_easy,old_rebased,ADE_vs_floor,easy,eu-locality-110,2579,2.1558184244302754,2.2329727154767687,3.455227666318339,4.204662309065635,4.599727507459266,4.225516494376588
fold0_seed29_easy,old_rebased,ADE_vs_floor,easy,eu-locality-119,1658,2.154800843122923,2.238628426291332,3.7445956722386264,4.207745121569814,4.6559864623485225,4.228048703735379
fold0_seed29_easy,old_rebased,ADE_vs_floor,easy,eu-locality-124,1006,2.3827823881971195,2.461131222347074,3.183448059922489,4.296134208619327,4.667200742893196,4.337352322584515
fold0_seed29_easy,old_rebased,ADE_vs_floor,hard,eu-locality-007,1023,41.313595427401296,41.33477977257549,0.051250654511159066,81.24718975645555,114.47062363973248,81.24718975645555
fold0_seed29_easy,old_rebased,ADE_vs_floor,hard,eu-locality-008,36762,52.53478331669617,52.5443734807448,0.01825155276072854,124.33320145770217,215.92904334901505,124.3548686676523
fold0_seed29_easy,old_rebased,ADE_vs_floor,hard,eu-locality-020,47,37.64541412593011,37.64541412593011,0.0,59.47714101421315,69.16719818649797,59.47714101421315
fold0_seed29_easy,old_rebased,ADE_vs_floor,hard,eu-locality-048,2992,57.38144207928807,57.38097143610563,-0.0008202077634189564,127.11608694673164,211.57685641932093,127.11608694673164
fold0_seed29_easy,old_rebased,ADE_vs_floor,hard,eu-locality-067,2806,57.99547100162196,58.03102985000684,0.06127557700904562,132.24005022202874,207.56503644827586,132.24005022202874
fold0_seed29_easy,old_rebased,ADE_vs_floor,hard,eu-locality-110,2743,79.40297680217009,79.44065379422594,0.0474278474009604,230.62238670701072,408.99645159228305,230.62238670701072
fold0_seed29_easy,old_rebased,ADE_vs_floor,hard,eu-locality-119,1895,70.81320782075213,70.81405220339416,0.0011923941869662613,177.35436104322963,275.16663244604706,177.35436104322963
fold0_seed29_easy,old_rebased,ADE_vs_floor,hard,eu-locality-124,1362,98.74700789307644,98.75455633795897,0.007643642139099072,278.10766655456683,456.2515668720877,278.10766655456683
fold0_seed29_easy,old_rebased,ADE_vs_floor,complete,eu-locality-007,2882,13.690018874447091,13.734699652883736,0.3253131088837735,47.6301953356149,79.58424742220402,47.726096398137734
fold0_seed29_easy,old_rebased,ADE_vs_floor,complete,eu-locality-008,97352,16.277083191126057,16.356493421219184,0.4854966651355097,59.01678952634717,120.3012545117399,59.01678952634717
fold0_seed29_easy,old_rebased,ADE_vs_floor,complete,eu-locality-020,364,6.795217806238814,6.897752068548133,1.4864880803246994,22.682718227503177,49.70629992513765,22.682718227503177
fold0_seed29_easy,old_rebased,ADE_vs_floor,complete,eu-locality-048,4716,26.514261772173995,26.547173542712798,0.12397466903906196,91.38499461110202,161.22338275660073,91.38499461110202
fold0_seed29_easy,old_rebased,ADE_vs_floor,complete,eu-locality-067,3417,30.080390867030996,30.110716343524523,0.10071323494118545,93.05378910879755,166.3766421726747,93.05378910879755
fold0_seed29_easy,old_rebased,ADE_vs_floor,complete,eu-locality-110,5804,28.229884565639342,28.284978432485165,0.19478136416942737,118.307140243085,275.3204835858817,118.307140243085
fold0_seed29_easy,old_rebased,ADE_vs_floor,complete,eu-locality-119,3148,28.41832183196371,28.456864974001448,0.13544409081236441,111.844506586388,205.2067029563877,111.844506586388
fold0_seed29_easy,old_rebased,ADE_vs_floor,complete,eu-locality-124,2077,38.41620381806006,38.47114187260383,0.1428032854488559,177.32650540365142,316.4037738037055,177.32650540365142
fold0_seed29_easy,old_rebased,ADE_vs_CV,all,eu-locality-007,5526,13.621618546807138,13.731098649130566,0.7973149499611254,46.09347990746643,80.22724394770805,46.03588494020081
fold0_seed29_easy,old_rebased,ADE_vs_CV,all,eu-locality-008,157961,17.959427364098,18.214515006924465,1.4004635464051063,63.88494782917482,131.398306991468,63.9700524103003
fold0_seed29_easy,old_rebased,ADE_vs_CV,all,eu-locality-020,1225,6.458465897886745,6.529874789510041,1.0935721422715705,20.950455289077674,42.958840384020256,21.020763749430696
